lat,lon,nombre
36.4375529,-5.7185433,45
36.1745369,-5.4647331,87
36.1718486,-5.4775219,85
36.2292412,-5.3561526,1101
36.2592859,-5.3320065,1098
36.4937317,-6.1434963,664
37.1631711,-4.1189618,193
36.7599404,-4.4257897,142A
36.6898492,-4.4619358,5A
36.6403473,-4.5079344,998
37.1350262,-4.2840457,177
37.1726433,-4.0827433,197
36.6148469,-4.5229156,nodo_13838847
36.9694017,-4.4383728,24
36.6093444,-4.5386916,1003
37.1581234,-4.2012166,185
36.4620904,-5.0440333,1059B
36.4326845,-5.1186915,1067
36.5058512,-4.711822,200
36.5162959,-4.9362649,nodo_13842716
36.7567256,-4.0997046,953
36.756183,-4.1080909,953
36.7581446,-4.0859362,951
36.7289227,-4.3648778,978A
36.6849874,-4.4644615,nodo_21290445
36.6542462,-4.486654,nodo_21497109
36.6682704,-4.4801678,2
36.1789754,-5.4481949,nodo_21497429
36.1432124,-5.4585495,nodo_21497515
36.1321159,-5.4641456,105
36.1374756,-5.4600629,nodo_21497594
38.0401381,-4.0155695,319
38.0005854,-4.3431251,356
38.0095089,-4.3637942,358
38.0073629,-4.3962449,nodo_24911303
37.9733167,-4.4531768,367
37.892493,-4.7453826,267
37.8881206,-4.7134313,396
37.9057278,-4.7521393,266
38.0383594,-4.0331067,321
37.9369681,-4.571312,nodo_26387504
38.0390316,-4.0189148,319
37.954163,-4.465765,370
37.8911433,-4.7455101,268
37.2308253,-7.4485274,18
36.7581021,-4.0475752,948
36.7607416,-4.0587196,948
36.2119694,-5.3798531,1105
36.2991136,-5.2815671,133
36.4875259,-4.9646776,nodo_31478045
36.4901404,-4.9550433,1050A
37.4711059,-5.6891366,511
37.4884906,-5.6419376,506
36.2155562,-5.3786416,1105
36.2070865,-5.3854655,0
36.5132509,-4.9224319,1047A
36.5204933,-4.8706193,1043
36.5195812,-4.8870281,1044
36.517339,-4.8656159,183
36.5146688,-4.9126274,1045
36.4878052,-4.7386233,nodo_192671710
36.489408,-4.7124292,196
36.4964644,-4.6897243,nodo_192672662
36.4949789,-4.9500122,nodo_192693883
36.4928798,-4.7579367,nodo_192694550
36.5528119,-4.6241471,nodo_192695868
36.4932047,-4.7624498,nodo_192697307
36.5437753,-4.6342317,nodo_192697489
36.5542649,-4.6221921,nodo_192697535
36.4963681,-4.6896785,nodo_192698325
36.5554062,-4.6208545,1013
36.5062665,-4.6787295,1024
