Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion,pendiente_pct,enp_dist_m,agua_dist_m,usos_dist_m,dist_autopista_km,autopista_cercana,cobertura_pct,poblacion_30km,dist_competencia_km,estacion_cercana,subst_dist_m,subst_encontrada,desv_centroide_km,concentracion_30km_pct,dist_nucleo_km,nucleo_cercano,motivos_rechazo,aprobado,eliminado_dedup
Refinería de La Rábida,37.181103,-6.902295,Huelva,industrial,536.64,OSM: industrial | 536.6 ha | Huelva,2.67,,,,4.04,nodo_9034942679,11.4,315209,83.75,Amazon DSP Sevilla,429,True,12.85,62.7,9.94,Huelva,,True,True
Poligono_Brownfield_001,37.67994,-6.556287,Huelva,brownfield,395.73,OSM: brownfield | 395.7 ha | Huelva,17.67,,111,,34.15,771,34.6,68337,62.69,Amazon DSP Sevilla,2117,True,43.02,4.2,58.27,Huelva,F1(pendiente=17.7%) | F3(Agua a 111 m (mín 140 m)) | F5(34.1 km>15.0 km) | F12(Huelva 58.3 km>50.0 km),False,False
Poligono_Industrial_001,36.660897,-5.839486,Cádiz,industrial,386.65,OSM: industrial | 386.6 ha | Cádiz,1.0,,,,9.5,20,26.2,327623,34.42,Amazon El Puerto de Santa María (Cádiz),1296,True,17.67,26.4,26.64,Jerez de la Frontera,,True,False
Polígono Industrial Carretera de la Isla,37.283007,-5.994877,Sevilla,industrial,308.0,OSM: industrial | 308.0 ha | Sevilla,2.0,,600,,1.6,549,46.5,1507796,7.56,Amazon DSP Sevilla,1227,True,4.99,78.1,11.55,Dos Hermanas,,True,True
Polígono Industrial Tartessos,37.308076,-6.87099,Huelva,industrial,294.64,OSM: industrial | 294.6 ha | Huelva,1.0,,319,,0.95,77,12.5,326056,78.92,Amazon DSP Sevilla,624,True,4.34,58.7,8.94,Huelva,,True,True
Puerto de Algeciras,36.130864,-5.433775,Cádiz,industrial,292.62,OSM: industrial | 292.6 ha | Cádiz,0.0,2432,,,2.4,1118,8.4,271529,88.28,Amazon El Puerto de Santa María (Cádiz),873,True,14.64,72.3,87.84,Jerez de la Frontera,F12(Jerez de la Frontera 87.8 km>50.0 km),False,False
Poligono_Industrial_002,37.187989,-6.924669,Huelva,industrial,288.38,OSM: industrial | 288.4 ha | Huelva,0.67,,588,,2.16,nodo_9034942679,11.2,315351,85.51,Amazon DSP Sevilla,258,True,13.35,63.8,8.48,Huelva,,True,True
Poligono_Industrial_003,36.609523,-6.198314,Cádiz,industrial,264.79,OSM: industrial | 264.8 ha | Cádiz,1.33,954,444,,0.3,nodo_260566068,21.0,772909,1.94,Amazon El Puerto de Santa María (Cádiz),259,True,4.51,80.7,9.74,Jerez de la Frontera,,True,True
Refinería de Gibraltar-San Roque,36.188149,-5.400182,Cádiz,industrial,258.71,OSM: industrial | 258.7 ha | Cádiz,8.67,1519,505,,1.5,2,8.5,274460,87.09,Amazon El Puerto de Santa María (Cádiz),913,True,13.99,72.1,85.79,Jerez de la Frontera,F1(pendiente=8.7%) | F12(Jerez de la Frontera 85.8 km>50.0 km),False,False
Polígono Industrial Francisco Montenegro,37.229327,-6.946866,Huelva,industrial,248.76,OSM: industrial | 248.8 ha | Huelva,2.33,,399,,1.75,18,11.2,326270,86.58,Amazon DSP Sevilla,213,True,10.18,65.5,3.55,Huelva,,True,False
Minas de Aguas Teñidas,37.774391,-6.852944,Huelva,industrial,246.31,OSM: industrial | 246.3 ha | Huelva,6.67,,0,,47.22,87,9.4,56973,90.26,Amazon DSP Sevilla,137,True,42.37,13.0,57.77,Huelva,F1(pendiente=6.7%) | F3(Agua a 0 m (mín 140 m)) | F5(47.2 km>15.0 km) | F12(Huelva 57.8 km>50.0 km),False,False
Polígono Industrial Las Quemadas,37.904495,-4.717417,Córdoba,industrial,236.64,OSM: industrial | 236.6 ha | Córdoba,2.67,,,,1.65,396,16.5,374803,11.87,Correos Express Hub Córdoba,1391,True,14.01,53.6,5.73,Córdoba,,True,False
General Dynamics European Land Systems / Santa Bárbara Sistemas,37.346633,-5.787958,Sevilla,industrial,196.58,OSM: industrial | 196.6 ha | Sevilla,2.33,,,,2.43,15,45.1,1445622,12.82,SEUR Hub Sevilla,2808,True,12.35,77.1,17.53,Dos Hermanas,,True,True
Polígono Industrial El Portal,36.656878,-6.130845,Cádiz,industrial,174.65,OSM: industrial | 174.7 ha | Cádiz,3.0,,472,,2.58,641,22.9,788907,9.51,Amazon El Puerto de Santa María (Cádiz),1201,True,2.86,74.8,2.85,Jerez de la Frontera,,True,False
Parque de Actividades Medioambientales de Andalucía,37.507264,-6.249718,Sevilla,industrial,126.61,OSM: industrial | 126.6 ha | Sevilla,3.33,2124,88,,13.99,795,43.3,1008449,29.55,Amazon DSP Sevilla,1792,True,23.4,56.7,27.07,Sevilla,F1(pendiente=3.3%) | F3(Agua a 88 m (mín 140 m)),False,False
Parque Empresarial El Esparragal,37.5174,-6.084425,Sevilla,industrial,125.23,OSM: industrial | 125.2 ha | Sevilla,3.0,,,,0.97,798,43.4,1366843,20.77,Amazon DSP Sevilla,327,True,17.38,76.9,16.96,Sevilla,,True,True
Polígono Industrial Carretera Amarilla,37.391382,-5.950075,Sevilla,industrial,122.64,OSM: industrial | 122.6 ha | Sevilla,1.67,,,364,0.69,2,45.0,1536349,2.97,SEUR Hub Sevilla,295,True,4.17,82.0,2.71,Dos Hermanas,,True,True
Parque Empresarial Príncipe Felipe,37.385055,-4.505896,Córdoba,industrial,121.68,OSM: industrial | 121.7 ha | Córdoba,9.0,,,325,3.01,62,16.1,202082,54.87,Correos Express Hub Córdoba,1064,True,37.89,24.8,60.91,Córdoba,F1(pendiente=9.0%) | F12(Córdoba 60.9 km>50.0 km),False,False
Parque Empresarial,36.711024,-6.118536,Cádiz,industrial,119.61,OSM: industrial | 119.6 ha | Cádiz,1.67,2944,,,0.65,635,25.0,740542,14.43,Amazon El Puerto de Santa María (Cádiz),554,True,3.25,64.3,3.62,Jerez de la Frontera,,True,True
Central Termosolar Solnova 1,37.412295,-6.26723,Sevilla,industrial,117.1,OSM: industrial | 117.1 ha | Sevilla,3.33,,,,5.58,23,47.7,1120251,26.31,Amazon DSP Sevilla,2516,True,14.93,57.1,25.31,Sevilla,F1(pendiente=3.3%),False,False
Navantia Puerto Real,36.515044,-6.240434,Cádiz,industrial,115.36,OSM: industrial | 115.4 ha | Cádiz,3.67,693,622,,0.77,3,20.4,686026,10.72,Amazon El Puerto de Santa María (Cádiz),563,True,10.77,75.5,4.5,Cádiz,F1(pendiente=3.7%),False,False
Polígono Industrial La Viñuela,37.416151,-4.475493,Córdoba,industrial,109.71,OSM: industrial | 109.7 ha | Córdoba,4.67,,225,353,2.11,nodo_878923531,16.2,222230,53.23,Correos Express Hub Córdoba,1041,True,37.0,27.1,58.91,Córdoba,F1(pendiente=4.7%) | F12(Córdoba 58.9 km>50.0 km),False,False
Acerinox,36.179842,-5.427893,Cádiz,industrial,104.19,OSM: industrial | 104.2 ha | Cádiz,1.33,783,297,279,1.16,1112 B,8.5,274460,85.52,Amazon El Puerto de Santa María (Cádiz),476,True,12.08,72.1,84.51,Jerez de la Frontera,F12(Jerez de la Frontera 84.5 km>50.0 km),False,False
Poligono_Industrial_004,36.621184,-6.291071,Cádiz,industrial,103.75,OSM: industrial | 103.8 ha | Cádiz,3.0,,,,7.59,nodo_960792737,20.8,732159,6.46,Amazon El Puerto de Santa María (Cádiz),760,True,12.46,77.0,10.48,Cádiz,,True,True
