Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion
Refinería de La Rábida,37.181103,-6.902295,Huelva,industrial,536.64,OSM: industrial | 536.6 ha | Huelva
Poligono_Brownfield_001,37.67994,-6.556287,Huelva,brownfield,395.73,OSM: brownfield | 395.7 ha | Huelva
Poligono_Industrial_001,36.660897,-5.839486,Cádiz,industrial,386.65,OSM: industrial | 386.6 ha | Cádiz
Polígono Industrial Carretera de la Isla,37.283007,-5.994877,Sevilla,industrial,308.0,OSM: industrial | 308.0 ha | Sevilla
Polígono Industrial Tartessos,37.308076,-6.87099,Huelva,industrial,294.64,OSM: industrial | 294.6 ha | Huelva
Puerto de Algeciras,36.130864,-5.433775,Cádiz,industrial,292.62,OSM: industrial | 292.6 ha | Cádiz
Poligono_Industrial_002,37.187989,-6.924669,Huelva,industrial,288.38,OSM: industrial | 288.4 ha | Huelva
Poligono_Industrial_003,36.609523,-6.198314,Cádiz,industrial,264.79,OSM: industrial | 264.8 ha | Cádiz
Refinería de Gibraltar-San Roque,36.188149,-5.400182,Cádiz,industrial,258.71,OSM: industrial | 258.7 ha | Cádiz
Polígono Industrial Francisco Montenegro,37.229327,-6.946866,Huelva,industrial,248.76,OSM: industrial | 248.8 ha | Huelva
Minas de Aguas Teñidas,37.774391,-6.852944,Huelva,industrial,246.31,OSM: industrial | 246.3 ha | Huelva
Polígono Industrial Las Quemadas,37.904495,-4.717417,Córdoba,industrial,236.64,OSM: industrial | 236.6 ha | Córdoba
General Dynamics European Land Systems / Santa Bárbara Sistemas,37.346633,-5.787958,Sevilla,industrial,196.58,OSM: industrial | 196.6 ha | Sevilla
Polígono Industrial El Portal,36.656878,-6.130845,Cádiz,industrial,174.65,OSM: industrial | 174.7 ha | Cádiz
Parque de Actividades Medioambientales de Andalucía,37.507264,-6.249718,Sevilla,industrial,126.61,OSM: industrial | 126.6 ha | Sevilla
Parque Empresarial El Esparragal,37.5174,-6.084425,Sevilla,industrial,125.23,OSM: industrial | 125.2 ha | Sevilla
Polígono Industrial Carretera Amarilla,37.391382,-5.950075,Sevilla,industrial,122.64,OSM: industrial | 122.6 ha | Sevilla
