seccion_ine,distancia_km,tiempo_mins,fallback
1400101,183.28,129.09,0
1400201,151.82,112.97,0
1400202,152.38,119.44,0
1400203,143.88,105.58,0
1400301,217.86,163.4,0
1400401,202.82,152.12,0
1400402,206.16,154.62,0
1400501,122.3,117.12,0
1400601,227.91,168.01,0
1400701,185.06,140.87,0
1400702,184.12,140.09,0
1400703,185.1,140.66,0
1400704,184.6,141.28,0
1400705,195.0,148.57,0
1400801,250.26,187.69,0
1400802,249.55,186.63,0
1400803,252.15,189.11,0
1400804,249.95,187.46,0
1400901,218.83,154.65,0
1400902,218.16,153.74,0
1400903,215.57,151.0,0
1401001,178.29,127.67,0
1401002,177.76,126.67,0
1401003,182.2,127.39,0
1401101,214.18,160.63,0
1401201,188.84,132.05,0
1401202,190.34,133.17,0
1401203,187.41,137.94,0
1401204,188.88,131.94,0
1401301,171.14,124.34,0
1401302,170.49,124.37,0
1401303,171.22,124.05,0
1401304,171.77,130.52,0
1401401,200.42,144.83,0
1401402,199.03,144.93,0
1401501,181.14,132.34,0
1401601,228.49,156.23,0
1401701,119.36,81.01,0
1401702,116.99,81.49,0
1401703,123.11,83.29,0
1401801,176.6,120.54,0
1401802,176.3,119.53,0
1401901,166.24,126.81,0
1401902,166.76,127.88,0
1401903,167.03,127.71,0
1401904,166.47,127.5,0
1401905,168.43,128.58,0
1402001,250.65,187.99,0
1402101,151.99,106.61,0
1402102,151.34,105.14,0
1402103,151.75,107.17,0
1402104,151.29,105.88,0
1402105,150.64,103.46,0
1402106,151.5,106.19,0
1402107,152.35,107.45,0
1402108,153.01,109.82,0
1402109,150.19,105.15,0
1402110,150.62,104.11,0
1402201,181.49,133.32,0
1402202,183.15,133.69,0
1402301,235.59,176.69,0
1402302,231.82,170.96,0
1402401,176.43,134.26,0
1402402,176.17,136.97,0
1402501,161.96,132.15,0
1402502,159.9,122.4,0
1402503,156.06,117.75,0
1402601,197.55,138.75,0
1402602,211.89,158.92,0
1402603,198.52,139.2,0
1490101,150.62,109.83,0
1402701,148.54,101.05,0
1402702,147.85,109.11,0
1402703,118.52,92.08,0
1402801,229.02,165.62,0
1402901,200.51,150.38,0
1402902,200.38,150.28,0
1402903,192.79,147.93,0
1402904,206.7,155.02,0
1403001,123.66,99.79,0
1403002,115.52,96.2,0
1403101,203.48,152.61,0
1403201,214.22,160.66,0
1403301,135.35,103.93,0
1490201,128.87,100.3,0
1403401,246.48,184.86,0
1403501,238.13,178.6,0
1403502,241.58,179.21,0
1403503,241.12,177.95,0
1403504,243.78,182.84,0
1403601,105.68,103.42,0
1403602,106.25,104.56,0
1403701,207.09,146.72,0
1403702,201.1,143.09,0
1403703,196.76,148.38,0
1403801,162.2,118.94,0
1403802,161.13,116.99,0
1403803,162.35,118.07,0
1403804,168.9,135.2,0
1403805,151.92,108.13,0
1403901,196.93,149.13,0
1404001,132.11,101.01,0
1404002,132.88,98.37,0
1404101,151.74,104.5,0
1404102,147.61,111.35,0
1404201,146.13,109.43,0
1404202,146.46,109.9,0
1404203,145.89,109.22,0
1404204,146.79,110.48,0
1404205,155.48,121.59,0
1404301,192.03,131.96,0
1404302,215.12,155.56,0
1404303,191.92,131.79,0
1404304,221.04,165.78,0
1404401,158.3,116.9,0
1404501,151.41,115.95,0
1404601,169.66,140.57,0
1404602,167.23,137.13,0
1404701,181.56,144.5,0
1404801,186.89,138.53,0
1404901,96.73,89.77,0
1404902,96.31,89.46,0
1404903,96.12,89.05,0
1405001,183.73,128.59,0
1405002,182.55,126.06,0
1405101,240.12,180.09,0
1405102,236.75,177.56,0
1405201,229.61,163.03,0
1405202,223.66,157.75,0
1405203,227.09,162.74,0
1405204,225.86,159.25,0
1405301,142.43,105.51,0
1405302,117.35,113.4,0
1405401,226.72,166.87,0
1405402,225.53,165.23,0
1405403,226.58,167.07,0
1405404,237.69,178.27,0
1405501,193.05,145.71,0
1405502,192.65,146.54,0
1405503,195.77,148.79,0
1405504,199.72,149.92,0
1405601,129.77,93.34,0
1405602,134.18,98.84,0
1405603,133.64,96.78,0
1405604,135.78,97.65,0
1405605,141.1,107.55,0
1405701,132.97,102.25,0
1405801,178.81,138.51,0
1405802,178.57,136.97,0
1405803,178.01,136.44,0
1405804,178.95,138.12,0
1405805,178.22,143.43,0
1405901,134.35,95.5,0
1406101,247.48,173.87,0
1406001,128.62,106.62,0
1406002,125.22,89.05,0
1406201,247.39,185.54,0
1406202,249.65,187.24,0
1406301,209.1,156.82,0
1406401,223.15,167.36,0
1406501,130.57,92.44,0
1406601,199.49,137.23,0
1406602,200.99,136.76,0
1406701,173.89,118.7,0
1406702,170.65,120.85,0
1406801,185.98,131.03,0
1406901,223.49,167.62,0
1406902,237.27,177.95,0
1406903,220.37,167.95,0
1406904,247.21,185.41,0
1407001,220.51,165.38,0
1407002,226.06,169.55,0
1407101,218.09,163.57,0
1407201,230.49,165.75,0
1407301,192.82,145.08,0
1407302,204.52,153.39,0
1407401,239.82,179.87,0
1407402,231.5,163.07,0
1407501,185.11,138.39,0
2100101,122.84,116.94,0
2100201,114.12,86.36,0
2100202,112.39,86.1,0
2100301,157.73,136.3,0
2100401,136.41,127.68,0
2100402,131.93,125.68,0
2100501,84.44,73.11,0
2100502,86.44,94.18,0
2100503,68.82,61.8,0
2100601,140.57,109.0,0
2100602,147.23,114.61,0
2100701,101.74,85.79,0
2100702,110.51,103.97,0
2100703,102.28,85.89,0
2100801,142.48,130.28,0
2100802,153.74,134.79,0
2100803,153.5,134.7,0
2100901,110.33,94.97,0
2101001,153.88,108.78,0
2101002,154.27,109.96,0
2101003,157.18,118.1,0
2101101,93.29,83.64,0
2101201,101.91,110.22,0
2101301,69.88,56.58,0
2101302,69.16,55.26,0
2101303,75.45,57.99,0
2101304,68.86,55.13,0
2101305,69.22,55.77,0
2101401,80.43,62.08,0
2101501,143.15,122.24,0
2101601,100.8,81.41,0
2101701,119.01,100.81,0
2101702,117.39,102.31,0
2101801,104.38,105.87,0
2101802,101.04,104.48,0
2101901,103.23,89.32,0
2102001,118.38,103.22,0
2102101,127.78,94.46,0
2102102,128.08,94.14,0
2102201,115.93,112.52,0
2102301,132.29,112.14,0
2103001,53.34,45.86,0
2102401,104.04,94.11,0
2102501,129.69,108.38,0
2102502,135.52,127.29,0
2102601,117.09,103.59,0
2102701,141.68,116.51,0
2102801,138.43,119.81,0
2102901,150.89,133.68,0
2102902,147.22,132.22,0
2103101,153.87,134.84,0
2103201,72.58,86.54,0
2103301,111.95,92.03,0
2103401,117.07,104.86,0
2103501,115.28,99.5,0
2103502,109.23,80.22,0
2103601,95.91,80.6,0
2103701,156.93,130.36,0
2103801,88.87,74.26,0
2103901,129.66,124.64,0
2104001,63.12,68.57,0
2104002,74.38,94.32,0
2104101,110.77,81.06,0
2104102,108.57,81.09,0
2104103,110.64,81.51,0
2104104,105.52,78.17,0
2104105,105.17,77.47,0
2104106,105.17,77.43,0
2104107,105.11,77.41,0
2104108,106.83,79.16,0
2104201,144.78,106.36,0
2104202,148.91,106.59,0
2104203,148.87,106.54,0
2104204,143.66,105.12,0
2104301,121.45,101.67,0
2104401,134.04,99.64,0
2104402,142.09,100.14,0
2104403,134.29,100.74,0
2104501,107.86,113.61,0
2104601,95.13,79.01,0
2104701,57.56,52.43,0
2104702,66.34,69.33,0
2104801,108.16,89.64,0
2104901,97.83,89.28,0
2104902,101.96,101.39,0
2105001,98.28,73.34,0
2105002,100.61,75.53,0
2105003,114.35,100.99,0
2105101,126.0,103.1,0
2105201,93.49,86.43,0
2105202,97.74,100.41,0
2105203,94.3,93.76,0
2105301,82.62,65.36,0
2105302,81.73,65.98,0
2105303,91.64,80.45,0
2105401,75.16,62.32,0
2105501,108.49,87.15,0
2105601,72.89,80.22,0
2105602,62.08,55.73,0
2105701,164.28,138.69,0
2105801,163.92,138.56,0
2105802,156.41,124.09,0
2105901,98.45,85.59,0
2106001,127.26,100.46,0
2106101,85.85,68.05,0
2106102,82.81,79.35,0
2106201,174.86,142.33,0
2106301,126.7,95.91,0
2106401,105.19,100.02,0
2106402,102.62,93.19,0
2106601,162.24,133.08,0
2106501,170.53,138.97,0
2106701,131.18,119.57,0
2106801,152.68,134.25,0
2106901,81.29,62.66,0
2107001,121.42,114.81,0
2107002,101.57,77.68,0
2107101,121.6,109.56,0
2107201,99.8,82.63,0
2107202,99.3,81.99,0
2107203,100.1,83.33,0
2107301,151.69,110.31,0
2107401,64.15,56.34,0
2107501,135.64,124.14,0
2107601,136.05,109.2,0
2107602,144.08,130.94,0
2107701,79.28,82.07,0
2107702,74.96,65.54,0
2107801,114.59,117.23,0
2107802,109.38,114.44,0
2190201,124.26,112.0,0
2107901,92.39,76.6,0
4100101,104.52,75.09,0
4100102,106.86,84.87,0
4100201,120.59,120.29,0
4100301,37.67,52.2,0
4100401,21.17,23.11,0
4100402,20.04,21.94,0
4100403,20.11,21.31,0
4100404,20.23,21.3,0
4100501,36.18,37.07,0
4100502,35.28,35.6,0
4100601,63.14,59.82,0
4100602,63.56,61.12,0
4100701,29.0,29.54,0
4100702,29.73,31.09,0
4100801,108.61,98.59,0
4100901,82.8,77.06,0
4101001,18.89,36.96,0
4101101,52.06,40.49,0
4101102,53.67,41.72,0
4101103,54.65,43.44,0
4101104,60.01,72.55,0
