seccion_ine,distancia_km,tiempo_mins,fallback
1400101,176.9,128.02,0
1400201,145.44,111.9,0
1400202,146.0,118.36,0
1400203,141.67,107.13,0
1400301,211.48,158.61,0
1400401,200.62,150.47,0
1400402,203.96,152.97,0
1400501,115.92,116.05,0
1400601,221.53,166.15,0
1400701,178.68,139.79,0
1400702,177.74,139.02,0
1400703,178.72,139.59,0
1400704,178.22,140.21,0
1400705,188.62,146.68,0
1400801,243.88,182.91,0
1400802,243.17,182.38,0
1400803,245.77,184.33,0
1400804,243.57,182.68,0
1400901,212.45,153.57,0
1400902,211.78,152.66,0
1400903,209.19,149.93,0
1401001,176.08,129.22,0
1401002,175.55,128.22,0
1401003,180.0,128.94,0
1401101,202.69,152.02,0
1401201,182.46,130.98,0
1401202,183.96,132.09,0
1401203,181.03,136.87,0
1401204,182.5,130.87,0
1401301,168.93,125.9,0
1401302,168.28,125.92,0
1401303,169.02,125.6,0
1401304,169.56,132.07,0
1401401,194.04,143.75,0
1401402,192.65,143.85,0
1401501,178.94,133.9,0
1401601,222.11,155.15,0
1401701,112.98,79.93,0
1401702,110.61,80.41,0
1401703,116.73,82.21,0
1401801,170.22,119.47,0
1401802,169.92,118.45,0
1401901,159.86,125.74,0
1401902,160.38,126.81,0
1401903,160.65,126.63,0
1401904,160.09,126.43,0
1401905,162.04,127.51,0
1402001,244.27,183.2,0
1402101,145.61,105.54,0
1402102,144.96,104.07,0
1402103,145.37,106.1,0
1402104,144.91,104.8,0
1402105,144.26,102.39,0
1402106,145.12,105.11,0
1402107,145.97,106.38,0
1402108,146.63,108.75,0
1402109,143.8,104.08,0
1402110,144.24,103.03,0
1402201,179.29,134.87,0
1402202,180.94,135.24,0
1402301,229.21,171.91,0
1402302,225.44,169.08,0
1402401,174.22,135.82,0
1402402,173.97,138.52,0
1402501,155.58,131.07,0
1402502,153.52,121.33,0
1402503,149.68,116.67,0
1402601,191.17,137.67,0
1402602,205.51,154.13,0
1402603,192.14,138.12,0
1490101,144.24,108.76,0
1402701,142.16,99.97,0
1402702,141.47,108.04,0
1402703,112.14,91.0,0
1402801,222.64,164.55,0
1402901,189.01,146.8,0
1402902,188.89,146.76,0
1402903,181.29,144.41,0
1402904,195.21,148.63,0
1403001,117.28,98.72,0
1403002,109.14,95.13,0
1403101,201.27,150.95,0
1403201,202.73,152.05,0
1403301,128.97,102.86,0
1490201,122.49,99.23,0
1403401,240.1,180.07,0
1403501,220.0,165.0,0
1403502,235.2,176.4,0
1403503,234.74,176.06,0
1403504,237.4,178.05,0
1403601,99.3,102.34,0
1403602,99.87,103.49,0
1403701,204.88,148.27,0
1403702,198.9,144.65,0
1403703,194.55,148.44,0
1403801,160.0,120.5,0
1403802,158.93,118.54,0
1403803,160.14,119.62,0
1403804,166.69,136.75,0
1403805,149.72,109.68,0
1403901,194.72,148.49,0
1404001,125.73,99.93,0
1404002,126.5,97.29,0
1404101,145.36,103.42,0
1404102,141.23,110.28,0
1404201,139.75,108.35,0
1404202,140.08,108.83,0
1404203,139.51,108.15,0
1404204,140.41,109.4,0
1404205,149.1,120.51,0
1404301,185.65,130.89,0
1404302,208.74,154.49,0
1404303,185.54,130.72,0
1404304,214.66,161.0,0
1404401,153.82,116.6,0
1404501,149.2,117.5,0
1404601,163.28,138.33,0
1404602,160.85,136.05,0
1404701,175.18,142.43,0
1404801,184.69,140.09,0
1404901,90.35,88.69,0
1404902,89.93,88.38,0
1404903,89.74,87.97,0
1405001,177.35,127.52,0
1405002,176.17,124.98,0
1405101,233.74,175.31,0
1405102,230.37,172.78,0
1405201,200.0,150.0,0
1405202,217.28,156.68,0
1405203,198.29,149.52,0
1405204,200.32,150.24,0
1405301,136.05,104.43,0
1405302,110.97,112.32,0
1405401,220.33,165.25,0
1405402,219.15,164.16,0
1405403,220.2,165.15,0
1405404,231.31,173.48,0
1405501,190.84,147.26,0
1405502,190.44,147.23,0
1405503,193.56,148.15,0
1405504,197.51,149.29,0
1405601,127.56,94.9,0
1405602,131.97,100.39,0
1405603,131.44,98.33,0
1405604,133.58,99.2,0
1405605,138.9,109.11,0
1405701,126.59,101.17,0
1405801,176.61,140.06,0
1405802,176.36,138.52,0
1405803,175.8,137.99,0
1405804,176.74,139.67,0
1405805,176.01,142.71,0
1405901,127.97,94.42,0
1406101,241.1,172.8,0
1406001,122.24,105.55,0
1406002,118.84,87.98,0
