seccion_ine,distancia_km,tiempo_mins,fallback
1400101,148.93,120.96,0
1400201,106.32,83.27,0
1400202,110.85,91.8,0
1400203,98.2,73.74,0
1400301,183.5,145.11,0
1400401,157.15,121.59,0
1400402,160.48,126.19,0
1400501,115.56,109.95,0
1400601,193.55,148.15,0
1400701,147.2,114.94,0
1400702,147.76,115.49,0
1400703,148.77,114.77,0
1400704,147.82,115.77,0
1400705,159.47,123.83,0
1400801,215.9,161.93,0
1400802,215.19,161.39,0
1400803,217.79,163.34,0
1400804,215.59,161.69,0
1400901,184.48,145.41,0
1400902,183.8,145.2,0
1400903,181.21,142.87,0
1401001,132.61,95.84,0
1401002,132.08,94.83,0
1401003,136.53,95.55,0
1401101,217.7,163.28,0
1401201,154.48,123.92,0
1401202,155.98,125.04,0
1401203,153.05,129.81,0
1401204,154.52,123.81,0
1401301,125.46,92.51,0
1401302,124.81,92.53,0
1401303,125.55,92.21,0
1401304,126.09,98.68,0
1401401,166.06,136.7,0
1401402,164.67,136.8,0
1401501,135.47,100.51,0
1401601,194.14,148.1,0
1401701,85.01,72.88,0
1401702,82.63,73.36,0
1401703,88.75,75.15,0
1401801,142.24,112.41,0
1401802,141.95,111.4,0
1401901,138.15,108.42,0
1401902,138.67,109.49,0
1401903,138.94,109.31,0
1401904,138.39,109.11,0
1401905,140.34,110.19,0
1402001,216.29,162.22,0
1402101,117.63,98.48,0
1402102,116.98,97.01,0
1402103,117.4,99.04,0
1402104,116.93,97.74,0
1402105,116.28,95.33,0
1402106,117.14,98.05,0
1402107,117.99,99.32,0
1402108,118.65,101.69,0
1402109,115.83,97.02,0
1402110,116.26,95.97,0
1402201,135.82,101.48,0
1402202,137.47,101.85,0
1402301,201.23,153.62,0
1402302,197.46,149.28,0
1402401,130.75,102.43,0
1402402,130.5,105.14,0
1402501,133.88,113.76,0
1402502,131.81,104.01,0
1402503,127.97,99.35,0
1402601,163.2,130.61,0
1402602,177.53,143.2,0
1402603,164.17,131.06,0
1490101,116.26,101.7,0
1402701,114.18,92.91,0
1402702,113.49,100.98,0
1402703,84.16,83.94,0
1402801,194.66,148.47,0
1402901,211.13,158.35,0
1402902,208.44,156.33,0
1402903,217.26,162.94,0
1402904,200.83,150.62,0
1403001,89.3,91.66,0
1403002,81.16,88.07,0
1403101,157.8,124.95,0
1403201,207.2,155.4,0
1403301,100.99,95.8,0
1490201,94.52,92.17,0
1403401,212.12,159.09,0
1403501,203.77,152.83,0
1403502,207.23,155.42,0
1403503,206.76,155.07,0
1403504,209.42,157.57,0
1403601,107.43,113.18,0
1403602,108.01,113.69,0
1403701,161.41,114.89,0
1403702,155.42,111.26,0
1403703,151.08,116.54,0
1403801,116.52,87.11,0
1403802,115.46,85.15,0
1403803,116.67,86.23,0
1403804,123.22,103.37,0
