seccion_ine,distancia_km,tiempo_mins,fallback
1400101,188.21,136.59,0
1400201,156.75,120.46,0
1400202,157.31,126.93,0
1400203,154.73,118.14,0
1400301,222.79,167.09,0
1400401,213.68,160.26,0
1400402,217.01,162.76,0
1400501,127.23,123.51,0
1400601,232.84,174.63,0
1400701,189.99,147.09,0
1400702,189.05,146.81,0
1400703,190.03,147.11,0
1400704,189.53,146.96,0
1400705,199.93,149.98,0
1400801,255.19,191.39,0
1400802,254.48,190.86,0
1400803,257.08,192.81,0
1400804,254.88,191.16,0
1400901,223.76,162.14,0
1400902,223.09,161.23,0
1400903,220.5,158.5,0
1401001,189.14,140.23,0
1401002,188.61,139.23,0
1401003,193.06,139.95,0
1401101,208.8,156.6,0
1401201,193.77,139.55,0
1401202,195.27,140.66,0
1401203,192.34,145.44,0
1401204,193.81,139.44,0
1401301,181.99,136.91,0
1401302,181.34,136.93,0
1401303,182.07,136.61,0
1401304,182.62,143.08,0
1401401,205.35,152.32,0
1401402,203.96,152.42,0
1401501,191.99,144.9,0
1401601,233.42,163.72,0
1401701,124.29,88.5,0
1401702,121.92,88.98,0
1401703,128.04,90.78,0
1401801,181.53,128.03,0
1401802,181.23,127.02,0
1401901,171.17,134.3,0
1401902,171.69,135.38,0
1401903,171.96,135.2,0
1401904,171.4,135.0,0
1401905,173.35,136.07,0
1402001,255.58,191.69,0
1402101,156.92,114.1,0
1402102,156.27,112.64,0
1402103,156.68,114.66,0
1402104,156.22,113.37,0
1402105,155.57,110.96,0
1402106,156.43,113.68,0
1402107,157.28,114.94,0
1402108,157.94,117.31,0
1402109,155.11,112.64,0
1402110,155.55,111.6,0
1402201,192.34,145.88,0
1402202,194.0,146.25,0
1402301,240.52,180.39,0
1402302,236.75,177.56,0
1402401,187.28,146.27,0
1402402,187.02,146.2,0
1402501,166.89,139.61,0
1402502,164.83,129.89,0
1402503,160.99,125.24,0
1402601,202.48,146.24,0
1402602,216.82,162.61,0
1402603,203.45,146.69,0
1490101,155.55,117.32,0
1402701,153.47,108.54,0
1402702,152.78,116.61,0
1402703,123.45,99.57,0
1402801,233.95,173.12,0
1402901,195.13,148.61,0
1402902,195.0,148.57,0
1402903,187.41,146.31,0
1402904,201.32,150.99,0
1403001,128.59,107.29,0
1403002,120.45,103.69,0
1403101,214.33,160.75,0
