seccion_ine,distancia_km,tiempo_mins,fallback
1400101,251.68,188.76,0
1400201,220.22,165.16,0
1400202,220.77,165.58,0
1400203,218.19,163.64,0
1400301,286.25,214.69,0
1400401,277.14,207.85,0
1400402,280.47,210.35,0
1400501,190.69,147.3,0
1400601,296.3,222.23,0
1400701,253.45,190.09,0
1400702,252.52,189.39,0
1400703,253.49,190.12,0
1400704,252.99,189.74,0
1400705,263.4,197.55,0
1400801,318.65,238.99,0
1400802,317.94,238.46,0
1400803,320.54,240.41,0
1400804,318.34,238.75,0
1400901,287.23,215.42,0
1400902,286.56,214.92,0
1400903,283.96,212.97,0
1401001,252.6,189.45,0
1401002,252.07,189.05,0
1401003,256.52,192.39,0
1401101,272.27,204.2,0
1401201,257.23,192.92,0
1401202,258.73,194.05,0
1401203,255.8,191.85,0
1401204,257.27,192.95,0
1401301,245.45,184.09,0
1401302,244.8,183.6,0
1401303,245.54,184.16,0
1401304,246.08,184.56,0
1401401,268.81,201.61,0
1401402,267.42,200.56,0
1401501,255.46,191.59,0
1401601,299.15,224.36,0
1401701,187.76,144.25,0
1401702,185.38,144.73,0
1401703,191.5,146.53,0
1401801,244.99,183.74,0
1401802,244.7,182.78,0
1401901,234.63,175.97,0
1401902,235.15,176.36,0
1401903,235.42,176.56,0
1401904,234.87,176.15,0
1401905,236.82,177.61,0
1402001,319.05,239.29,0
1402101,220.38,165.28,0
1402102,219.73,164.8,0
1402103,220.15,165.11,0
1402104,219.68,164.76,0
1402105,219.03,164.27,0
1402106,219.89,164.92,0
1402107,220.74,165.56,0
1402108,221.4,166.05,0
1402109,218.58,163.94,0
1402110,219.01,164.26,0
1402201,255.81,191.86,0
1402202,257.46,193.09,0
1402301,303.98,227.99,0
1402302,300.21,225.16,0
1402401,250.74,188.06,0
1402402,250.49,187.87,0
1402501,230.35,172.76,0
1402502,228.29,171.22,0
1402503,224.45,168.34,0
1402601,265.95,199.46,0
1402602,280.28,210.21,0
1402603,266.92,200.19,0
1490101,219.01,164.26,0
1402701,216.94,162.7,0
1402702,216.24,162.18,0
1402703,186.91,146.16,0
1402801,297.41,223.06,0
1402901,258.59,193.94,0
1402902,258.47,193.85,0
1402903,250.87,188.15,0
1402904,264.78,198.58,0
1403001,192.06,147.71,0
1403002,183.91,145.24,0
1403101,277.79,208.34,0
1403201,272.31,204.23,0
1403301,203.74,152.81,0
1490201,197.27,149.23,0
1403401,314.87,236.15,0
1403501,289.57,217.18,0
1403502,309.98,232.49,0
1403503,309.51,232.13,0
1403504,312.17,234.13,0
1403601,174.07,142.06,0
1403602,174.65,142.26,0
1403701,281.4,211.05,0
1403702,275.41,206.56,0
1403703,271.07,203.3,0
1403801,236.51,177.38,0
1403802,235.44,176.58,0
1403803,236.66,177.5,0
1403804,243.21,182.41,0
1403805,226.24,169.68,0
1403901,267.31,200.48,0
1404001,200.5,150.38,0
1404002,201.27,150.95,0
1404101,220.14,165.1,0
1404102,216.0,162.0,0
1404201,214.52,160.89,0
1404202,214.85,161.14,0
1404203,214.29,160.72,0
1404204,215.18,161.38,0
1404205,223.87,167.9,0
1404301,260.42,195.21,0
1404302,283.51,212.63,0
1404303,260.31,195.04,0
1404304,289.43,217.07,0
1404401,228.6,171.45,0
1404501,225.72,169.29,0
1404601,238.05,178.54,0
1404602,235.63,176.72,0
1404701,249.95,187.46,0
1404801,261.2,195.9,0
1404901,165.13,138.99,0
1404902,164.7,138.84,0
1404903,164.51,138.77,0
1405001,252.12,189.09,0
1405002,250.94,188.21,0
1405101,308.52,231.39,0
1405102,305.14,228.85,0
1405201,269.58,202.19,0
1405202,272.9,204.67,0
1405203,267.87,200.9,0
1405204,269.9,202.42,0
1405301,210.82,158.12,0
1405302,185.74,145.8,0
1405401,295.11,221.33,0
1405402,293.92,220.44,0
1405403,294.97,221.23,0
1405404,306.08,229.56,0
1405501,267.36,200.52,0
1405502,266.96,200.22,0
1405503,270.08,202.56,0
1405504,274.03,205.52,0
1405601,204.08,153.06,0
1405602,208.49,156.37,0
1405603,207.96,155.97,0
1405604,210.09,157.57,0
1405605,215.42,161.56,0
1405701,201.37,151.03,0
1405801,253.13,189.85,0
1405802,252.88,189.66,0
1405803,252.32,189.24,0
1405804,253.26,189.94,0
1405805,252.53,189.4,0
1405901,202.75,152.06,0
1406101,315.87,236.9,0
1406001,197.01,149.15,0
1406002,193.62,148.17,0
1406201,316.93,237.7,0
1406202,318.04,238.53,0
1406301,277.5,208.12,0
1406401,281.23,210.92,0
1406501,198.97,149.71,0
1406601,267.88,200.48,0
1406602,269.38,200.0,0
1406701,242.28,181.71,0
1406702,239.05,179.29,0
1406801,254.37,190.78,0
1406901,291.88,218.91,0
1406902,305.66,229.25,0
1406903,288.77,216.58,0
1406904,315.6,236.7,0
1407001,288.91,216.68,0
1407002,294.45,220.84,0
1407101,286.48,214.86,0
1407201,298.88,224.16,0
1407301,261.21,195.91,0
1407302,272.91,204.68,0
1407401,308.21,231.16,0
1407402,299.89,224.92,0
1407501,259.43,194.57,0
2100101,123.14,121.55,0
2100201,72.68,67.19,0
2100202,70.95,66.93,0
2100301,116.29,118.12,0
2100401,128.64,124.17,0
2100402,109.94,114.75,0
2100501,15.54,31.43,0
2100502,26.36,48.06,0
2100503,18.27,29.27,0
2100601,99.13,89.83,0
2100602,105.79,95.44,0
2100701,115.66,117.79,0
2100702,125.45,122.66,0
2100703,116.39,118.17,0
2100801,137.12,127.99,0
2100802,148.39,136.59,0
2100803,148.14,132.59,0
2100901,168.41,140.14,0
2101001,112.44,89.61,0
2101002,112.84,90.79,0
2101003,115.74,98.93,0
2101101,51.85,64.47,0
2101201,63.69,86.64,0
2101301,23.63,31.04,0
2101302,23.84,31.33,0
2101303,34.01,38.82,0
2101304,24.7,32.91,0
2101305,24.32,32.27,0
2101401,32.77,42.72,0
2101501,104.93,105.36,0
2101601,158.89,128.41,0
2101701,80.78,83.93,0
2101702,79.16,85.43,0
2101801,84.66,97.5,0
2101802,87.05,102.18,0
2101901,97.87,104.18,0
2102001,176.47,142.86,0
2102101,86.35,75.29,0
2102102,86.64,74.97,0
2102201,123.17,121.56,0
2102301,94.07,95.26,0
2103001,42.62,46.73,0
2102401,128.46,124.09,0
2102501,124.34,122.13,0
2102502,127.75,123.75,0
2102601,132.03,125.73,0
2102701,144.04,130.93,0
2102801,140.78,129.56,0
2102901,153.24,134.6,0
2102902,149.57,133.16,0
2103101,156.22,135.74,0
2103201,61.86,85.21,0
2103301,128.03,123.89,0
2103401,125.21,122.55,0
2103501,73.84,80.33,0
2103502,67.79,61.05,0
2103601,102.6,106.67,0
2103701,115.5,111.19,0
2103801,113.33,116.57,0
2103901,158.27,136.5,0
2104001,30.47,53.55,0
2104002,18.14,35.75,0
2104101,69.33,61.89,0
2104102,67.13,61.92,0
2104103,69.21,62.34,0
2104104,64.08,59.01,0
2104105,63.73,58.3,0
2104106,63.73,58.27,0
2104107,63.67,58.24,0
2104108,65.39,60.0,0
2104201,103.34,87.2,0
2104202,107.47,87.42,0
2104203,107.43,87.37,0
2104204,102.22,85.95,0
2104301,119.27,118.89,0
2104401,92.6,80.47,0
2104402,100.65,80.98,0
2104403,92.86,81.57,0
2104501,116.2,118.07,0
2104601,39.43,52.15,0
2104701,46.84,53.3,0
2104702,41.82,61.4,0
2104801,123.1,121.53,0
2104901,87.36,91.33,0
2104902,91.04,102.98,0
2105001,56.84,54.18,0
2105002,59.18,56.36,0
2105003,54.84,67.95,0
2105101,128.36,124.04,0
2105201,91.9,97.56,0
2105202,96.72,107.43,0
2105203,94.48,106.27,0
2105301,41.18,46.2,0
2105302,40.29,46.82,0
2105303,50.2,61.29,0
2105401,36.94,45.43,0
2105501,67.05,67.98,0
2105601,62.17,81.1,0
2105602,51.37,56.6,0
2105701,126.06,122.96,0
2105801,122.48,121.23,0
2105802,114.98,104.92,0
2105901,122.71,121.34,0
2106001,85.83,81.3,0
2106101,26.04,37.29,0
2106102,27.59,45.78,0
2106201,129.4,124.52,0
2106301,85.26,76.74,0
2106401,63.75,80.85,0
2106402,61.18,74.02,0
2106601,120.8,113.91,0
2106501,129.1,119.8,0
2106701,108.4,113.91,0
2106801,114.45,117.16,0
2106901,139.37,109.66,0
2107001,79.98,95.64,0
2107002,60.14,58.51,0
2107101,130.82,125.18,0
2107201,61.58,65.74,0
2107202,61.08,65.11,0
2107203,61.88,66.44,0
2107301,110.25,91.14,0
2107401,39.27,48.22,0
2107501,97.42,107.25,0
2107601,94.61,90.04,0
2107602,102.64,110.64,0
2107701,38.81,63.55,0
2107702,33.52,46.37,0
2107801,76.36,95.63,0
2107802,71.16,92.12,0
2190201,86.04,95.11,0
2107901,118.68,119.34,0
4100101,178.83,143.41,0
4100102,181.17,144.37,0
4100201,183.89,151.27,0
4100301,70.96,77.31,0
4100401,100.42,92.15,0
4100402,98.19,92.77,0
4100403,99.1,91.75,0
4100404,98.75,91.25,0
4100501,95.48,86.3,0
4100502,94.58,84.83,0
4100601,131.53,123.06,0
4100602,125.26,122.57,0
4100701,87.09,76.55,0
4100702,87.82,78.1,0
4100801,182.92,144.93,0
4100901,140.89,124.06,0
4101001,71.78,69.72,0
4101101,126.38,108.81,0
4101102,127.98,110.04,0
4101103,128.96,111.75,0
4101104,134.32,126.76,0
4101201,68.51,90.24,0
4101301,74.55,75.49,0
4101302,74.01,74.73,0
4101401,210.78,158.09,0
4101501,46.09,64.83,0
4101502,61.15,60.16,0
4101601,67.71,63.48,0
4101602,66.41,60.54,0
4101701,71.52,64.23,0
4101801,101.5,92.25,0
4101901,107.23,109.9,0
4102001,129.04,107.23,0
4102002,130.64,109.25,0
4102101,77.77,70.74,0
4102102,76.7,68.35,0
4102103,75.9,66.58,0
4102104,75.01,66.45,0
4102201,148.26,123.31,0
4102202,147.75,122.79,0
4102301,114.14,107.44,0
4102302,113.89,106.88,0
4190101,163.35,138.36,0
4102401,114.59,99.03,0
4102402,114.86,101.29,0
4102403,114.52,100.03,0
4102404,113.74,97.63,0
4102405,113.41,96.92,0
4102406,131.44,119.21,0
4102501,49.3,52.05,0
4102502,48.33,48.23,0
4102601,205.67,154.25,0
4102602,204.53,153.4,0
4102701,117.4,111.32,0
4102702,117.36,111.98,0
4102801,76.55,74.1,0
4102901,75.12,66.42,0
4103001,50.23,54.58,0
4103101,129.14,108.2,0
4103201,159.08,136.8,0
4103202,160.35,137.27,0
4103301,165.39,139.09,0
4103302,166.35,139.42,0
4103303,168.49,140.17,0
4103304,167.94,139.98,0
4103401,77.83,73.69,0
4103402,78.82,75.74,0
4103403,77.85,73.78,0
4103501,164.54,138.78,0
4103601,130.15,114.45,0
4103602,129.91,113.97,0
4103701,190.15,147.14,0
4103702,192.84,147.94,0
4190301,144.68,117.83,0
4103801,94.09,86.24,0
4103802,93.68,86.4,0
4103803,97.81,87.04,0
4103804,92.99,84.95,0
4103805,87.2,81.73,0
4103901,167.2,132.47,0
4103902,167.93,133.47,0
4103903,166.1,130.39,0
4103904,166.29,130.8,0
4103905,167.49,133.09,0
4104001,69.92,64.46,0
4104101,190.08,147.12,0
4104102,191.12,147.43,0
4104103,191.61,147.58,0
4104104,191.74,147.62,0
4104201,143.91,119.06,0
4104202,143.83,118.17,0
4104203,146.27,126.91,0
4104301,111.71,91.85,0
4104401,71.94,78.91,0
4104501,97.25,82.31,0
4104502,85.23,101.13,0
4104601,187.1,146.22,0
4104602,188.38,146.61,0
4104701,71.94,64.22,0
4104801,221.0,165.75,0
4104802,221.81,166.36,0
4104803,220.71,165.53,0
4104901,94.91,81.98,0
4105001,202.58,151.94,0
4105002,205.17,153.88,0
4105003,200.99,150.74,0
4105101,51.25,51.73,0
4190201,52.11,76.95,0
4105201,162.52,135.84,0
4105301,141.73,121.9,0
4105302,142.46,123.57,0
4105303,141.0,120.59,0
4105304,141.07,122.79,0
4105401,198.97,149.71,0
4105501,138.12,124.3,0
4105502,138.43,124.61,0
4105503,138.89,124.74,0
4105601,150.77,121.55,0
4105701,79.93,97.92,0
4105801,105.05,98.04,0
4105802,105.23,98.61,0
4105803,105.62,99.19,0
4105901,74.63,69.51,0
4106001,144.33,131.05,0
4106002,142.88,123.41,0
4106003,143.03,123.64,0
4106101,191.26,147.47,0
4106201,192.21,147.75,0
4106301,118.4,104.12,0
4106401,142.75,126.94,0
4106402,143.76,130.81,0
4106403,144.72,131.21,0
4106501,144.07,123.28,0
4106502,144.93,124.75,0
4106503,144.44,123.67,0
4106504,145.26,125.32,0
4106505,149.77,133.24,0
4106601,189.23,146.87,0
4106602,191.13,147.51,0
4106701,73.59,83.2,0
4106702,68.11,64.51,0
4106801,169.35,139.21,0
4106802,171.92,141.34,0
4106803,168.9,137.85,0
4106804,173.72,141.95,0
4106805,167.99,137.31,0
4106901,105.75,93.23,0
4106902,107.93,94.44,0
4106903,106.94,92.97,0
4106904,107.26,93.96,0
4190401,127.53,122.5,0
4107001,82.4,72.42,0
4107101,133.87,116.25,0
4107102,132.8,113.6,0
4107103,133.98,116.95,0
4107201,193.37,148.1,0
4107301,140.65,129.51,0
4107401,157.76,136.31,0
4107501,34.4,47.52,0
4107601,175.31,142.48,0
4107701,151.04,126.58,0
4107702,149.06,123.58,0
4107703,150.06,125.79,0
4107801,165.01,138.95,0
4107802,161.51,137.69,0
4107901,79.23,75.04,0
4108001,149.6,121.65,0
4108002,161.83,137.81,0
4108101,91.84,83.32,0
4108102,90.57,82.87,0
4108201,212.34,159.26,0
4108301,122.77,104.84,0
4108401,189.56,146.96,0
4108402,183.41,145.08,0
4108501,73.27,74.11,0
4108601,77.42,69.84,0
4108602,77.51,70.18,0
4108603,76.91,68.77,0
4108604,77.46,69.61,0
4108801,179.26,143.76,0
4108701,62.85,59.86,0
4108702,62.99,59.29,0
4108901,79.57,89.13,0
4108902,84.82,87.65,0
4109001,187.48,146.34,0
4109101,82.08,75.42,0
4109102,80.41,72.89,0
4109103,82.24,75.09,0
4109104,84.51,77.99,0
4109105,81.28,72.91,0
4109106,78.85,70.14,0
4109107,83.0,75.49,0
4109108,83.24,75.53,0
4109109,90.8,84.15,0
4109110,84.95,78.42,0
4109111,82.48,78.4,0
4109201,116.42,114.18,0
4109202,116.23,111.07,0
4109301,74.44,66.02,0
4109401,67.14,60.98,0
4109402,66.54,60.27,0
4109501,109.83,97.42,0
4109502,110.34,98.51,0
4109503,110.57,99.24,0
4109504,109.57,97.21,0
4109505,111.64,99.65,0
4109601,77.79,75.26,0
4109701,26.45,48.19,0
4109702,23.73,44.33,0
4110001,178.04,143.37,0
4109801,70.63,65.09,0
4109901,126.04,122.89,0
4109902,124.66,118.96,0
4109903,125.53,121.72,0
4110101,106.84,98.34,0
4110201,113.29,103.9,0
4110202,111.51,104.3,0
4110203,110.49,100.45,0
1100101,215.5,161.62,0
1100102,212.52,159.39,0
1100201,201.65,151.24,0
1100301,189.18,146.85,0
1100401,260.8,192.39,0
1100402,261.06,193.87,0
1100403,260.94,192.94,0
1100404,260.34,192.31,0
1100501,169.75,140.6,0
1100502,168.88,140.3,0
1100601,190.21,147.16,0
1100602,167.46,139.81,0
1100603,188.89,146.76,0
1100604,170.56,140.88,0
1100701,243.64,182.73,0
1100702,244.07,183.05,0
1100703,244.48,183.36,0
1100704,247.02,185.27,0
1100801,242.13,179.82,0
1100802,258.86,191.78,0
1100803,256.28,192.21,0
1190101,217.74,163.31,0
1100901,189.27,146.88,0
1101001,165.61,139.16,0
1101002,166.4,139.44,0
1101003,159.91,136.74,0
1101101,178.84,143.63,0
1101201,197.99,149.43,0
1101202,198.02,149.44,0
1101203,198.02,149.44,0
1101204,198.15,149.48,0
1101205,197.52,149.3,0
1101206,197.29,149.23,0
1101207,196.34,148.96,0
1101208,196.24,148.93,0
1101209,195.92,148.84,0
1101210,196.69,149.06,0
1101301,276.02,207.01,0
1101501,202.46,151.85,0
1101502,203.65,152.74,0
1101503,202.89,152.17,0
1101504,201.39,151.04,0
1101505,214.87,161.15,0
1101601,201.86,151.4,0
1101602,201.56,151.17,0
1101603,199.83,149.95,0
1101401,221.87,166.4,0
1101402,221.36,166.02,0
1101403,222.24,166.68,0
1101701,153.05,132.33,0
1101801,181.09,144.35,0
1101901,196.02,148.87,0
1102001,169.51,138.72,0
1102002,167.16,133.07,0
1102003,170.31,137.79,0
1102004,165.73,130.89,0
1102005,167.21,132.53,0
1102006,166.21,131.53,0
1102007,168.9,136.04,0
1102008,171.84,135.74,0
1102009,157.54,136.23,0
1102010,174.71,142.28,0
1102101,291.56,218.67,0
1102102,285.09,213.82,0
1102103,296.73,222.55,0
1102201,270.84,202.57,0
1102202,271.31,202.95,0
1102203,270.51,201.81,0
1102204,270.29,201.91,0
1102205,269.34,200.11,0
1102206,271.45,203.59,0
1102207,272.29,204.22,0
1102301,197.24,149.22,0
1102302,196.53,149.01,0
1102303,196.94,149.13,0
1102304,196.79,149.09,0
1102305,196.04,148.87,0
1102306,209.38,157.03,0
1102401,184.56,145.44,0
1102402,182.57,144.82,0
