seccion_ine,distancia_km,tiempo_mins,fallback
1400101,252.1,174.52,0
1400201,188.08,146.52,0
1400202,192.61,147.87,0
1400203,179.96,143.11,0
1400301,286.68,215.01,0
1400401,238.91,179.18,0
1400402,242.24,181.68,0
1400501,191.12,147.43,0
1400601,296.73,213.44,0
1400701,228.96,171.72,0
1400702,229.52,172.14,0
1400703,230.53,172.9,0
1400704,229.58,172.19,0
1400705,241.23,180.92,0
1400801,319.08,234.19,0
1400802,318.37,232.06,0
1400803,320.97,239.98,0
1400804,318.76,233.38,0
1400901,287.65,200.07,0
1400902,286.98,199.17,0
1400903,284.38,196.43,0
1401001,192.38,147.8,0
1401002,191.85,147.65,0
1401003,188.56,146.66,0
1401101,287.69,215.77,0
1401201,257.66,177.48,0
1401202,259.15,178.59,0
1401203,256.23,183.37,0
1401204,257.69,177.37,0
1401301,207.22,155.42,0
1401302,206.57,154.93,0
1401303,207.31,155.48,0
1401304,207.85,155.89,0
1401401,269.23,190.25,0
1401402,267.84,190.36,0
1401501,217.23,162.92,0
1401601,299.57,209.64,0
1401701,188.18,126.44,0
1401702,185.81,126.92,0
1401703,191.92,128.71,0
1401801,245.42,165.97,0
1401802,245.12,164.96,0
1401901,235.05,172.24,0
1401902,235.57,173.31,0
1401903,235.84,173.14,0
1401904,235.29,172.93,0
1401905,237.24,174.01,0
1402001,319.47,234.41,0
1402101,220.81,152.04,0
1402102,220.15,150.57,0
1402103,220.57,152.6,0
1402104,220.1,151.3,0
1402105,219.45,148.89,0
1402106,220.31,151.61,0
1402107,221.16,152.88,0
1402108,221.82,155.25,0
1402109,219.0,150.58,0
1402110,219.44,149.53,0
1402201,217.58,163.19,0
1402202,219.23,164.42,0
1402301,304.4,228.3,0
1402302,300.63,216.39,0
1402401,212.51,159.38,0
1402402,212.26,159.19,0
1402501,230.78,173.09,0
1402502,228.71,167.83,0
1402503,224.87,163.18,0
1402601,266.37,184.17,0
1402602,280.71,210.53,0
1402603,267.34,184.62,0
1490101,219.44,155.26,0
1402701,217.36,146.47,0
1402702,216.66,154.54,0
1402703,187.34,137.5,0
1402801,297.83,211.05,0
1402901,274.01,205.51,0
1402902,273.89,205.42,0
1402903,266.29,199.72,0
1402904,280.21,210.16,0
1403001,192.48,145.22,0
1403002,184.34,141.63,0
1403101,239.56,179.67,0
1403201,287.73,215.8,0
1403301,204.16,149.36,0
1490201,197.69,145.73,0
1403401,315.29,236.47,0
1403501,306.95,230.21,0
1403502,310.4,224.64,0
1403503,309.94,223.38,0
1403504,312.6,234.45,0
1403601,174.49,142.2,0
1403602,175.07,142.4,0
1403701,213.44,160.08,0
1403702,207.45,155.59,0
1403703,218.03,163.52,0
1403801,198.28,149.51,0
1403802,197.21,149.21,0
1403803,198.43,149.56,0
1403804,204.98,153.73,0
1403805,188.01,145.66,0
1403901,233.01,174.76,0
1404001,200.92,146.43,0
1404002,201.69,143.8,0
1404101,220.56,149.93,0
1404102,216.42,156.78,0
1404201,214.94,154.85,0
1404202,215.28,155.33,0
1404203,214.71,154.65,0
1404204,215.6,155.91,0
1404205,224.29,167.01,0
1404301,260.85,177.39,0
1404302,283.93,200.99,0
1404303,260.74,177.22,0
1404304,289.86,217.4,0
1404401,194.38,148.39,0
1404501,187.49,146.34,0
1404601,225.73,169.3,0
1404602,222.35,166.76,0
1404701,250.37,187.78,0
1404801,193.24,148.06,0
1404901,165.55,135.19,0
1404902,165.13,134.89,0
1404903,164.94,134.48,0
1405001,252.55,174.02,0
1405002,251.36,171.48,0
1405101,308.94,231.7,0
1405102,305.56,228.15,0
1405201,298.42,208.46,0
1405202,292.48,203.18,0
1405203,295.91,208.17,0
1405204,294.68,204.68,0
1405301,211.24,150.94,0
1405302,186.16,145.93,0
1405401,295.53,212.3,0
1405402,294.35,210.66,0
1405403,295.4,212.5,0
1405404,306.5,227.17,0
1405501,229.13,171.85,0
1405502,228.73,171.55,0
1405503,231.85,173.89,0
1405504,235.8,176.85,0
1405601,165.85,130.88,0
1405602,170.26,136.37,0
1405603,169.73,134.31,0
1405604,171.86,135.18,0
1405605,177.19,143.09,0
1405701,201.79,147.68,0
1405801,214.9,161.18,0
1405802,214.65,160.99,0
1405803,214.09,160.57,0
1405804,215.03,161.27,0
1405805,214.3,160.72,0
1405901,203.17,140.93,0
1406101,316.29,219.3,0
1406001,197.44,149.27,0
1406002,194.04,134.48,0
1406201,317.35,238.01,0
1406202,318.47,238.85,0
1406301,255.33,191.5,0
1406401,296.65,222.49,0
1406501,199.39,137.87,0
1406601,268.31,182.66,0
1406602,269.81,182.19,0
1406701,242.7,164.13,0
1406702,239.47,166.28,0
1406801,254.8,176.46,0
1406901,292.3,219.22,0
1406902,306.08,229.56,0
1406903,289.19,216.89,0
1406904,316.02,231.93,0
1407001,289.33,217.0,0
1407002,294.87,216.97,0
1407101,286.9,215.17,0
1407201,299.31,211.17,0
1407301,261.63,190.51,0
1407302,273.33,205.0,0
1407401,308.63,231.47,0
1407402,300.31,208.5,0
1407501,221.2,165.9,0
2100101,196.35,148.96,0
2100201,187.63,132.58,0
2100202,185.9,132.31,0
2100301,231.24,173.43,0
2100401,209.92,157.44,0
2100402,205.43,154.07,0
2100501,157.94,119.33,0
2100502,159.95,137.12,0
2100503,142.33,108.02,0
2100601,214.08,155.21,0
2100602,220.73,160.83,0
2100701,175.25,132.01,0
2100702,184.02,145.27,0
2100703,175.79,132.11,0
2100801,215.98,161.98,0
2100802,227.25,170.44,0
2100803,227.01,170.26,0
2100901,183.84,141.19,0
