seccion_ine,distancia_km,tiempo_mins,fallback
1400101,205.53,149.89,0
1400201,174.07,133.76,0
1400202,174.63,140.23,0
1400203,172.05,131.44,0
1400301,240.11,180.08,0
1400401,230.99,173.24,0
1400402,234.33,175.75,0
1400501,144.55,131.14,0
1400601,250.16,187.62,0
1400701,207.31,155.48,0
1400702,206.37,154.78,0
1400703,207.35,155.51,0
1400704,206.85,155.14,0
1400705,217.25,162.94,0
1400801,272.51,204.38,0
1400802,271.8,203.85,0
1400803,274.4,205.8,0
1400804,272.2,204.15,0
1400901,241.08,175.44,0
1400902,240.41,174.53,0
1400903,237.82,171.8,0
1401001,206.45,153.53,0
1401002,205.93,152.53,0
1401003,210.37,153.25,0
1401101,210.28,157.71,0
1401201,211.09,152.85,0
1401202,212.58,153.96,0
1401203,209.66,157.25,0
1401204,211.12,152.74,0
1401301,199.31,149.81,0
1401302,198.65,149.62,0
1401303,199.39,149.83,0
1401304,199.93,149.98,0
1401401,222.66,165.62,0
1401402,221.28,165.72,0
1401501,209.31,156.98,0
1401601,250.74,177.02,0
1401701,141.61,101.8,0
1401702,139.24,102.28,0
1401703,145.36,104.08,0
1401801,198.85,141.34,0
1401802,198.55,140.32,0
1401901,188.49,146.64,0
1401902,189.01,146.8,0
1401903,189.28,146.88,0
1401904,188.72,146.71,0
1401905,190.67,147.3,0
1402001,272.9,204.67,0
1402101,174.24,127.41,0
1402102,173.59,125.94,0
1402103,174.0,127.96,0
1402104,173.54,126.67,0
1402105,172.89,124.26,0
1402106,173.75,126.98,0
1402107,174.59,128.25,0
1402108,175.25,130.62,0
1402109,172.43,125.95,0
1402110,172.87,124.9,0
1402201,209.66,157.25,0
1402202,211.32,158.49,0
1402301,257.84,193.38,0
1402302,254.07,190.55,0
1402401,204.6,153.45,0
1402402,204.34,153.25,0
1402501,184.21,145.33,0
1402502,182.15,143.2,0
1402503,178.31,138.54,0
1402601,219.8,159.54,0
1402602,234.14,175.6,0
1402603,220.77,159.99,0
