seccion_ine,distancia_km,tiempo_mins,fallback
1400101,151.78,106.18,0
1400201,120.32,90.06,0
1400202,120.87,96.53,0
1400203,131.87,99.39,0
1400301,186.35,145.99,0
1400401,182.47,140.44,0
1400402,185.81,145.04,0
1400501,90.79,94.21,0
1400601,196.4,145.1,0
1400701,153.55,117.95,0
1400702,152.62,117.18,0
1400703,153.59,117.75,0
1400704,153.09,118.37,0
1400705,163.5,128.07,0
1400801,218.75,164.06,0
1400802,218.04,163.53,0
1400803,220.64,165.48,0
1400804,218.44,163.83,0
1400901,187.33,131.73,0
1400902,186.66,130.82,0
1400903,184.06,128.09,0
1401001,157.66,113.95,0
1401002,157.13,112.95,0
1401003,159.3,114.52,0
1401101,220.55,165.41,0
1401201,157.33,109.14,0
1401202,158.83,110.25,0
1401203,155.9,115.03,0
1401204,157.37,109.03,0
1401301,143.34,110.39,0
1401302,142.21,109.49,0
1401303,143.42,110.1,0
1401304,143.49,115.64,0
1401401,168.91,121.91,0
1401402,167.52,122.02,0
1401501,160.79,119.36,0
1401601,196.99,133.31,0
1401701,87.86,58.09,0
1401702,85.48,58.58,0
1401703,91.6,60.37,0
1401801,145.09,97.63,0
1401802,144.8,96.62,0
1401901,134.73,103.9,0
1401902,135.25,104.97,0
1401903,135.52,104.79,0
1401904,134.97,104.59,0
1401905,136.92,105.67,0
1402001,219.14,164.35,0
1402101,120.48,83.7,0
1402102,119.83,82.23,0
1402103,120.25,84.26,0
1402104,119.78,82.96,0
1402105,119.13,80.55,0
1402106,119.99,83.27,0
1402107,120.84,84.54,0
1402108,121.5,86.91,0
1402109,118.68,82.24,0
1402110,119.11,81.19,0
1402201,153.88,119.62,0
1402202,155.54,119.99,0
1402301,204.08,153.06,0
1402302,200.31,148.05,0
1402401,155.8,120.54,0
1402402,155.54,123.25,0
1402501,130.45,109.23,0
1402502,128.39,99.49,0
1402503,124.55,94.83,0
1402601,166.05,115.83,0
1402602,180.38,144.12,0
1402603,167.02,116.28,0
1490101,119.11,86.92,0
1402701,117.04,78.13,0
1402702,116.34,86.2,0
1402703,87.01,69.16,0
1402801,197.51,142.71,0
1402901,213.98,154.68,0
1402902,211.29,158.47,0
1402903,198.78,149.66,0
1402904,203.68,152.76,0
1403001,92.16,76.88,0
1403002,84.01,73.29,0
1403101,178.32,142.13,0
1403201,210.05,157.54,0
1403301,103.84,81.02,0
1490201,97.37,77.39,0
1403401,214.97,161.23,0
1403501,206.62,154.97,0
1403502,210.08,156.3,0
1403503,209.61,155.03,0
1403504,212.27,159.2,0
1403601,74.17,80.5,0
1403602,74.75,81.65,0
1403701,177.84,135.19,0
1403702,182.52,140.52,0
1403703,176.13,134.66,0
1403801,141.85,105.96,0
1403802,140.78,104.01,0
1403803,141.99,105.09,0
1403804,150.18,121.72,0
1403805,141.19,102.08,0
1403901,167.41,131.0,0
1404001,100.6,78.09,0
1404002,101.37,75.45,0
1404101,120.24,81.58,0
1404102,116.1,88.44,0
1404201,114.62,86.51,0
1404202,114.95,86.99,0
1404203,114.39,86.31,0
1404204,115.28,87.56,0
1404205,123.97,98.67,0
1404301,160.52,109.05,0
1404302,183.61,132.65,0
1404303,160.41,108.88,0
1404304,189.53,146.96,0
1404401,128.7,94.76,0
1404501,131.43,106.56,0
1404601,138.15,117.65,0
1404602,135.73,114.21,0
1404701,150.05,133.35,0
1404801,165.99,127.02,0
1404901,65.23,66.85,0
1404902,64.8,66.54,0
1404903,64.61,66.14,0
1405001,152.22,105.68,0
1405002,151.04,103.14,0
1405101,208.62,156.47,0
1405102,205.24,153.93,0
1405201,198.1,140.12,0
1405202,192.15,134.84,0
1405203,195.59,139.83,0
1405204,194.36,136.34,0
1405301,110.92,82.59,0
1405302,85.84,90.48,0
1405401,195.21,143.96,0
1405402,194.02,142.32,0
1405403,195.07,144.16,0
1405404,206.18,154.64,0
1405501,172.69,132.73,0
1405502,172.29,133.56,0
1405503,175.41,141.69,0
1405504,179.36,143.79,0
1405601,106.05,87.77,0
1405602,110.46,93.26,0
1405603,109.92,91.2,0
1405604,112.06,92.07,0
1405605,112.0,90.67,0
1405701,101.47,79.33,0
1405801,158.18,124.79,0
1405802,157.94,123.25,0
1405803,157.38,122.71,0
1405804,158.32,124.39,0
1405805,157.86,136.35,0
1405901,102.84,72.58,0
1406101,215.97,150.96,0
1406001,97.11,83.71,0
1406002,93.72,66.14,0
1406201,215.88,161.91,0
1406202,218.14,163.6,0
1406301,177.6,143.23,0
1406401,218.97,164.23,0
1406501,99.07,69.53,0
1406601,167.98,114.32,0
1406602,169.48,113.84,0
1406701,142.38,95.79,0
1406702,139.15,97.93,0
1406801,154.47,108.12,0
1406901,191.98,147.69,0
1406902,205.76,154.32,0
1406903,188.87,149.04,0
1406904,215.7,161.78,0
1407001,189.0,146.8,0
1407002,194.55,148.44,0
1407101,186.58,146.06,0
1407201,198.98,142.83,0
1407301,161.31,122.17,0
1407302,173.01,141.71,0
1407401,208.31,156.23,0
1407402,199.99,140.16,0
1407501,157.5,124.69,0
2100101,128.84,117.85,0
2100201,125.72,91.47,0
2100202,123.99,91.2,0
2100301,169.33,140.46,0
2100401,142.41,130.25,0
2100402,137.92,128.34,0
2100501,96.03,78.21,0
2100502,98.04,99.29,0
2100503,80.42,66.91,0
2100601,152.17,114.1,0
2100602,158.82,119.72,0
2100701,107.74,86.7,0
2100702,116.51,104.89,0
2100703,108.27,86.81,0
2100801,148.47,132.73,0
2100802,159.73,137.04,0
2100803,159.49,136.96,0
2100901,116.32,95.89,0
2101001,165.47,113.89,0
2101002,165.87,115.07,0
2101003,168.78,123.2,0
2101101,104.88,88.74,0
2101201,113.51,116.66,0
2101301,81.48,61.68,0
2101302,80.76,60.37,0
2101303,87.04,63.09,0
2101304,80.46,60.24,0
2101305,80.82,60.88,0
2101401,92.03,67.18,0
2101501,154.75,127.35,0
2101601,106.8,82.32,0
2101701,130.6,105.92,0
2101702,128.98,107.42,0
2101801,110.38,106.79,0
2101802,107.03,105.4,0
2101901,109.22,90.24,0
2102001,124.38,104.14,0
2102101,139.38,99.56,0
2102102,139.68,99.24,0
2102201,121.93,113.44,0
2102301,143.88,117.25,0
2103001,64.93,50.96,0
2102401,110.04,95.03,0
2102501,135.68,109.3,0
2102502,141.51,129.87,0
2102601,123.09,104.5,0
2102701,147.68,117.43,0
2102801,144.43,120.73,0
2102901,156.88,135.98,0
2102902,153.22,133.45,0
2103101,159.86,137.09,0
2103201,84.17,91.64,0
2103301,117.95,92.95,0
2103401,123.06,105.77,0
2103501,126.88,104.6,0
2103502,120.83,85.32,0
2103601,101.9,81.51,0
2103701,168.53,135.47,0
2103801,94.87,75.17,0
2103901,135.65,127.35,0
2104001,74.72,73.68,0
2104002,85.97,101.56,0
2104101,122.36,86.16,0
2104102,120.16,86.19,0
2104103,122.24,86.62,0
2104104,117.12,83.28,0
2104105,116.76,82.58,0
2104106,116.77,82.54,0
2104107,116.71,82.51,0
2104108,118.43,84.27,0
2104201,156.37,111.47,0
2104202,160.51,111.69,0
2104203,160.47,111.64,0
2104204,155.26,110.22,0
2104301,127.45,102.58,0
2104401,145.63,104.74,0
2104402,153.68,105.25,0
2104403,145.89,105.85,0
2104501,113.86,116.85,0
2104601,106.72,84.11,0
2104701,69.16,57.53,0
2104702,77.93,74.43,0
2104801,114.16,90.56,0
2104901,103.82,90.19,0
2104902,107.96,102.3,0
2105001,109.87,78.45,0
2105002,112.21,80.63,0
2105003,125.95,106.09,0
2105101,132.0,104.02,0
2105201,99.48,87.34,0
2105202,103.73,101.33,0
2105203,100.29,94.67,0
2105301,94.21,70.47,0
2105302,93.33,71.09,0
2105303,103.24,85.56,0
2105401,86.76,67.43,0
2105501,120.08,92.26,0
2105601,84.49,85.33,0
2105602,73.68,60.83,0
2105701,175.88,142.66,0
2105801,175.52,142.54,0
2105802,168.01,129.2,0
2105901,104.45,86.5,0
2106001,138.86,105.57,0
2106101,97.45,73.16,0
2106102,94.41,84.46,0
2106201,180.86,143.75,0
2106301,138.29,101.01,0
2106401,116.78,105.12,0
2106402,114.22,98.29,0
2106601,173.84,138.19,0
2106501,182.13,144.07,0
2106701,137.17,120.48,0
2106801,164.27,138.69,0
2106901,87.28,63.57,0
2107001,133.02,119.92,0
2107002,113.17,82.79,0
2107101,127.6,110.48,0
2107201,111.4,87.74,0
2107202,110.9,87.1,0
2107203,111.69,88.43,0
2107301,163.29,115.41,0
2107401,75.75,61.45,0
2107501,147.24,129.24,0
2107601,147.65,114.31,0
2107602,155.68,135.53,0
2107701,90.87,87.17,0
2107702,86.55,70.64,0
2107801,126.18,123.01,0
2107802,116.39,118.17,0
2190201,135.86,117.11,0
2107901,98.38,77.52,0
4100101,90.37,73.11,0
4100102,92.71,82.89,0
4100201,99.43,108.81,0
4100301,44.27,55.76,0
4100401,24.1,21.93,0
4100402,20.89,22.24,0
4100403,18.85,20.87,0
4100404,18.5,20.37,0
4100501,31.73,28.3,0
4100502,30.83,26.83,0
4100601,31.63,36.9,0
4100602,32.05,38.21,0
4100701,28.2,26.29,0
4100702,28.03,26.4,0
4100801,106.6,96.69,0
4100901,88.8,77.97,0
4101001,48.79,45.93,0
4101101,50.06,38.59,0
4101102,51.67,39.82,0
4101103,52.65,41.53,0
4101104,58.01,70.65,0
4101201,56.63,80.76,0
4101301,60.57,53.97,0
4101302,59.45,52.15,0
4101401,122.32,101.11,0
4101501,52.57,48.46,0
4101502,49.27,43.36,0
4101601,45.34,40.18,0
4101602,44.05,37.24,0
4101701,35.58,31.63,0
4101801,16.55,24.21,0
4101901,40.86,55.41,0
4102001,66.47,50.56,0
4102002,68.07,52.59,0
4102101,29.16,26.3,0
4102102,29.39,26.51,0
4102103,31.61,27.99,0
4102104,32.23,28.75,0
4102201,48.36,37.15,0
4102202,47.85,36.63,0
4102301,25.32,35.61,0
4102302,26.67,37.45,0
4190101,63.45,72.36,0
4102401,14.69,12.87,0
4102402,14.96,15.13,0
4102403,14.62,13.87,0
4102404,13.84,11.47,0
4102405,13.51,10.76,0
4102406,31.54,33.05,0
4102501,59.99,49.08,0
4102502,59.02,45.25,0
4102601,117.21,93.74,0
4102602,116.07,92.42,0
4102701,51.02,56.83,0
4102702,50.99,57.48,0
4102801,32.04,36.27,0
4102901,34.24,30.48,0
4103001,63.3,52.23,0
4103101,77.05,62.11,0
4103201,70.66,84.77,0
4103202,71.93,86.08,0
4103301,65.49,67.61,0
4103302,66.45,68.83,0
4103303,68.59,81.05,0
4103304,68.04,71.51,0
4103401,38.5,40.61,0
4103402,39.27,42.81,0
4103403,38.77,40.91,0
4103501,88.23,86.5,0
4103601,60.58,48.49,0
4103602,60.34,48.01,0
4103701,101.38,84.44,0
4103702,104.07,93.46,0
4190301,82.11,61.16,0
4103801,29.65,24.25,0
4103802,29.24,24.4,0
4103803,31.35,26.58,0
4103804,28.55,22.96,0
4103805,26.51,21.98,0
4103901,67.3,46.32,0
4103902,68.03,47.31,0
4103903,66.2,44.23,0
4103904,66.39,44.64,0
4103905,67.59,46.94,0
4104001,41.96,37.4,0
4104101,101.62,80.8,0
4104102,102.65,82.9,0
4104103,103.15,84.35,0
4104104,103.28,81.25,0
4104201,44.01,32.9,0
4104202,43.93,32.02,0
4104203,46.37,40.76,0
4104301,59.62,45.76,0
4104401,44.21,52.88,0
4104501,45.16,36.22,0
4104502,50.12,61.45,0
4104601,98.64,82.56,0
4104602,99.92,98.13,0
4104701,35.47,31.45,0
4104801,103.71,111.26,0
4104802,103.37,111.07,0
4104803,105.44,112.25,0
4104901,42.82,35.89,0
4105001,97.29,78.09,0
4105002,96.86,97.51,0
4105003,103.17,89.06,0
4105101,56.99,45.99,0
4190201,61.02,72.94,0
4105201,62.62,49.68,0
4105301,79.16,65.24,0
4105302,79.89,66.9,0
4105303,78.43,63.93,0
4105304,78.5,66.13,0
4105401,110.51,87.07,0
4105501,38.22,38.14,0
