seccion_ine,distancia_km,tiempo_mins,fallback
1400101,49.12,46.14,0
1400201,56.62,46.82,0
1400202,57.18,53.29,0
1400203,68.18,56.15,0
1400301,79.97,97.94,0
1400401,118.78,97.2,0
1400402,122.11,101.8,0
1400501,13.28,17.57,0
1400601,90.02,81.88,0
1400701,71.87,59.27,0
1400702,70.94,58.5,0
1400703,71.91,59.07,0
1400704,71.41,59.69,0
1400705,81.82,69.39,0
1400801,112.37,102.63,0
1400802,111.66,100.5,0
1400803,114.26,108.42,0
1400804,112.06,101.81,0
1400901,80.94,68.51,0
1400902,80.27,67.61,0
1400903,77.68,64.87,0
1401001,93.96,70.71,0
1401002,93.44,69.71,0
1401003,95.61,71.28,0
1401101,114.16,117.01,0
1401201,54.67,49.09,0
1401202,56.17,50.21,0
1401203,53.25,54.98,0
1401204,54.71,48.98,0
1401301,79.64,67.15,0
1401302,78.52,66.25,0
1401303,79.73,66.86,0
1401304,79.8,72.4,0
1401401,66.25,61.87,0
1401402,64.86,61.97,0
1401501,97.1,76.12,0
1401601,94.33,73.27,0
1401701,39.31,35.16,0
1401702,43.47,41.67,0
1401703,40.9,36.51,0
1401801,42.44,37.59,0
1401802,42.14,36.57,0
1401901,53.05,45.22,0
1401902,53.57,46.29,0
1401903,53.84,46.12,0
1401904,53.29,45.91,0
1401905,55.24,46.99,0
1402001,116.49,106.03,0
1402101,12.03,16.83,0
1402102,13.59,18.67,0
1402103,14.04,20.76,0
1402104,14.3,20.22,0
1402105,14.36,18.52,0
1402106,11.67,16.37,0
1402107,12.39,17.67,0
1402108,13.04,20.04,0
1402109,11.94,16.77,0
1402110,11.27,14.63,0
1402201,89.5,74.21,0
1402202,87.78,72.01,0
1402301,97.7,107.94,0
1402302,93.93,84.83,0
1402401,92.1,77.3,0
1402402,91.85,80.01,0
1402501,48.77,50.56,0
1402502,46.14,40.8,0
1402503,47.47,40.52,0
1402601,59.66,52.61,0
1402602,74.0,94.07,0
1402603,60.63,53.06,0
1490101,37.55,40.46,0
1402701,35.47,31.68,0
1402702,34.78,39.75,0
1402703,38.81,53.73,0
1402801,91.13,79.49,0
1402901,107.59,91.45,0
1402902,104.9,95.97,0
1402903,113.73,116.78,0
1402904,97.3,98.48,0
1403001,33.7,46.07,0
1403002,39.71,58.76,0
1403101,96.64,83.45,0
1403201,103.67,102.88,0
1403301,28.49,44.78,0
1490201,49.67,55.56,0
1403401,108.59,114.01,0
1403501,100.24,109.23,0
1403502,103.69,93.08,0
1403503,103.23,91.81,0
1403504,105.89,112.5,0
1403601,34.85,45.91,0
1403602,35.66,47.39,0
1403701,114.15,91.95,0
1403702,118.82,97.28,0
1403703,112.44,91.42,0
1403801,78.15,62.72,0
1403802,77.09,60.77,0
1403803,78.3,61.85,0
1403804,86.49,78.48,0
1403805,77.5,58.84,0
1403901,85.73,72.33,0
1404001,52.33,53.46,0
1404002,50.73,48.13,0
1404101,38.67,35.13,0
1404102,44.17,42.11,0
1404201,51.02,43.86,0
1404202,51.36,44.34,0
1404203,50.79,43.66,0
1404204,51.68,44.91,0
1404205,60.37,56.02,0
1404301,57.87,49.01,0
1404302,80.95,72.6,0
1404303,57.76,48.83,0
1404304,86.88,102.08,0
1404401,65.0,51.52,0
1404501,67.74,63.32,0
1404601,62.87,65.01,0
1404602,60.44,61.57,0
1404701,43.67,68.77,0
1404801,102.3,83.78,0
1404901,45.74,53.52,0
1404902,45.32,53.22,0
1404903,45.12,52.81,0
1405001,49.57,45.63,0
1405002,48.38,43.1,0
1405101,102.24,109.57,0
