seccion_ine,distancia_km,tiempo_mins,fallback
1400101,275.85,192.11,0
1400201,219.36,164.52,0
1400202,223.9,167.93,0
1400203,211.24,158.43,0
1400301,310.43,232.82,0
1400401,270.19,202.64,0
1400402,273.52,205.14,0
1400501,214.86,161.15,0
1400601,320.47,231.03,0
1400701,260.24,195.18,0
1400702,260.8,195.6,0
1400703,261.81,196.36,0
1400704,260.86,195.65,0
1400705,272.51,204.38,0
1400801,342.82,251.78,0
1400802,342.12,249.65,0
1400803,344.72,257.57,0
1400804,342.51,250.97,0
1400901,311.4,217.66,0
1400902,310.73,216.76,0
1400903,308.13,214.02,0
1401001,214.74,161.06,0
1401002,214.22,160.66,0
1401003,210.92,158.19,0
1401101,311.44,233.58,0
1401201,281.4,195.07,0
1401202,282.9,196.19,0
1401203,279.97,200.96,0
1401204,281.44,194.96,0
1401301,238.5,178.88,0
1401302,237.85,178.39,0
1401303,238.59,178.94,0
1401304,239.13,179.35,0
1401401,292.98,207.84,0
1401402,291.59,207.95,0
1401501,248.51,186.38,0
1401601,321.06,219.25,0
1401701,211.93,144.03,0
1401702,209.55,144.51,0
1401703,215.67,146.3,0
1401801,269.17,183.56,0
1401802,268.87,182.55,0
1401901,258.8,189.83,0
1401902,259.32,190.9,0
1401903,259.59,190.72,0
1401904,259.04,190.52,0
1401905,260.99,191.6,0
1402001,343.22,252.0,0
1402101,244.56,169.63,0
1402102,243.9,168.16,0
1402103,244.32,170.19,0
1402104,243.85,168.9,0
1402105,243.2,166.48,0
1402106,244.06,169.2,0
1402107,244.91,170.47,0
1402108,245.57,172.84,0
1402109,242.75,168.17,0
1402110,243.19,167.12,0
1402201,248.86,186.65,0
1402202,250.51,187.88,0
1402301,328.15,246.11,0
1402302,324.38,233.98,0
1402401,243.79,182.84,0
1402402,243.54,182.66,0
1402501,254.52,190.89,0
1402502,252.46,185.42,0
1402503,248.62,180.76,0
1402601,290.12,201.76,0
1402602,304.46,228.34,0
1402603,291.09,202.21,0
1490101,243.18,172.85,0
1402701,241.11,164.06,0
1402702,240.41,172.13,0
1402703,211.08,155.09,0
1402801,321.58,228.64,0
1402901,297.76,223.32,0
1402902,297.64,223.23,0
1402903,290.04,217.53,0
1402904,303.95,227.96,0
1403001,216.23,162.17,0
1403002,208.08,156.06,0
1403101,270.84,203.13,0
1403201,311.48,233.61,0
1403301,227.91,166.95,0
1490201,221.44,163.32,0
1403401,339.04,254.28,0
1403501,330.69,248.02,0
1403502,334.15,242.23,0
1403503,333.69,240.97,0
1403504,336.35,252.26,0
1403601,198.24,149.5,0
1403602,198.82,149.67,0
1403701,235.8,176.85,0
1403702,229.81,172.36,0
1403703,240.39,180.29,0
1403801,229.56,172.17,0
1403802,228.5,171.38,0
1403803,229.71,172.28,0
1403804,236.26,177.19,0
1403805,219.29,163.72,0
1403901,264.29,198.22,0
1404001,224.67,164.02,0
1404002,225.44,161.39,0
1404101,244.31,167.51,0
1404102,240.17,174.37,0
1404201,238.69,172.45,0
1404202,239.03,172.92,0
1404203,238.46,172.24,0
1404204,239.35,173.5,0
1404205,248.04,184.6,0
1404301,284.6,194.98,0
1404302,307.68,218.58,0
1404303,284.49,194.81,0
1404304,313.6,235.2,0
1404401,225.66,169.25,0
1404501,218.77,164.08,0
1404601,257.01,192.76,0
1404602,253.63,190.22,0
1404701,274.12,205.59,0
1404801,215.6,161.7,0
1404901,189.3,146.89,0
1404902,188.88,146.76,0
1404903,188.68,146.7,0
1405001,276.3,191.61,0
1405002,275.11,189.07,0
1405101,332.69,249.52,0
1405102,329.31,245.74,0
1405201,322.17,226.05,0
1405202,316.22,220.77,0
1405203,319.66,225.76,0
1405204,318.43,222.27,0
1405301,234.99,168.53,0
1405302,209.91,157.43,0
1405401,319.28,229.89,0
1405402,318.09,228.25,0
1405403,319.15,230.09,0
1405404,330.25,244.76,0
1405501,260.41,195.31,0
1405502,260.01,195.01,0
1405503,263.13,197.35,0
1405504,267.08,200.31,0
1405601,197.13,148.94,0
1405602,201.54,151.16,0
1405603,201.01,150.76,0
1405604,203.15,152.36,0
1405605,208.47,156.35,0
1405701,225.54,165.26,0
1405801,246.18,184.64,0
1405802,245.93,184.45,0
1405803,245.37,184.03,0
1405804,246.31,184.73,0
1405805,245.58,184.19,0
1405901,226.92,158.51,0
1406101,340.04,236.89,0
1406001,221.18,165.89,0
1406002,217.79,152.07,0
1406201,339.95,253.8,0
1406202,342.21,256.66,0
1406301,286.61,214.96,0
1406401,320.4,240.3,0
1406501,223.14,155.46,0
1406601,292.05,200.25,0
1406602,293.55,199.78,0
1406701,266.45,181.72,0
1406702,263.22,183.86,0
1406801,278.55,194.05,0
1406901,316.05,236.99,0
1406902,329.83,247.37,0
1406903,312.94,234.71,0
1406904,339.77,249.52,0
1407001,313.07,234.8,0
1407002,318.62,234.56,0
1407101,310.65,232.99,0
1407201,323.06,228.76,0
1407301,285.38,208.1,0
1407302,297.08,222.81,0
1407401,332.38,249.28,0
1407402,324.06,226.09,0
1407501,252.48,189.36,0
2100101,220.1,165.07,0
2100201,211.38,150.17,0
2100202,209.64,149.9,0
2100301,254.99,191.24,0
2100401,233.67,175.25,0
2100402,229.18,171.88,0
2100501,181.69,136.92,0
2100502,183.7,145.17,0
2100503,166.07,125.61,0
2100601,237.82,172.8,0
2100602,244.48,178.42,0
2100701,199.0,149.6,0
2100702,207.77,155.83,0
2100703,199.53,149.7,0
2100801,239.73,179.8,0
2100802,250.99,188.24,0
2100803,250.75,188.06,0
2100901,207.58,155.69,0
2101001,251.13,172.59,0
2101002,251.53,173.77,0
2101003,254.44,181.9,0
2101101,190.54,147.26,0
2101201,199.17,149.77,0
2101301,167.14,120.39,0
2101302,166.42,119.07,0
