seccion_ine,distancia_km,tiempo_mins,fallback
1400101,127.63,102.89,0
1400201,95.12,81.23,0
1400202,99.65,89.76,0
1400203,87.0,71.7,0
1400301,162.21,137.95,0
1400401,145.94,119.56,0
1400402,149.28,124.15,0
1400501,94.27,91.88,0
1400601,172.26,141.46,0
1400701,135.99,112.91,0
1400702,136.56,113.45,0
1400703,137.56,112.74,0
1400704,136.61,113.74,0
1400705,148.27,121.79,0
1400801,194.61,148.46,0
1400802,193.9,148.25,0
1400803,196.5,149.0,0
1400804,194.3,148.37,0
1400901,163.18,128.44,0
1400902,162.51,127.53,0
1400903,159.92,124.8,0
1401001,121.4,93.8,0
1401002,120.88,92.8,0
1401003,125.32,93.52,0
1401101,196.4,148.98,0
1401201,133.19,105.84,0
1401202,134.68,106.96,0
1401203,131.76,111.73,0
1401204,133.22,105.73,0
1401301,114.26,90.47,0
1401302,113.6,90.49,0
1401303,114.34,90.18,0
1401304,114.88,96.65,0
1401401,144.76,118.62,0
1401402,143.38,118.72,0
1401501,124.26,98.47,0
1401601,175.1,138.0,0
1401701,63.71,54.8,0
1401702,61.34,55.28,0
1401703,67.46,57.08,0
1401801,120.95,94.34,0
1401802,120.65,93.32,0
1401901,110.58,100.6,0
1401902,111.11,101.67,0
1401903,111.37,101.5,0
1401904,110.82,101.3,0
1401905,112.77,102.38,0
1402001,195.0,148.57,0
1402101,96.34,80.4,0
1402102,95.69,78.94,0
1402103,96.1,80.96,0
1402104,95.64,79.67,0
1402105,94.99,77.26,0
1402106,95.85,79.98,0
1402107,96.69,81.24,0
1402108,97.35,83.61,0
1402109,94.53,78.94,0
1402110,94.97,77.9,0
1402201,124.61,99.45,0
1402202,126.27,99.82,0
1402301,179.94,143.98,0
1402302,176.17,142.76,0
1402401,119.54,100.39,0
1402402,119.29,103.1,0
1402501,106.31,105.94,0
1402502,104.25,96.19,0
1402503,100.41,91.54,0
1402601,141.9,112.54,0
1402602,156.24,135.74,0
1402603,142.87,112.99,0
1490101,94.97,83.62,0
1402701,92.89,74.84,0
1402702,92.2,82.91,0
1402703,62.87,65.87,0
1402801,173.36,139.42,0
1402901,189.83,147.05,0
1402902,187.14,146.23,0
1402903,195.97,148.85,0
1402904,179.54,143.85,0
1403001,68.01,73.59,0
1403002,59.87,69.99,0
1403101,146.6,122.92,0
1403201,185.91,145.85,0
1403301,79.69,77.72,0
1490201,73.22,74.09,0
1403401,190.83,147.34,0
1403501,182.48,144.79,0
1403502,185.93,145.86,0
1403503,185.47,145.72,0
1403504,188.13,146.53,0
1403601,86.14,95.1,0
1403602,86.71,96.25,0
1403701,150.21,112.85,0
1403702,144.22,109.22,0
1403703,139.88,114.51,0
1403801,105.32,85.07,0
1403802,104.25,83.12,0
1403803,105.47,84.2,0
1403804,112.02,101.33,0
1403805,95.04,74.26,0
1403901,140.05,115.84,0
1404001,76.46,74.8,0
1404002,77.22,72.16,0
1404101,96.09,78.29,0
1404102,91.96,85.14,0
1404201,90.48,83.22,0
1404202,90.81,83.69,0
1404203,90.24,83.02,0
1404204,91.13,84.27,0
1404205,99.83,95.38,0
1404301,136.38,105.76,0
1404302,159.47,129.35,0
1404303,136.27,105.58,0
1404304,165.39,139.09,0
1404401,101.42,83.03,0
1404501,94.53,82.08,0
1404601,132.77,112.98,0
1404602,129.39,108.09,0
1404701,125.91,122.88,0
1404801,130.01,104.66,0
1404901,61.33,73.73,0
1404902,61.46,74.17,0
1404903,61.71,74.73,0
1405001,128.08,102.38,0
1405002,126.9,99.85,0
1405101,184.47,145.41,0
1405102,181.09,144.35,0
1405201,173.95,136.82,0
1405202,168.01,131.54,0
1405203,171.44,136.53,0
1405204,170.21,133.04,0
1405301,86.77,79.3,0
1405302,91.84,87.92,0
1405401,171.06,140.66,0
1405402,169.88,139.03,0
1405403,170.93,140.86,0
1405404,182.03,144.65,0
1405501,136.16,111.84,0
1405502,135.77,112.67,0
1405503,138.89,120.8,0
1405504,142.84,123.48,0
1405601,72.89,59.47,0
1405602,77.29,64.96,0
1405603,76.76,62.91,0
1405604,78.9,63.78,0
1405605,84.22,73.68,0
1405701,77.32,76.04,0
1405801,121.93,104.64,0
1405802,121.69,103.1,0
1405803,121.13,102.56,0
1405804,122.06,104.24,0
1405805,121.34,116.2,0
1405901,78.7,69.29,0
1406101,191.83,147.64,0
1406001,72.97,80.42,0
1406002,69.57,62.84,0
1406201,192.88,147.95,0
1406202,194.0,148.28,0
1406301,162.37,138.01,0
1406401,194.83,148.52,0
1406501,74.92,66.23,0
1406601,143.84,111.02,0
1406602,145.34,110.55,0
1406701,118.24,92.49,0
1406702,115.0,94.64,0
1406801,130.33,104.82,0
1406901,167.83,139.94,0
1406902,181.61,144.51,0
1406903,164.72,141.84,0
1406904,191.56,147.56,0
1407001,164.86,138.9,0
1407002,170.41,140.83,0
1407101,162.43,138.03,0
1407201,174.84,139.54,0
1407301,137.16,118.87,0
1407302,148.87,132.89,0
1407401,184.16,145.31,0
1407402,175.84,136.86,0
1407501,128.23,104.52,0
2100101,166.22,139.38,0
2100201,163.1,126.7,0
2100202,161.37,126.43,0
2100301,206.71,155.03,0
2100401,179.79,143.93,0
2100402,175.31,142.48,0
2100501,133.42,113.45,0
2100502,135.42,127.24,0
2100503,117.8,102.14,0
2100601,189.55,146.96,0
2100602,196.21,148.92,0
2100701,145.12,121.94,0
2100702,153.89,134.85,0
2100703,145.66,122.04,0
2100801,185.86,145.84,0
2100802,197.12,158.04,0
2100803,196.88,149.11,0
2100901,153.71,131.12,0
2101001,202.86,149.12,0
2101002,203.25,150.3,0
2101003,206.16,154.62,0
2101101,142.27,123.97,0
2101201,150.89,133.68,0
2101301,118.86,96.91,0
