seccion_ine,distancia_km,tiempo_mins,fallback
1400101,283.99,200.13,0
1400201,252.53,184.01,0
1400202,253.09,189.82,0
1400203,250.5,181.68,0
1400301,318.57,238.93,0
1400401,309.45,229.53,0
1400402,312.79,234.13,0
1400501,223.0,167.25,0
1400601,328.62,239.05,0
1400701,285.77,211.9,0
1400702,284.83,211.13,0
1400703,285.8,211.7,0
1400704,285.3,212.32,0
1400705,295.71,221.78,0
1400801,350.97,259.8,0
1400802,350.26,257.67,0
1400803,352.86,264.64,0
1400804,350.65,258.99,0
1400901,319.54,225.68,0
1400902,318.87,224.78,0
1400903,316.27,222.04,0
1401001,284.91,203.78,0
1401002,284.38,202.78,0
1401003,288.83,203.49,0
1401101,304.58,228.44,0
1401201,289.54,203.09,0
1401202,291.04,204.2,0
1401203,288.12,208.98,0
1401204,289.58,202.98,0
1401301,277.76,200.45,0
1401302,277.11,200.47,0
1401303,277.85,200.16,0
1401304,278.39,206.62,0
1401401,301.12,215.86,0
1401402,299.73,215.97,0
1401501,287.77,208.45,0
1401601,329.2,227.26,0
1401701,220.07,152.05,0
1401702,217.7,152.53,0
1401703,223.81,154.32,0
1401801,277.31,191.58,0
1401802,277.01,190.57,0
1401901,266.94,197.85,0
1401902,267.46,198.92,0
1401903,267.73,198.74,0
1401904,267.18,198.54,0
1401905,269.13,199.62,0
1402001,351.36,260.02,0
1402101,252.7,177.65,0
1402102,252.04,176.18,0
1402103,252.46,178.21,0
1402104,251.99,176.91,0
1402105,251.34,174.5,0
1402106,252.2,177.22,0
1402107,253.05,178.49,0
1402108,253.71,180.86,0
1402109,250.89,176.19,0
1402110,251.33,175.14,0
1402201,288.12,209.43,0
1402202,289.77,209.8,0
1402301,336.29,252.22,0
1402302,332.52,242.0,0
1402401,283.05,210.37,0
1402402,282.8,212.1,0
1402501,262.66,197.0,0
1402502,260.6,193.44,0
1402503,256.76,188.78,0
1402601,298.26,209.78,0
1402602,312.6,234.45,0
1402603,299.23,210.23,0
1490101,251.32,180.87,0
1402701,249.25,172.08,0
1402702,248.55,180.15,0
1402703,219.23,163.11,0
1402801,329.72,236.66,0
1402901,290.9,215.93,0
1402902,290.78,218.08,0
1402903,283.19,212.39,0
1402904,297.1,222.83,0
1403001,224.37,168.28,0
1403002,216.22,162.16,0
1403101,310.1,232.58,0
1403201,304.62,228.47,0
1403301,236.05,174.97,0
1490201,229.58,171.34,0
1403401,347.18,260.39,0
1403501,321.89,241.42,0
1403502,342.29,250.25,0
1403503,341.83,248.98,0
1403504,344.49,258.37,0
1403601,206.38,154.78,0
1403602,206.96,155.22,0
1403701,313.71,222.83,0
1403702,307.73,219.2,0
1403703,303.38,224.49,0
1403801,268.83,195.05,0
1403802,267.76,193.09,0
1403803,268.97,194.18,0
1403804,275.52,206.64,0
1403805,258.55,184.23,0
1403901,299.62,224.72,0
1404001,232.81,172.04,0
1404002,233.58,169.4,0
1404101,252.45,175.53,0
1404102,248.31,182.39,0
1404201,246.83,180.46,0
1404202,247.17,180.94,0
1404203,246.6,180.26,0
1404204,247.49,181.51,0
1404205,256.18,192.14,0
1404301,292.74,203.0,0
1404302,315.82,226.6,0
1404303,292.63,202.83,0
1404304,321.75,241.31,0
1404401,260.91,188.71,0
1404501,258.03,192.05,0
1404601,270.37,202.78,0
1404602,267.94,200.96,0
1404701,282.26,211.69,0
1404801,293.52,214.64,0
1404901,197.44,149.27,0
1404902,197.02,149.15,0
1404903,196.82,149.1,0
1405001,284.44,199.63,0
1405002,283.25,197.09,0
1405101,340.83,255.62,0
1405102,337.45,253.09,0
1405201,301.89,223.01,0
1405202,305.21,224.72,0
1405203,300.18,223.56,0
1405204,302.21,222.4,0
1405301,243.13,176.54,0
1405302,218.05,163.54,0
1405401,327.42,237.91,0
1405402,326.23,236.27,0
1405403,327.29,238.11,0
1405404,338.39,252.78,0
1405501,299.67,221.82,0
1405502,299.27,222.65,0
1405503,302.39,226.79,0
1405504,306.34,229.75,0
1405601,236.39,169.45,0
1405602,240.8,174.94,0
1405603,240.27,172.88,0
1405604,242.41,173.76,0
1405605,247.73,183.66,0
1405701,233.68,173.28,0
1405801,285.44,214.08,0
1405802,285.19,213.07,0
1405803,284.63,212.54,0
1405804,285.57,214.18,0
1405805,284.84,213.63,0
1405901,235.06,166.53,0
1406101,348.18,244.91,0
1406001,229.32,171.99,0
1406002,225.93,160.09,0
1406201,348.09,261.07,0
1406202,350.35,262.76,0
1406301,309.81,232.36,0
1406401,313.54,235.16,0
1406501,231.28,163.48,0
1406601,300.2,208.27,0
1406602,301.7,207.79,0
1406701,274.59,189.74,0
1406702,271.36,191.88,0
1406801,286.69,202.07,0
1406901,324.19,243.14,0
1406902,337.97,253.48,0
1406903,321.08,240.81,0
1406904,347.91,257.54,0
1407001,321.21,240.91,0
1407002,326.76,242.58,0
1407101,318.79,239.09,0
1407201,331.2,236.78,0
1407301,293.52,216.12,0
1407302,305.22,228.92,0
1407401,340.52,255.39,0
1407402,332.2,234.11,0
1407501,291.74,214.5,0
