seccion_ine,distancia_km,tiempo_mins,fallback
1400101,175.83,127.35,0
1400201,144.37,111.23,0
1400202,144.92,117.7,0
1400203,145.8,110.82,0
1400301,210.41,157.81,0
1400401,204.74,153.56,0
1400402,208.08,156.06,0
1400501,114.84,115.38,0
1400601,220.45,165.34,0
1400701,177.6,139.12,0
1400702,176.67,138.35,0
1400703,177.64,138.92,0
1400704,177.14,139.54,0
1400705,187.55,146.36,0
1400801,242.8,182.1,0
1400802,242.09,181.57,0
1400803,244.69,183.52,0
1400804,242.49,181.87,0
1400901,211.38,152.91,0
1400902,210.71,152.0,0
1400903,208.11,149.26,0
1401001,180.21,132.91,0
1401002,179.68,131.91,0
1401003,184.12,132.63,0
1401101,202.59,151.94,0
1401201,181.38,130.31,0
1401202,182.88,131.43,0
1401203,179.95,136.2,0
1401204,181.42,130.2,0
1401301,173.06,129.59,0
1401302,172.41,129.61,0
1401303,173.14,129.29,0
1401304,173.69,135.76,0
1401401,192.96,143.09,0
1401402,191.57,143.19,0
1401501,183.06,137.58,0
1401601,221.04,154.49,0
1401701,111.91,79.27,0
1401702,109.53,79.75,0
1401703,115.65,81.54,0
1401801,169.14,118.8,0
1401802,168.85,117.79,0
1401901,158.78,125.07,0
1401902,159.3,126.14,0
1401903,159.57,125.96,0
1401904,159.02,125.76,0
1401905,160.97,126.84,0
1402001,243.2,182.4,0
1402101,144.54,104.87,0
1402102,143.88,103.4,0
1402103,144.3,105.43,0
1402104,143.83,104.14,0
1402105,143.18,101.72,0
1402106,144.04,104.44,0
1402107,144.89,105.71,0
1402108,145.55,108.08,0
1402109,142.73,103.41,0
1402110,143.16,102.36,0
1402201,183.41,138.56,0
1402202,185.07,138.93,0
1402301,228.13,171.1,0
1402302,224.36,168.27,0
1402401,178.35,139.5,0
1402402,178.09,142.21,0
1402501,154.5,130.41,0
1402502,152.44,120.66,0
1402503,148.6,116.01,0
1402601,190.1,137.0,0
1402602,204.44,153.33,0
1402603,191.07,137.45,0
1490101,143.16,108.09,0
1402701,141.09,99.31,0
1402702,140.39,107.37,0
1402703,111.06,90.33,0
1402801,221.56,163.88,0
1402901,188.92,146.77,0
1402902,188.79,146.73,0
1402903,181.2,144.38,0
1402904,195.11,148.6,0
1403001,116.21,98.05,0
1403002,108.06,94.46,0
1403101,205.4,154.05,0
1403201,202.63,151.97,0
1403301,127.89,102.19,0
1490201,121.42,98.56,0
1403401,239.02,179.27,0
1403501,230.67,173.0,0
1403502,234.13,175.6,0
1403503,233.66,175.25,0
1403504,236.32,177.24,0
1403601,98.22,101.67,0
1403602,98.8,102.82,0
1403701,209.01,151.96,0
1403702,203.02,148.33,0
1403703,198.68,149.63,0
1403801,164.12,124.19,0
1403802,163.05,122.23,0
1403803,164.27,123.31,0
1403804,170.82,140.44,0
1403805,153.84,113.37,0
1403901,191.46,147.53,0
1404001,124.65,99.26,0
1404002,125.42,96.62,0
1404101,144.29,102.76,0
1404102,140.15,109.61,0
1404201,138.67,107.69,0
1404202,139.01,108.16,0
1404203,138.44,107.48,0
1404204,139.33,108.74,0
1404205,148.02,119.84,0
1404301,184.57,130.22,0
1404302,207.66,153.82,0
1404303,184.46,130.05,0
1404304,213.58,160.19,0
1404401,152.75,115.93,0
1404501,153.33,121.19,0
1404601,162.21,137.95,0
1404602,159.78,135.39,0
1404701,174.1,142.07,0
1404801,188.81,143.77,0
1404901,89.28,88.02,0
1404902,88.85,87.71,0
1404903,88.66,87.31,0
1405001,176.27,126.85,0
1405002,175.09,124.31,0
