seccion_ine,distancia_km,tiempo_mins,fallback
1400101,224.43,159.61,0
1400201,192.97,143.48,0
1400202,193.52,148.14,0
1400203,190.94,141.16,0
1400301,259.01,194.26,0
1400401,249.89,187.42,0
1400402,253.22,189.91,0
1400501,163.44,138.39,0
1400601,269.05,198.53,0
1400701,226.2,169.65,0
1400702,225.27,168.95,0
1400703,226.24,169.68,0
1400704,225.74,169.31,0
1400705,236.15,177.11,0
1400801,291.4,218.55,0
1400802,290.69,217.14,0
1400803,293.3,219.98,0
1400804,291.09,218.32,0
1400901,259.98,185.16,0
1400902,259.31,184.25,0
1400903,256.71,181.52,0
1401001,225.35,163.25,0
1401002,224.82,162.25,0
1401003,229.27,162.97,0
1401101,245.02,183.77,0
1401201,229.98,162.56,0
1401202,231.48,163.68,0
1401203,228.55,168.45,0
1401204,230.02,162.45,0
1401301,218.2,159.93,0
1401302,217.55,159.95,0
1401303,218.29,159.63,0
1401304,218.83,164.12,0
1401401,241.56,175.34,0
1401402,240.17,175.44,0
1401501,228.21,167.92,0
1401601,269.64,186.74,0
1401701,160.51,111.52,0
1401702,158.13,112.0,0
1401703,164.25,113.8,0
1401801,217.75,151.05,0
1401802,217.45,150.04,0
1401901,207.38,155.53,0
1401902,207.9,155.92,0
1401903,208.17,156.13,0
1401904,207.62,155.72,0
1401905,209.57,157.18,0
1402001,291.8,218.85,0
1402101,193.14,137.12,0
1402102,192.48,135.66,0
1402103,192.9,137.68,0
1402104,192.43,136.39,0
1402105,191.78,133.98,0
1402106,192.64,136.7,0
1402107,193.49,137.96,0
1402108,194.15,140.34,0
1402109,191.33,135.66,0
1402110,191.76,134.62,0
1402201,228.56,168.9,0
1402202,230.21,169.27,0
1402301,276.73,207.55,0
1402302,272.96,201.47,0
1402401,223.49,167.62,0
1402402,223.24,167.43,0
1402501,203.1,152.32,0
1402502,201.04,150.78,0
1402503,197.2,148.26,0
1402601,238.7,169.26,0
1402602,253.04,189.78,0
1402603,239.67,169.71,0
1490101,191.76,140.34,0
1402701,189.69,131.56,0
1402702,188.99,139.63,0
1402703,159.66,122.59,0
1402801,270.16,196.14,0
1402901,231.34,173.5,0
1402902,231.22,173.41,0
1402903,223.62,167.72,0
1402904,237.54,178.15,0
1403001,164.81,130.31,0
1403002,156.66,126.71,0
1403101,250.54,187.91,0
1403201,245.06,183.8,0
1403301,176.49,134.44,0
1490201,170.02,130.81,0
1403401,287.62,215.72,0
1403501,262.33,196.75,0
1403502,282.73,209.72,0
1403503,282.26,208.46,0
1403504,284.92,213.69,0
1403601,146.82,132.06,0
1403602,147.4,132.3,0
1403701,254.15,182.3,0
1403702,248.16,178.67,0
1403703,243.82,182.86,0
1403801,209.26,154.53,0
1403802,208.2,152.57,0
1403803,209.41,153.65,0
1403804,215.96,161.97,0
1403805,198.99,143.71,0
1403901,240.06,180.05,0
1404001,173.25,131.52,0
1404002,174.02,128.88,0
1404101,192.89,135.01,0
1404102,188.75,141.86,0
1404201,187.27,139.94,0
1404202,187.61,140.41,0
1404203,187.04,139.74,0
1404204,187.93,140.99,0
1404205,196.62,149.04,0
1404301,233.18,162.47,0
1404302,256.26,186.07,0
1404303,233.06,162.3,0
1404304,262.18,196.63,0
1404401,201.35,148.19,0
1404501,198.47,149.57,0
1404601,210.81,158.11,0
1404602,208.38,156.28,0
1404701,222.7,167.03,0
1404801,233.95,174.11,0
1404901,137.88,120.28,0
1404902,137.46,119.97,0
1404903,137.26,119.56,0
1405001,224.88,159.1,0
1405002,223.69,156.57,0
1405101,281.27,210.95,0
1405102,277.89,208.42,0
1405201,242.33,181.75,0
1405202,245.65,184.2,0
1405203,240.62,180.47,0
1405204,242.65,181.87,0
1405301,183.57,136.02,0
1405302,158.49,136.59,0
1405401,267.86,197.38,0
