seccion_ine,distancia_km,tiempo_mins,fallback
1400101,271.03,189.41,0
1400201,206.69,155.02,0
1400202,211.22,158.41,0
1400203,198.57,149.6,0
1400301,305.61,229.21,0
1400401,257.51,193.13,0
1400402,260.85,195.64,0
1400501,210.05,157.54,0
1400601,315.66,228.33,0
1400701,247.56,185.67,0
1400702,248.13,186.1,0
1400703,249.13,186.85,0
1400704,248.18,186.14,0
1400705,259.84,194.88,0
1400801,338.01,249.07,0
1400802,337.3,246.94,0
1400803,339.9,254.86,0
1400804,337.7,248.26,0
1400901,306.58,214.96,0
1400902,305.91,214.05,0
1400903,303.32,211.32,0
1401001,232.97,174.73,0
1401002,232.45,174.34,0
1401003,207.49,155.62,0
1401101,306.62,229.97,0
1401201,276.59,192.37,0
1401202,278.08,193.48,0
1401203,275.16,198.26,0
1401204,276.62,192.26,0
1401301,225.83,169.37,0
1401302,225.17,168.88,0
1401303,225.91,169.43,0
1401304,226.45,169.84,0
1401401,288.16,205.14,0
1401402,286.78,205.24,0
1401501,235.83,176.87,0
1401601,316.24,216.54,0
1401701,207.11,141.32,0
1401702,204.74,141.8,0
1401703,210.86,143.6,0
1401801,264.35,180.86,0
1401802,264.05,179.84,0
1401901,253.99,187.12,0
1401902,254.51,188.2,0
1401903,254.77,188.02,0
1401904,254.22,187.82,0
1401905,256.17,188.9,0
1402001,338.4,249.3,0
1402101,239.74,166.93,0
1402102,239.09,165.46,0
1402103,239.5,167.49,0
1402104,239.04,166.19,0
1402105,238.39,163.78,0
1402106,239.25,166.5,0
1402107,240.09,167.76,0
1402108,240.75,170.14,0
1402109,237.93,165.47,0
1402110,238.37,164.42,0
1402201,236.18,177.14,0
1402202,237.84,178.38,0
1402301,323.34,242.5,0
1402302,319.57,231.28,0
1402401,231.12,173.34,0
1402402,230.86,173.15,0
1402501,249.71,187.28,0
1402502,247.65,182.72,0
1402503,243.81,178.06,0
1402601,285.3,199.06,0
1402602,299.64,224.73,0
1402603,286.27,199.51,0
1490101,238.37,170.14,0
1402701,236.29,161.36,0
1402702,235.6,169.43,0
1402703,206.27,152.39,0
1402801,316.76,225.94,0
1402901,292.95,219.71,0
1402902,292.82,219.62,0
1402903,285.23,213.92,0
1402904,299.14,224.35,0
1403001,211.41,158.56,0
1403002,203.27,152.45,0
1403101,258.17,193.63,0
1403201,306.66,230.0,0
1403301,223.09,164.24,0
1490201,216.62,160.62,0
1403401,334.23,250.67,0
1403501,325.88,244.41,0
1403502,329.33,239.52,0
1403503,328.87,238.26,0
1403504,331.53,248.65,0
1403601,193.43,148.11,0
1403602,194.0,148.28,0
1403701,232.37,174.28,0
1403702,226.38,169.78,0
1403703,251.45,188.59,0
1403801,216.89,162.67,0
1403802,215.82,161.87,0
1403803,217.04,162.78,0
1403804,223.59,167.69,0
1403805,206.61,154.96,0
1403901,251.62,188.72,0
1404001,219.86,161.32,0
1404002,220.62,158.68,0
1404101,239.49,164.81,0
1404102,235.36,171.66,0
1404201,233.88,169.74,0
1404202,234.21,170.21,0
1404203,233.64,169.54,0
1404204,234.53,170.79,0
1404205,243.23,181.9,0
1404301,279.78,192.28,0
1404302,302.87,215.88,0
1404303,279.67,192.1,0
1404304,308.79,231.59,0
1404401,212.99,159.74,0
1404501,206.1,154.57,0
1404601,244.34,183.25,0
1404602,240.96,180.72,0
1404701,269.31,201.98,0
1404801,212.17,159.13,0
1404901,184.48,145.41,0
1404902,184.06,145.28,0
1404903,183.87,145.22,0
1405001,271.48,188.9,0
1405002,270.3,186.37,0
1405101,327.87,245.9,0
1405102,324.49,243.03,0
1405201,317.35,223.34,0
1405202,311.41,218.06,0
1405203,314.84,223.05,0
1405204,313.61,219.57,0
1405301,230.17,165.82,0
1405302,205.1,153.82,0
1405401,314.46,227.19,0
1405402,313.28,225.55,0
1405403,314.33,227.38,0
1405404,325.43,242.06,0
1405501,247.73,185.8,0
1405502,247.34,185.51,0
1405503,250.46,187.84,0
1405504,254.41,190.81,0
1405601,184.46,145.08,0
1405602,188.86,146.75,0
1405603,188.33,146.59,0
1405604,190.47,147.24,0
1405605,195.79,148.8,0
1405701,220.72,162.56,0
1405801,233.5,175.12,0
1405802,233.26,174.94,0
1405803,232.7,174.53,0
1405804,233.63,175.22,0
1405805,232.91,174.68,0
1405901,222.1,155.81,0
1406101,335.23,234.18,0
1406001,216.37,162.28,0
1406002,212.97,149.37,0
1406201,335.13,251.09,0
1406202,337.4,253.05,0
1406301,273.94,205.45,0
1406401,315.58,236.69,0
1406501,218.32,152.75,0
1406601,287.24,197.55,0
1406602,288.74,197.07,0
1406701,261.64,179.01,0
1406702,258.4,181.16,0
1406801,273.73,191.34,0
1406901,311.23,233.42,0
1406902,325.01,243.76,0
1406903,308.12,231.09,0
1406904,334.96,246.81,0
