seccion_ine,distancia_km,tiempo_mins,fallback
1400101,259.39,180.78,0
1400201,202.9,152.17,0
1400202,207.43,155.57,0
1400203,194.78,148.51,0
1400301,293.97,220.48,0
1400401,253.73,190.3,0
1400402,257.06,192.79,0
1400501,198.4,149.55,0
1400601,304.01,219.7,0
1400701,243.78,182.84,0
1400702,244.34,183.25,0
1400703,245.35,184.01,0
1400704,244.4,183.3,0
1400705,256.05,192.04,0
1400801,326.36,240.45,0
1400802,325.65,238.31,0
1400803,328.25,246.19,0
1400804,326.05,239.63,0
1400901,294.94,206.33,0
1400902,294.27,205.42,0
1400903,291.67,202.69,0
1401001,198.28,149.51,0
1401002,197.76,149.37,0
1401003,194.46,148.41,0
1401101,294.98,221.24,0
1401201,264.94,183.74,0
1401202,266.44,184.85,0
1401203,263.51,189.63,0
1401204,264.98,183.63,0
1401301,222.04,166.53,0
1401302,221.39,166.04,0
1401303,222.13,166.6,0
1401304,222.67,167.0,0
1401401,276.52,196.51,0
1401402,275.13,196.61,0
1401501,232.05,174.04,0
1401601,304.6,207.91,0
1401701,195.47,132.69,0
1401702,193.09,133.17,0
1401703,199.21,134.97,0
1401801,252.71,172.23,0
1401802,252.41,171.22,0
1401901,242.34,178.5,0
1401902,242.86,179.57,0
1401903,243.13,179.39,0
1401904,242.58,179.19,0
1401905,244.53,180.27,0
1402001,326.76,240.67,0
1402101,228.1,158.3,0
1402102,227.44,156.83,0
1402103,227.86,158.86,0
1402104,227.39,157.56,0
1402105,226.74,155.15,0
1402106,227.6,157.87,0
1402107,228.45,159.14,0
1402108,229.11,161.51,0
1402109,226.29,156.84,0
1402110,226.72,155.79,0
1402201,232.4,174.3,0
1402202,234.05,175.54,0
1402301,311.69,233.77,0
1402302,307.92,222.65,0
1402401,227.33,170.5,0
1402402,227.08,170.31,0
1402501,238.06,178.55,0
1402502,236.0,174.09,0
1402503,232.16,169.43,0
1402601,273.66,190.43,0
1402602,288.0,216.0,0
1402603,274.63,190.88,0
1490101,226.72,161.51,0
1402701,224.65,152.73,0
1402702,223.95,160.8,0
1402703,194.62,143.76,0
1402801,305.12,217.31,0
1402901,281.3,210.98,0
1402902,281.17,210.88,0
1402903,273.58,205.18,0
1402904,287.49,215.62,0
1403001,199.77,149.94,0
1403002,191.62,147.58,0
1403101,254.38,190.78,0
1403201,295.02,221.26,0
1403301,211.45,155.61,0
1490201,204.98,151.99,0
1403401,322.58,241.93,0
1403501,314.23,235.67,0
1403502,317.69,230.9,0
1403503,317.22,229.63,0
1403504,319.88,239.91,0
1403601,181.78,144.57,0
1403602,182.36,144.75,0
1403701,219.34,164.5,0
1403702,213.35,160.01,0
1403703,223.93,167.95,0
1403801,213.1,159.82,0
1403802,212.04,159.03,0
1403803,213.25,159.94,0
1403804,219.8,164.85,0
1403805,202.83,152.12,0
1403901,247.83,185.87,0
1404001,208.21,152.69,0
1404002,208.98,150.05,0
1404101,227.85,156.18,0
1404102,223.71,163.03,0
1404201,222.23,161.11,0
1404202,222.57,161.59,0
1404203,222.0,160.91,0
1404204,222.89,162.16,0
1404205,231.58,173.27,0
1404301,268.13,183.65,0
1404302,291.22,207.25,0
1404303,268.02,183.48,0
1404304,297.14,222.85,0
1404401,209.2,156.9,0
1404501,202.31,151.73,0
1404601,240.55,180.41,0
