seccion_ine,distancia_km,tiempo_mins,fallback
1400101,268.46,191.22,0
1400201,237.0,175.1,0
1400202,237.56,178.17,0
1400203,234.98,172.78,0
1400301,303.04,227.28,0
1400401,293.92,220.44,0
1400402,297.26,222.94,0
1400501,207.48,155.61,0
1400601,313.09,230.14,0
1400701,270.24,202.68,0
1400702,269.3,201.97,0
1400703,270.28,202.71,0
1400704,269.78,202.33,0
1400705,280.18,210.13,0
1400801,335.44,250.89,0
1400802,334.73,248.76,0
1400803,337.33,253.0,0
1400804,335.13,250.08,0
1400901,304.01,216.78,0
1400902,303.34,215.87,0
1400903,300.75,213.14,0
1401001,269.38,194.87,0
1401002,268.86,193.87,0
1401003,273.3,194.59,0
1401101,289.05,216.79,0
1401201,274.02,194.18,0
1401202,275.51,195.3,0
1401203,272.59,200.07,0
1401204,274.05,194.07,0
1401301,262.24,191.54,0
1401302,261.58,191.56,0
1401303,262.32,191.25,0
1401304,262.86,197.15,0
1401401,285.59,206.96,0
1401402,284.21,207.06,0
1401501,272.24,199.54,0
1401601,315.93,226.34,0
1401701,204.54,143.14,0
1401702,202.17,143.62,0
1401703,208.29,145.41,0
1401801,261.78,182.67,0
1401802,261.48,181.66,0
1401901,251.42,188.56,0
1401902,251.94,188.95,0
1401903,252.2,189.15,0
1401904,251.65,188.74,0
1401905,253.6,190.2,0
1402001,335.83,251.11,0
1402101,237.17,168.74,0
1402102,236.52,167.27,0
1402103,236.93,169.3,0
1402104,236.47,168.01,0
1402105,235.82,165.59,0
1402106,236.68,168.31,0
1402107,237.52,169.58,0
1402108,238.18,171.95,0
1402109,235.36,167.28,0
1402110,235.8,166.24,0
1402201,272.59,200.52,0
1402202,274.25,200.89,0
1402301,320.77,240.58,0
1402302,317.0,233.09,0
1402401,267.52,200.64,0
1402402,267.27,200.45,0
1402501,247.14,185.35,0
1402502,245.08,183.81,0
1402503,241.24,179.88,0
1402601,282.73,200.88,0
1402602,297.07,222.8,0
1402603,283.7,201.32,0
1490101,235.8,171.96,0
1402701,233.72,163.18,0
1402702,233.03,171.25,0
1402703,203.7,152.77,0
1402801,314.19,227.75,0
1402901,275.38,206.53,0
1402902,275.25,206.44,0
1402903,267.66,200.75,0
1402904,281.57,211.18,0
1403001,208.84,156.63,0
1403002,200.7,150.53,0
1403101,294.58,220.94,0
1403201,289.09,216.82,0
1403301,220.52,165.39,0
1490201,214.05,160.54,0
1403401,331.66,248.75,0
1403501,306.36,229.77,0
1403502,326.76,241.34,0
1403503,326.3,240.08,0
1403504,328.96,246.72,0
1403601,190.86,147.35,0
1403602,191.43,147.52,0
1403701,298.19,213.92,0
1403702,292.2,210.29,0
1403703,287.86,215.58,0
1403801,253.3,186.14,0
1403802,252.23,184.19,0
1403803,253.45,185.27,0
1403804,260.0,195.0,0
1403805,243.02,175.32,0
1403901,284.1,213.08,0
1404001,217.29,162.97,0
