seccion_ine,distancia_km,tiempo_mins,fallback
1400101,158.53,119.86,0
1400201,127.07,103.74,0
1400202,127.63,110.2,0
1400203,120.07,94.71,0
1400301,193.11,148.02,0
1400401,179.02,142.56,0
1400402,182.35,144.75,0
1400501,102.81,108.14,0
1400601,203.16,152.37,0
1400701,160.31,131.63,0
1400702,159.37,130.86,0
1400703,160.35,131.43,0
1400704,159.85,132.05,0
1400705,170.25,140.78,0
1400801,225.51,169.13,0
1400802,224.8,168.6,0
1400803,227.4,170.55,0
1400804,225.2,168.9,0
1400901,194.08,145.41,0
1400902,193.41,144.5,0
1400903,190.82,141.77,0
1401001,154.48,116.81,0
1401002,153.95,115.8,0
1401003,158.4,116.52,0
1401101,227.3,170.47,0
1401201,164.09,122.82,0
1401202,165.58,123.93,0
1401203,162.66,128.71,0
1401204,164.12,122.71,0
1401301,147.33,113.48,0
1401302,146.68,113.5,0
1401303,147.42,113.18,0
1401304,147.96,119.65,0
1401401,175.66,135.59,0
1401402,174.28,135.69,0
1401501,157.34,121.48,0
1401601,203.74,146.99,0
1401701,94.61,71.77,0
1401702,92.24,72.25,0
1401703,98.36,74.05,0
1401801,151.85,111.31,0
1401802,151.55,110.3,0
1401901,141.49,117.58,0
1401902,142.01,118.65,0
1401903,142.27,118.47,0
1401904,141.72,118.27,0
1401905,143.67,119.35,0
1402001,225.9,169.43,0
1402101,127.24,97.38,0
1402102,126.59,95.91,0
1402103,127.0,97.94,0
1402104,126.54,96.64,0
1402105,125.89,94.23,0
1402106,126.75,96.95,0
1402107,127.59,98.22,0
1402108,128.25,100.59,0
1402109,125.43,95.92,0
1402110,125.87,94.87,0
1402201,157.69,122.45,0
1402202,159.34,122.82,0
1402301,210.84,158.13,0
1402302,207.07,155.3,0
1402401,152.62,123.4,0
1402402,152.37,126.11,0
1402501,137.21,122.91,0
1402502,135.15,113.17,0
1402503,131.31,108.51,0
1402601,172.8,129.51,0
1402602,187.14,146.23,0
1402603,173.77,129.96,0
1490101,125.87,100.59,0
1402701,123.79,91.81,0
1402702,123.1,99.88,0
1402703,93.77,82.84,0
1402801,204.26,153.19,0
1402901,220.73,165.55,0
1402902,218.04,163.53,0
1402903,200.83,150.89,0
1402904,210.44,157.83,0
1403001,98.91,90.56,0
1403002,90.77,86.97,0
1403101,179.67,143.89,0
1403201,216.81,162.61,0
1403301,110.59,94.69,0
1490201,104.12,91.07,0
1403401,221.73,166.3,0
1403501,213.38,160.03,0
1403502,216.83,162.62,0
1403503,216.37,162.28,0
1403504,219.03,164.27,0
1403601,86.18,94.44,0
1403602,86.76,95.58,0
1403701,183.28,135.85,0
1403702,177.29,132.23,0
1403703,172.95,137.51,0
1403801,138.39,108.08,0
1403802,137.32,106.12,0
1403803,138.54,107.2,0
1403804,145.09,124.34,0
1403805,128.12,97.26,0
1403901,173.12,138.85,0
1404001,107.36,91.77,0
1404002,108.12,89.13,0
1404101,126.99,95.26,0
1404102,122.86,102.11,0
1404201,121.38,100.19,0
1404202,121.71,100.66,0
1404203,121.14,99.99,0
1404204,122.03,101.24,0
1404205,130.73,112.35,0
1404301,167.28,122.73,0
1404302,190.37,146.33,0
1404303,167.17,122.56,0
1404304,196.29,148.94,0
1404401,134.49,106.03,0
1404501,127.6,105.08,0
1404601,144.91,131.28,0
1404602,142.48,127.89,0
1404701,156.81,135.96,0
1404801,163.08,127.67,0
1404901,77.24,80.79,0
1404902,76.82,80.48,0
1404903,76.62,80.07,0
1405001,158.98,119.36,0
1405002,157.8,116.82,0
1405101,215.37,161.53,0
1405102,212.0,159.0,0
1405201,204.86,153.65,0
1405202,198.91,148.52,0
1405203,202.34,151.76,0
1405204,201.11,150.02,0
1405301,117.67,96.27,0
1405302,97.85,104.42,0
1405401,201.96,151.47,0
1405402,200.78,150.59,0
1405403,201.83,151.37,0
1405404,212.93,159.7,0
1405501,169.24,134.84,0
1405502,168.84,135.68,0
1405503,171.96,141.36,0
1405504,175.91,142.67,0
1405601,105.96,82.48,0
1405602,110.37,87.97,0
1405603,109.83,85.91,0
1405604,111.97,86.79,0
1405605,117.3,96.69,0
1405701,108.22,93.01,0
1405801,155.01,127.64,0
1405802,154.76,126.1,0
1405803,154.2,125.57,0
1405804,155.14,127.25,0
1405805,154.41,135.05,0
1405901,109.6,86.26,0
1406101,222.73,164.64,0
1406001,103.87,97.39,0
1406002,100.47,79.82,0
1406201,222.63,166.97,0
1406202,224.9,168.68,0
1406301,184.35,145.37,0
1406401,225.73,169.3,0
1406501,105.82,83.2,0
1406601,174.74,128.0,0
1406602,176.24,127.52,0
1406701,149.14,109.47,0
1406702,145.9,111.61,0
1406801,161.23,121.8,0
1406901,198.73,149.64,0
1406902,212.51,159.38,0
1406903,195.62,157.84,0
1406904,222.46,166.85,0
1407001,195.76,148.79,0
1407002,201.31,150.98,0
1407101,193.33,148.08,0
1407201,205.74,154.31,0
1407301,168.06,135.84,0
1407302,179.77,143.93,0
1407401,215.06,161.3,0
1407402,206.74,153.84,0
1407501,161.31,127.53,0
2100101,130.89,125.21,0
2100201,125.02,100.54,0
2100202,123.29,100.28,0
2100301,168.63,140.22,0
2100401,144.45,131.09,0
2100402,139.97,129.22,0
2100501,95.34,87.29,0
2100502,97.34,107.75,0
2100503,79.72,75.98,0
2100601,151.47,123.17,0
2100602,158.13,128.79,0
2100701,109.78,96.75,0
2100702,118.55,114.94,0
2100703,110.32,96.86,0
2100801,150.52,133.54,0
2100802,161.78,137.79,0
2100803,161.54,137.71,0
2100901,118.37,105.94,0
2101001,164.77,122.96,0
2101002,165.17,124.14,0
2101003,168.08,132.28,0
2101101,104.18,97.81,0
2101201,112.81,116.29,0
2101301,80.78,70.76,0
2101302,80.06,69.44,0
2101303,86.34,72.17,0
2101304,79.76,69.31,0
2101305,80.12,69.95,0
2101401,91.33,76.26,0
2101501,154.05,134.91,0
2101601,108.84,92.37,0
2101701,129.91,114.99,0
2101702,128.28,116.49,0
2101801,112.42,116.09,0
2101802,109.08,114.28,0
2101901,111.27,100.29,0
2102001,126.42,114.18,0
2102101,138.68,108.64,0
2102102,138.98,108.32,0
2102201,123.97,121.95,0
2102301,143.19,126.32,0
2103001,64.24,60.03,0
2102401,112.09,105.08,0
2102501,137.73,119.35,0
2102502,143.56,130.73,0
2102601,125.14,114.55,0
2102701,149.73,127.48,0
2102801,146.47,130.78,0
2102901,158.93,136.75,0
2102902,155.26,135.37,0
2103101,161.91,137.84,0
2103201,83.48,100.09,0
2103301,119.99,103.0,0
2103401,125.11,115.82,0
2103501,126.18,113.68,0
2103502,120.13,94.4,0
2103601,103.95,91.56,0
2103701,167.83,139.94,0
2103801,96.92,85.22,0
2103901,137.7,128.24,0
2104001,74.02,82.75,0
2104002,85.27,101.15,0
2104101,121.67,95.24,0
2104102,119.47,95.26,0
2104103,121.54,95.69,0
2104104,116.42,92.35,0
2104105,116.06,91.65,0
2104106,116.07,91.61,0
2104107,116.01,91.58,0
2104108,117.73,93.34,0
2104201,155.68,120.54,0
2104202,159.81,120.76,0
2104203,159.77,120.72,0
2104204,154.56,119.3,0
2104301,129.5,112.63,0
2104401,144.94,113.82,0
2104402,152.99,114.32,0
2104403,145.19,114.92,0
2104501,115.91,117.92,0
2104601,106.03,93.19,0
2104701,68.46,66.61,0
2104702,77.24,83.51,0
2104801,116.2,100.61,0
2104901,105.87,100.24,0
2104902,110.0,112.35,0
2105001,109.18,87.52,0
2105002,111.51,89.7,0
2105003,125.25,115.16,0
2105101,134.04,114.06,0
2105201,101.53,97.39,0
2105202,105.78,111.38,0
2105203,102.34,104.72,0
2105301,93.51,79.54,0
2105302,92.63,80.16,0
2105303,102.54,94.63,0
2105401,86.06,76.5,0
2105501,119.38,101.33,0
2105601,83.79,94.4,0
2105602,72.98,69.9,0
2105701,175.18,142.43,0
2105801,174.82,142.31,0
2105802,167.31,138.27,0
2105901,106.49,96.55,0
2106001,138.16,114.64,0
2106101,96.75,82.23,0
2106102,93.71,93.53,0
2106201,182.9,144.92,0
2106301,137.6,110.08,0
2106401,116.09,114.19,0
2106402,113.52,107.37,0
2106601,173.14,141.75,0
2106501,181.43,144.46,0
2106701,139.22,128.9,0
2106801,163.58,138.44,0
2106901,89.33,73.62,0
2107001,132.32,125.86,0
2107002,112.47,91.86,0
2107101,129.65,120.53,0
2107201,110.7,96.81,0
2107202,110.2,96.17,0
2107203,111.0,97.51,0
2107301,162.59,124.48,0
2107401,75.05,70.52,0
2107501,146.54,131.95,0
2107601,146.95,123.38,0
2107602,154.98,135.27,0
2107701,90.18,96.25,0
2107702,85.86,79.72,0
2107801,125.49,122.68,0
2107802,118.43,119.21,0
2190201,135.16,126.18,0
2107901,100.43,87.56,0
4100101,80.71,64.22,0
4100102,83.05,74.0,0
4100201,111.45,115.57,0
4100301,46.32,65.81,0
4100401,9.99,14.21,0
4100402,11.16,16.3,0
4100403,9.74,12.6,0
4100404,9.39,12.1,0
4100501,38.31,41.08,0
4100502,37.41,39.61,0
4100601,38.27,50.46,0
4100602,38.69,51.77,0
4100701,31.8,37.45,0
4100702,31.63,37.57,0
4100801,84.8,87.72,0
4100901,90.84,88.02,0
4101001,43.4,54.03,0
4101101,28.26,29.63,0
4101102,29.86,30.86,0
4101103,30.84,32.57,0
4101104,36.2,60.57,0
4101201,55.93,80.32,0
4101301,62.62,64.01,0
4101302,61.5,62.2,0
4101401,112.66,92.23,0
4101501,51.87,57.53,0
4101502,48.57,52.44,0
4101601,44.65,49.26,0
4101602,43.35,46.32,0
4101701,34.88,40.71,0
4101801,28.56,38.14,0
4101901,47.44,68.18,0
4102001,57.34,52.11,0
4102002,58.93,54.13,0
4102101,31.21,36.34,0
4102102,31.43,36.56,0
4102103,30.97,37.15,0
4102104,31.59,37.91,0
4102201,55.12,50.83,0
4102202,54.6,50.31,0
4102301,37.33,49.54,0
4102302,38.69,51.38,0
4190101,70.21,86.04,0
4102401,20.68,24.29,0
4102402,20.95,26.55,0
4102403,20.62,25.29,0
4102404,20.9,24.08,0
4102405,19.5,22.18,0
4102406,43.55,46.99,0
4102501,59.29,58.15,0
4102502,58.32,54.32,0
4102601,107.55,84.86,0
4102602,106.41,83.54,0
4102701,57.61,69.61,0
4102702,57.57,70.26,0
4102801,34.09,46.32,0
4102901,33.55,39.55,0
4103001,62.61,61.3,0
4103101,79.09,72.16,0
4103201,82.68,98.7,0
4103202,83.94,100.01,0
4103301,77.5,81.55,0
4103302,78.47,82.76,0
4103303,80.6,94.98,0
4103304,80.05,85.45,0
4103401,39.98,47.69,0
4103402,40.75,49.89,0
4103403,40.25,48.0,0
4103501,66.42,77.54,0
4103601,52.88,49.21,0
4103602,52.64,48.73,0
4103701,92.03,76.09,0
4103702,94.72,85.11,0
4190301,72.97,62.71,0
4103801,19.82,24.52,0
4103802,20.35,26.33,0
4103803,21.88,27.12,0
4103804,20.73,25.78,0
4103805,23.04,24.89,0
4103901,74.06,59.99,0
4103902,74.78,60.99,0
4103903,72.95,57.91,0
4103904,73.14,58.32,0
4103905,74.34,60.62,0
4104001,41.27,46.48,0
4104101,91.96,71.91,0
4104102,93.0,74.02,0
4104103,93.49,75.47,0
4104104,93.62,72.37,0
4104201,50.77,46.58,0
4104202,50.69,45.69,0
4104203,53.12,54.43,0
4104301,61.66,55.8,0
4104401,43.51,61.95,0
4104501,47.21,46.27,0
4104502,52.16,71.5,0
4104601,88.98,73.67,0
4104602,90.26,89.25,0
4104701,34.77,40.52,0
4104801,115.73,117.83,0
4104802,115.38,117.64,0
4104803,117.45,118.71,0
4104901,44.87,45.94,0
4105001,104.46,82.93,0
4105002,107.05,96.93,0
4105003,102.87,84.01,0
4105101,56.29,55.07,0
4190201,62.5,80.03,0
4105201,69.37,63.36,0
4105301,70.03,66.78,0
4105302,70.75,68.45,0
4105303,69.3,65.47,0
4105304,69.37,67.67,0
4105401,100.85,78.19,0
4105501,50.23,52.08,0
4105502,50.54,52.38,0
4105503,51.0,52.51,0
4105601,57.62,49.07,0
4105701,93.55,92.74,0
4105801,2.65,5.58,0
4105802,2.82,6.15,0
4105803,3.22,6.72,0
4105901,34.14,39.23,0
4106001,46.21,51.92,0
4106002,44.76,44.23,0
4106003,44.91,44.47,0
4106101,92.67,81.99,0
4106201,94.09,76.88,0
4106301,41.13,38.89,0
4106401,65.48,61.7,0
4106402,66.49,68.89,0
4106403,67.45,77.49,0
4106501,45.95,44.1,0
4106502,46.81,45.57,0
4106503,46.32,44.49,0
4106504,47.14,46.14,0
4106505,51.65,57.95,0
4106601,101.34,109.88,0
4106602,103.24,110.99,0
4106701,48.25,71.18,0
4106702,43.77,54.47,0
4106801,71.23,60.03,0
4106802,80.72,77.27,0
4106803,70.78,58.67,0
4106804,75.6,63.63,0
4106805,69.87,58.13,0
4106901,34.38,38.2,0
4106902,36.23,39.33,0
4106903,35.23,37.86,0
4106904,35.56,38.84,0
4190401,49.74,57.42,0
4107001,37.26,43.6,0
4107101,35.75,37.07,0
4107102,34.68,34.42,0
4107103,35.86,37.77,0
4107201,95.24,89.48,0
4107301,64.25,87.07,0
4107401,69.87,72.62,0
4107501,65.34,63.4,0
4107601,77.19,78.06,0
4107701,52.92,47.4,0
4107702,50.94,44.4,0
4107703,51.94,46.61,0
4107801,77.12,84.97,0
4107802,73.63,83.16,0
4107901,42.39,50.17,0
4108001,99.55,85.61,0
4108002,111.79,113.65,0
4108101,34.69,37.87,0
4108102,33.42,37.41,0
4108201,114.22,86.12,0
4108301,72.73,68.8,0
4108401,91.44,73.38,0
4108402,85.29,70.62,0
4108501,40.04,53.15,0
4108601,31.88,37.57,0
4108602,31.98,37.91,0
4108603,30.96,35.9,0
4108604,31.51,36.75,0
4108801,91.37,97.02,0
4108701,49.6,51.4,0
4108702,49.73,50.84,0
4108901,36.11,57.67,0
4108902,34.77,51.61,0
4109001,89.36,77.41,0
4109101,23.68,27.78,0
4109102,25.97,32.12,0
4109103,23.56,27.45,0
4109104,20.67,23.02,0
4109105,23.67,26.97,0
4109106,27.49,33.91,0
4109107,23.32,26.98,0
4109108,21.6,24.31,0
4109109,18.06,21.13,0
4109110,27.79,29.57,0
4109111,30.28,37.54,0
4109201,34.14,45.81,0
4109202,36.65,46.67,0
4109301,32.14,38.86,0
4109401,43.37,45.98,0
4109402,42.77,45.27,0
4109501,32.56,32.18,0
4109502,33.08,33.28,0
4109503,33.3,34.01,0
4109504,32.3,31.97,0
4109505,34.37,34.41,0
4109601,36.04,48.98,0
4109701,68.85,76.01,0
4109702,70.18,81.33,0
4110001,79.92,84.84,0
4109801,46.86,50.09,0
4109901,45.54,62.7,0
4109902,44.16,58.77,0
4109903,45.03,61.54,0
4110101,33.18,43.43,0
4110201,5.36,11.23,0
4110202,6.56,14.6,0
4110203,8.97,11.73,0
1100101,143.8,110.5,0
1100102,140.82,105.91,0
1100201,103.53,106.57,0
1100301,117.16,118.56,0
1100401,189.09,137.27,0
1100402,189.36,138.75,0
1100403,189.23,137.82,0
1100404,188.63,137.19,0
1100501,92.48,83.76,0
1100502,91.61,84.25,0
1100601,96.34,93.89,0
1100602,95.43,91.72,0
1100603,117.18,91.65,0
1100604,98.53,98.92,0
1100701,171.93,131.03,0
1100702,172.36,131.72,0
1100703,172.78,132.19,0
1100704,175.31,142.48,0
1100801,170.42,124.7,0
1100802,187.15,136.66,0
1100803,184.57,141.56,0
1190101,146.04,122.74,0
1100901,111.78,115.74,0
1101001,93.58,85.18,0
1101002,94.37,85.68,0
1101003,87.88,80.09,0
1101101,101.35,97.16,0
1101201,126.29,99.77,0
1101202,126.31,100.46,0
1101203,126.32,100.29,0
1101204,126.45,100.89,0
1101205,125.82,100.87,0
1101206,125.59,97.71,0
1101207,124.63,96.52,0
1101208,124.53,95.49,0
1101209,124.21,95.53,0
1101210,124.99,96.81,0
1101301,204.31,153.23,0
1101501,130.75,102.78,0
1101502,131.95,105.36,0
1101503,131.18,103.59,0
1101504,129.68,102.0,0
1101505,143.16,117.28,0
1101601,130.15,102.83,0
1101602,129.86,102.24,0
1101603,128.12,102.46,0
1101401,150.17,117.96,0
1101402,149.65,116.16,0
1101403,150.54,118.13,0
1101701,81.02,75.67,0
1101801,103.82,94.42,0
1101901,118.75,112.97,0
1102001,97.81,83.6,0
1102002,95.46,77.95,0
1102003,98.61,82.67,0
1102004,94.02,75.77,0
1102005,95.5,77.41,0
1102006,94.5,76.41,0
1102007,97.2,80.92,0
1102008,100.13,80.62,0
1102009,85.84,100.74,0
1102010,103.0,87.89,0
1102101,219.86,164.9,0
1102102,214.12,160.59,0
1102103,225.02,168.77,0
1102201,199.13,147.45,0
1102202,199.6,147.83,0
1102203,198.8,146.69,0
1102204,198.59,146.8,0
1102205,197.63,145.0,0
1102206,199.74,148.54,0
1102207,200.59,150.31,0
1102301,125.54,97.69,0
1102302,124.82,97.09,0
1102303,125.24,97.25,0
1102304,125.08,97.37,0
1102305,124.33,95.9,0
1102306,137.68,118.75,0
1102401,87.9,89.68,0
1102402,84.45,85.76,0
1102403,94.75,106.41,0
1102404,90.16,92.03,0
1102501,129.98,101.42,0
1102601,94.75,91.05,0
1102602,95.5,92.28,0
1102701,113.56,90.73,0
1102702,121.25,95.67,0
1102703,118.86,93.86,0
1102704,110.42,115.01,0
1102801,116.59,89.73,0
1102802,116.81,90.88,0
1102803,116.95,90.49,0
1102804,123.02,96.87,0
1102901,74.27,67.76,0
1103001,129.03,109.87,0
1103002,128.41,108.05,0
1103003,128.77,108.84,0
1103101,126.05,97.8,0
1103102,126.38,97.76,0
1103103,127.0,98.79,0
1103104,126.99,99.41,0
1103105,128.09,100.56,0
1103106,128.18,100.8,0
1190201,120.65,106.11,0
1190301,220.6,165.45,0
1103301,192.89,140.21,0
1103302,194.4,141.47,0
1103303,196.15,143.06,0
1103304,189.63,137.38,0
1103305,209.92,157.44,0
1103201,122.4,96.81,0
1103202,123.17,98.39,0
1103203,124.23,100.05,0
1103204,123.92,99.93,0
1103205,124.56,101.2,0
1103401,94.87,106.47,0
1103501,211.13,156.74,0
1103502,213.59,160.19,0
1103601,89.45,93.32,0
1103701,86.07,95.57,0
1103801,113.65,112.08,0
1103901,159.64,125.52,0
