seccion_ine,distancia_km,tiempo_mins,fallback
1400101,90.82,68.89,0
1400201,59.36,52.77,0
1400202,59.92,59.23,0
1400203,70.92,62.1,0
1400301,125.4,122.64,0
1400401,121.52,103.15,0
1400402,124.85,107.75,0
1400501,57.46,57.88,0
1400601,135.45,107.81,0
1400701,92.6,80.66,0
1400702,91.66,79.89,0
1400703,92.64,80.46,0
1400704,92.14,81.08,0
1400705,102.55,90.78,0
1400801,157.8,128.56,0
1400802,157.09,126.43,0
1400803,159.69,134.35,0
1400804,157.49,127.74,0
1400901,126.38,94.44,0
1400902,125.7,93.53,0
1400903,123.11,90.8,0
1401001,96.7,76.66,0
1401002,96.18,75.66,0
1401003,98.35,77.23,0
1401101,159.59,136.99,0
1401201,96.38,71.85,0
1401202,97.88,72.96,0
1401203,94.95,77.74,0
1401204,96.42,71.74,0
1401301,82.38,73.1,0
1401302,81.26,72.2,0
1401303,82.47,72.81,0
1401304,82.54,78.35,0
1401401,107.96,84.62,0
1401402,106.57,84.72,0
1401501,99.84,82.07,0
1401601,138.29,104.0,0
1401701,26.9,20.8,0
1401702,24.53,21.28,0
1401703,30.65,23.08,0
1401801,84.14,60.34,0
1401802,83.84,59.33,0
1401901,73.78,66.61,0
1401902,74.3,67.68,0
1401903,74.57,67.5,0
1401904,74.01,67.3,0
1401905,75.97,68.38,0
1402001,158.2,128.78,0
1402101,59.53,46.41,0
1402102,58.88,44.94,0
1402103,59.29,46.97,0
1402104,58.83,45.67,0
1402105,58.18,43.26,0
1402106,59.04,45.98,0
1402107,59.89,47.25,0
1402108,60.55,49.62,0
1402109,57.73,44.95,0
1402110,58.16,43.9,0
1402201,92.93,82.33,0
1402202,94.58,82.7,0
1402301,143.13,130.55,0
1402302,139.36,110.76,0
1402401,94.84,83.25,0
1402402,94.59,85.96,0
1402501,69.5,71.94,0
1402502,67.44,62.2,0
1402503,63.6,57.54,0
1402601,105.09,78.54,0
1402602,119.43,119.71,0
1402603,106.07,78.99,0
1490101,58.16,49.62,0
1402701,56.08,40.84,0
1402702,55.39,48.91,0
1402703,26.06,31.87,0
1402801,136.56,105.42,0
1402901,153.02,117.38,0
1402902,150.33,121.89,0
1402903,159.16,136.83,0
1402904,142.73,124.41,0
1403001,31.2,39.59,0
1403002,23.06,36.0,0
1403101,117.37,104.84,0
1403201,149.1,128.81,0
1403301,42.89,43.73,0
1490201,36.41,40.1,0
1403401,154.02,134.9,0
1403501,145.67,131.59,0
1403502,149.12,119.01,0
1403503,148.66,117.74,0
1403504,151.32,133.85,0
1403601,49.33,61.11,0
1403602,49.91,62.25,0
1403701,116.89,97.9,0
1403702,121.56,103.23,0
1403703,115.18,97.37,0
1403801,80.89,68.67,0
1403802,79.83,66.71,0
1403803,81.04,67.8,0
1403804,89.23,84.43,0
1403805,80.24,64.79,0
1403901,106.46,93.71,0
1404001,39.65,40.8,0
1404002,40.42,38.16,0
1404101,59.28,44.29,0
1404102,55.15,51.14,0
1404201,53.67,49.22,0
1404202,54.0,49.7,0
1404203,53.43,49.02,0
1404204,54.33,50.27,0
1404205,63.02,61.38,0
1404301,99.57,71.76,0
1404302,122.66,95.36,0
1404303,99.46,71.59,0
1404304,128.58,124.14,0
1404401,67.75,57.47,0
1404501,70.48,69.27,0
1404601,77.2,80.36,0
1404602,74.77,76.92,0
1404701,89.1,103.34,0
1404801,105.04,89.73,0
1404901,34.5,41.84,0
1404902,34.55,41.99,0
1404903,34.57,42.16,0
1405001,91.27,68.39,0
1405002,90.09,65.85,0
1405101,147.67,132.4,0
1405102,144.29,122.52,0
1405201,137.15,102.83,0
1405202,131.2,97.55,0
1405203,134.64,102.54,0
1405204,133.41,99.05,0
1405301,49.97,45.3,0
1405302,55.04,53.93,0
1405401,134.26,106.67,0
1405402,133.07,105.03,0
1405403,134.12,106.86,0
1405404,145.23,121.54,0
1405501,111.74,95.44,0
1405502,111.34,96.27,0
1405503,114.46,104.4,0
1405504,118.41,107.08,0
1405601,45.1,50.48,0
1405602,49.51,55.97,0
1405603,48.97,53.91,0
1405604,51.11,54.78,0
1405605,51.05,53.38,0
1405701,40.51,42.04,0
1405801,97.23,87.5,0
1405802,96.99,85.95,0
1405803,96.43,85.42,0
1405804,97.36,87.1,0
1405805,96.91,99.8,0
1405901,41.89,35.29,0
1406101,155.02,113.66,0
1406001,36.16,46.42,0
1406002,32.76,28.85,0
1406201,156.07,135.47,0
1406202,157.19,134.73,0
1406301,116.65,112.36,0
1406401,158.02,131.62,0
1406501,38.11,32.23,0
1406601,107.03,77.03,0
1406602,108.53,76.55,0
1406701,81.43,58.5,0
1406702,78.19,60.64,0
1406801,93.52,70.83,0
1406901,131.03,113.77,0
1406902,144.81,131.24,0
1406903,127.91,123.83,0
1406904,154.75,126.3,0
1407001,128.05,120.62,0
1407002,133.6,111.34,0
1407101,125.63,111.97,0
1407201,138.03,105.54,0
1407301,100.36,84.88,0
1407302,112.06,106.45,0
1407401,147.36,131.55,0
1407402,139.04,102.86,0
1407501,96.55,87.4,0
2100101,189.75,147.02,0
2100201,186.63,130.17,0
2100202,184.9,129.91,0
2100301,230.24,172.68,0
2100401,203.32,152.49,0
2100402,198.84,149.67,0
2100501,156.95,116.92,0
2100502,158.95,136.76,0
2100503,141.33,105.61,0
2100601,213.08,152.8,0
2100602,219.74,158.42,0
2100701,168.65,125.41,0
2100702,177.42,143.17,0
2100703,169.19,125.51,0
2100801,209.39,157.04,0
2100802,220.65,165.49,0
2100803,220.41,165.31,0
2100901,177.24,134.59,0
2101001,226.39,152.59,0
2101002,226.79,153.77,0
2101003,229.69,161.91,0
2101101,165.8,127.44,0
2101201,174.42,142.18,0
2101301,142.39,100.39,0
2101302,141.68,99.07,0
2101303,147.96,101.8,0
2101304,141.37,98.94,0
2101305,141.73,99.58,0
2101401,152.95,105.89,0
2101501,215.66,161.75,0
2101601,167.71,121.03,0
2101701,191.52,144.62,0
2101702,189.9,146.12,0
2101801,171.29,141.13,0
2101802,167.95,139.98,0
2101901,170.13,128.94,0
2102001,185.29,142.84,0
2102101,200.3,138.26,0
2102102,200.59,137.95,0
2102201,182.84,144.9,0
2102301,204.8,153.6,0
2103001,125.85,89.66,0
2102401,170.95,133.73,0
2102501,196.6,148.0,0
2102502,202.43,151.82,0
2102601,184.0,143.2,0
2102701,208.59,156.13,0
2102801,205.34,154.0,0
2102901,217.8,163.35,0
2102902,214.13,160.6,0
2103101,220.78,165.59,0
2103201,145.09,130.35,0
2103301,178.86,131.65,0
2103401,183.98,144.48,0
2103501,187.79,143.31,0
2103502,181.74,124.03,0
2103601,162.82,120.21,0
2103701,229.45,172.09,0
2103801,155.78,113.88,0
2103901,196.57,149.02,0
2104001,135.63,112.38,0
2104002,146.89,132.09,0
2104101,183.28,124.87,0
2104102,181.08,124.89,0
2104103,183.16,125.32,0
2104104,178.03,121.98,0
2104105,177.68,121.28,0
2104106,177.68,121.24,0
2104107,177.62,121.21,0
2104108,179.34,122.97,0
2104201,217.29,150.17,0
2104202,221.42,150.39,0
2104203,221.38,150.35,0
2104204,216.17,148.93,0
2104301,188.36,141.28,0
2104401,206.55,143.45,0
2104402,214.6,143.95,0
2104403,206.81,144.55,0
2104501,174.77,142.3,0
2104601,167.64,122.82,0
2104701,130.07,96.24,0
2104702,138.85,113.14,0
2104801,175.07,129.26,0
2104901,164.74,128.89,0
2104902,168.87,140.3,0
2105001,170.79,117.15,0
2105002,173.13,119.33,0
2105003,186.87,144.8,0
2105101,192.91,142.72,0
2105201,160.4,126.05,0
2105202,164.64,138.82,0
2105203,161.21,133.38,0
2105301,155.13,109.17,0
2105302,154.24,109.79,0
2105303,164.15,124.26,0
2105401,147.67,106.13,0
2105501,181.0,130.96,0
2105601,145.4,124.03,0
2105602,134.59,99.53,0
2105701,236.79,177.59,0
2105801,236.43,177.32,0
2105802,228.93,167.9,0
2105901,165.36,125.2,0
2106001,199.78,144.27,0
2106101,158.36,111.86,0
2106102,155.33,123.16,0
2106201,241.77,181.33,0
2106301,199.21,139.71,0
2106401,177.7,143.26,0
2106402,175.13,137.0,0
2106601,234.75,176.06,0
2106501,243.05,182.29,0
2106701,198.08,149.46,0
2106801,225.19,168.89,0
2106901,148.2,102.28,0
2107001,193.93,148.26,0
2107002,174.09,121.49,0
2107101,188.51,146.65,0
2107201,172.31,126.44,0
2107202,171.82,125.8,0
2107203,172.61,127.14,0
2107301,224.2,154.11,0
2107401,136.66,100.15,0
2107501,208.15,156.11,0
2107601,208.56,153.01,0
2107602,216.59,162.44,0
2107701,151.79,125.88,0
2107702,147.47,109.35,0
2107801,187.1,146.22,0
2107802,177.3,143.13,0
2190201,196.77,149.08,0
2107901,159.3,116.22,0
4100101,42.16,47.38,0
4100102,44.51,57.15,0
4100201,108.84,114.15,0
4100301,105.19,94.46,0
4100401,85.02,60.63,0
4100402,81.8,60.95,0
4100403,83.7,60.23,0
4100404,83.35,59.73,0
4100501,92.64,67.01,0
4100502,91.74,65.53,0
4100601,65.94,59.43,0
4100602,66.36,60.73,0
4100701,89.11,64.99,0
4100702,88.94,65.11,0
4100801,69.99,77.13,0
4100901,149.71,116.68,0
4101001,109.71,84.63,0
4101101,54.86,52.01,0
4101102,53.96,51.06,0
4101103,54.94,52.77,0
4101104,64.62,85.61,0
4101201,117.54,118.76,0
4101301,121.48,92.67,0
4101302,120.37,90.85,0
4101401,61.53,68.55,0
4101501,113.48,87.16,0
4101502,110.18,82.07,0
4101601,106.26,78.89,0
4101602,104.96,75.95,0
4101701,96.49,70.34,0
4101801,72.57,59.37,0
4101901,88.06,91.29,0
4102001,127.39,89.27,0
4102002,128.98,91.29,0
