seccion_ine,distancia_km,tiempo_mins,fallback
1400101,167.35,118.61,0
1400201,135.87,101.41,0
1400202,136.45,108.96,0
1400203,127.74,91.88,0
1400301,201.93,151.45,0
1400401,186.69,139.73,0
1400402,190.02,144.33,0
1400501,106.37,106.64,0
1400601,211.98,157.53,0
1400701,169.13,130.39,0
1400702,168.19,129.61,0
1400703,169.17,130.18,0
1400704,168.66,130.8,0
1400705,179.07,140.5,0
1400801,234.33,175.75,0
1400802,233.62,175.22,0
1400803,236.22,177.16,0
1400804,234.01,175.51,0
1400901,202.9,144.17,0
1400902,202.23,143.26,0
1400903,199.63,140.53,0
1401001,162.15,113.98,0
1401002,161.62,112.98,0
1401003,166.07,113.69,0
1401101,236.12,177.09,0
1401201,172.91,121.57,0
1401202,174.4,122.69,0
1401203,171.48,127.46,0
1401204,172.94,121.46,0
1401301,155.0,110.65,0
1401302,154.35,110.67,0
1401303,155.09,110.36,0
1401304,155.63,116.83,0
1401401,184.48,134.35,0
1401402,183.09,134.45,0
1401501,165.01,118.65,0
1401601,212.56,145.75,0
1401701,103.43,70.53,0
1401702,101.06,71.01,0
1401703,107.17,72.81,0
1401801,160.67,110.06,0
1401802,160.37,109.05,0
1401901,150.3,116.33,0
1401902,150.82,117.4,0
1401903,151.09,117.23,0
1401904,150.54,117.02,0
1401905,152.49,118.1,0
1402001,234.72,176.04,0
1402101,136.06,96.13,0
1402102,135.4,94.66,0
1402103,135.82,96.69,0
1402104,135.35,95.4,0
1402105,134.7,92.98,0
1402106,135.56,95.7,0
1402107,136.41,96.97,0
1402108,137.07,99.34,0
1402109,134.25,94.67,0
1402110,134.69,93.62,0
1402201,165.36,119.63,0
1402202,167.01,120.0,0
1402301,219.66,164.75,0
1402302,215.88,160.48,0
1402401,160.29,120.57,0
1402402,160.04,123.28,0
1402501,146.03,121.67,0
1402502,143.96,111.92,0
1402503,140.12,107.27,0
1402601,181.62,128.26,0
1402602,195.96,148.85,0
1402603,182.59,128.72,0
1490101,134.69,99.35,0
1402701,132.61,90.57,0
1402702,131.91,98.64,0
1402703,102.59,81.59,0
1402801,213.08,155.15,0
1402901,198.9,149.69,0
1402902,198.78,149.66,0
1402903,191.18,147.45,0
1402904,219.26,164.44,0
1403001,107.73,89.31,0
1403002,99.59,85.72,0
1403101,187.34,143.09,0
1403201,225.62,169.22,0
1403301,119.41,93.45,0
1490201,112.94,89.82,0
1403401,230.54,172.91,0
1403501,222.2,166.65,0
1403502,225.65,168.73,0
1403503,225.19,167.47,0
1403504,227.85,170.89,0
1403601,89.74,92.94,0
1403602,90.32,94.08,0
1403701,190.95,133.03,0
1403702,184.97,129.4,0
1403703,180.62,134.69,0
1403801,146.06,105.25,0
1403802,145.0,103.3,0
1403803,146.21,104.38,0
1403804,152.76,121.51,0
1403805,135.79,94.43,0
1403901,180.79,136.02,0
1404001,116.17,90.53,0
1404002,116.94,87.89,0
1404101,135.81,94.02,0
1404102,131.67,100.87,0
1404201,130.19,98.95,0
