seccion_ine,distancia_km,tiempo_mins,fallback
1400101,39.21,33.54,0
1400201,44.84,35.03,0
1400202,45.4,41.5,0
1400203,56.39,44.37,0
1400301,73.79,93.93,0
1400401,106.99,85.42,0
1400402,110.33,90.02,0
1400501,25.88,30.02,0
1400601,83.84,72.46,0
1400701,60.82,46.59,0
1400702,59.89,45.82,0
1400703,60.86,46.39,0
1400704,60.36,47.01,0
1400705,70.77,56.71,0
1400801,106.19,93.21,0
1400802,105.48,91.08,0
1400803,108.08,99.0,0
1400804,105.88,92.39,0
1400901,74.76,59.09,0
1400902,74.09,58.18,0
1400903,71.49,55.45,0
1401001,82.18,58.92,0
1401002,81.65,57.92,0
1401003,83.83,59.49,0
1401101,107.98,113.67,0
1401201,44.77,36.5,0
1401202,46.26,37.61,0
1401203,43.34,42.39,0
1401204,44.8,36.39,0
1401301,67.86,55.37,0
1401302,66.74,54.46,0
1401303,67.95,55.07,0
1401304,68.02,60.62,0
1401401,56.34,49.27,0
1401402,54.95,49.38,0
1401501,85.31,64.33,0
1401601,84.42,60.67,0
1401701,27.7,21.62,0
1401702,31.86,28.14,0
1401703,29.28,22.97,0
1401801,32.53,24.99,0
1401802,32.23,23.98,0
1401901,42.0,32.54,0
1401902,42.52,33.61,0
1401903,42.79,33.43,0
1401904,42.24,33.23,0
1401905,44.19,34.31,0
1402001,106.58,93.43,0
1402101,5.79,7.35,0
1402102,6.0,7.86,0
1402103,6.41,9.88,0
1402104,5.95,8.59,0
1402105,5.3,6.18,0
1402106,5.3,6.92,0
1402107,6.15,8.19,0
1402108,6.8,10.56,0
1402109,3.98,5.89,0
1402110,4.42,5.0,0
1402201,78.45,61.52,0
1402202,76.73,59.33,0
1402301,91.52,104.68,0
1402302,87.74,75.41,0
1402401,80.32,65.52,0
1402402,80.07,68.22,0
1402501,37.72,37.87,0
1402502,35.09,28.12,0
1402503,36.42,27.84,0
1402601,53.48,43.19,0
1402602,67.82,89.74,0
1402603,54.45,43.64,0
1490101,25.76,28.68,0
1402701,23.69,19.89,0
1402702,22.99,27.96,0
1402703,49.01,47.65,0
1402801,84.94,70.07,0
1402901,101.41,82.04,0
1402902,98.72,86.55,0
1402903,107.55,113.43,0
1402904,91.12,89.06,0
1403001,44.26,40.52,0
1403002,49.6,49.41,0
1403101,85.59,70.77,0
1403201,97.49,93.46,0
1403301,23.31,33.28,0
1490201,38.06,42.02,0
1403401,102.4,110.5,0
1403501,94.06,106.05,0
