seccion_ine,distancia_km,tiempo_mins,fallback
1400101,23.87,22.83,0
1400201,97.2,70.06,0
1400202,97.76,76.53,0
1400203,108.75,79.39,0
1400301,113.2,116.5,0
1400401,115.43,107.06,0
1400402,118.77,111.66,0
1400501,74.58,65.36,0
1400601,97.05,94.21,0
1400701,74.38,67.16,0
1400702,73.44,66.38,0
1400703,74.42,66.95,0
1400704,73.91,67.57,0
1400705,53.29,66.84,0
1400801,145.6,118.81,0
1400802,144.89,116.68,0
1400803,147.49,124.6,0
1400804,145.29,118.0,0
1400901,114.18,84.69,0
1400902,113.5,83.79,0
1400903,110.91,81.05,0
1401001,134.54,93.95,0
1401002,134.01,92.95,0
1401003,136.19,94.53,0
1401101,147.4,132.3,0
1401201,23.09,22.39,0
1401202,24.39,24.15,0
1401203,28.38,32.1,0
1401204,23.7,23.3,0
1401301,120.22,90.39,0
1401302,119.1,89.49,0
1401303,120.31,90.1,0
1401304,101.54,94.94,0
1401401,16.48,25.64,0
1401402,21.93,33.93,0
1401501,137.67,99.36,0
1401601,47.35,42.17,0
1401701,80.06,56.66,0
1401702,84.22,63.17,0
1401703,81.64,58.0,0
1401801,26.57,21.79,0
1401802,25.99,20.46,0
1401901,55.55,53.1,0
1401902,54.46,53.15,0
1401903,56.34,53.99,0
1401904,54.62,53.57,0
1401905,55.12,54.54,0
1402001,67.25,66.94,0
1402101,51.85,39.52,0
1402102,50.07,37.78,0
1402103,50.52,39.87,0
1402104,50.35,38.55,0
1402105,50.78,36.24,0
1402106,51.92,39.85,0
1402107,52.2,40.36,0
1402108,52.86,42.73,0
1402109,52.64,39.58,0
1402110,53.08,38.53,0
1402201,92.01,82.09,0
1402202,90.29,79.89,0
1402301,130.93,125.23,0
1402302,127.16,101.01,0
1402401,132.68,100.55,0
1402402,132.43,103.25,0
1402501,59.63,64.25,0
1402502,58.5,55.2,0
1402503,61.19,56.33,0
1402601,92.9,68.79,0
1402602,107.23,113.26,0
1402603,93.87,69.24,0
1490101,78.13,63.71,0
1402701,76.05,54.92,0
1402702,75.35,62.99,0
1402703,101.38,82.68,0
1402801,124.36,95.67,0
1402901,140.83,107.64,0
1402902,138.14,112.15,0
1402903,146.96,132.12,0
1402904,130.53,114.66,0
1403001,96.62,75.55,0
1403002,101.96,84.44,0
1403101,99.15,91.33,0
1403201,136.9,119.06,0
1403301,76.31,70.51,0
1490201,90.42,77.05,0
1403401,100.56,109.42,0
1403501,133.47,126.38,0
1403502,136.93,109.26,0
1403503,136.46,107.99,0
1403504,139.12,128.85,0
1403601,96.15,93.7,0
1403602,96.96,95.18,0
1403701,154.72,115.2,0
1403702,159.4,120.52,0
1403703,153.01,114.66,0
1403801,118.73,85.96,0
1403802,117.66,84.01,0
1403803,118.88,85.09,0
1403804,127.07,101.72,0
1403805,118.07,82.08,0
1403901,88.24,80.2,0
1404001,92.91,76.71,0
1404002,91.31,71.38,0
1404101,79.25,58.37,0
1404102,84.75,65.35,0
1404201,91.6,67.11,0
1404202,91.93,67.58,0
1404203,91.36,66.9,0
1404204,71.58,68.1,0
1404205,77.93,77.94,0
1404301,10.5,12.74,0
1404302,19.39,26.88,0
1404303,10.39,12.56,0
1404304,37.63,62.22,0
1404401,105.58,74.76,0
1404501,108.31,86.56,0
1404601,69.95,73.03,0
1404602,69.72,72.76,0
1404701,76.9,95.99,0
1404801,142.88,107.02,0
1404901,112.68,93.5,0
1404902,112.72,93.66,0
1404903,112.74,93.83,0
1405001,19.35,18.44,0
1405002,19.49,17.38,0
