seccion_ine,distancia_km,tiempo_mins,fallback
1400101,65.95,52.77,0
1400201,52.36,40.5,0
1400202,52.92,46.97,0
1400203,63.91,49.83,0
1400301,100.53,109.41,0
1400401,114.52,90.88,0
1400402,117.85,95.48,0
1400501,32.49,41.32,0
1400601,110.57,91.68,0
1400701,77.35,64.66,0
1400702,76.42,63.89,0
1400703,77.39,64.46,0
1400704,76.89,65.08,0
1400705,87.3,74.78,0
1400801,132.92,112.43,0
1400802,132.21,110.3,0
1400803,134.81,118.22,0
1400804,132.61,111.62,0
1400901,101.5,78.32,0
1400902,100.83,77.41,0
1400903,98.23,74.67,0
1401001,89.7,64.39,0
1401002,89.17,63.39,0
1401003,91.35,64.96,0
1401101,134.72,126.93,0
1401201,71.5,55.72,0
1401202,73.0,56.84,0
1401203,70.07,61.61,0
1401204,71.54,55.61,0
1401301,75.38,60.83,0
1401302,74.26,59.93,0
1401303,75.47,60.53,0
1401304,75.54,66.08,0
1401401,83.08,68.5,0
1401402,81.69,68.6,0
1401501,92.83,69.8,0
1401601,111.16,79.9,0
1401701,1.58,5.0,0
1401702,3.29,6.08,0
1401703,5.68,6.53,0
1401801,59.26,44.21,0
1401802,58.97,43.2,0
1401901,58.53,50.61,0
1401902,59.05,51.68,0
1401903,59.32,51.5,0
1401904,58.77,51.3,0
1401905,60.72,52.38,0
1402001,133.32,112.65,0
1402101,34.66,30.28,0
1402102,34.0,28.81,0
1402103,34.42,30.84,0
1402104,33.95,29.55,0
1402105,33.3,27.13,0
1402106,34.16,29.86,0
1402107,35.01,31.12,0
1402108,35.67,33.49,0
1402109,32.85,28.82,0
1402110,33.28,27.77,0
1402201,85.92,70.06,0
1402202,87.58,70.43,0
1402301,118.25,119.12,0
1402302,114.48,94.63,0
1402401,87.84,70.98,0
1402402,87.59,73.69,0
1402501,54.25,55.94,0
1402502,52.19,46.2,0
1402503,48.35,41.54,0
1402601,80.22,62.41,0
1402602,94.56,106.31,0
1402603,81.19,62.87,0
1490101,33.28,33.5,0
1402701,31.21,24.72,0
1402702,30.51,32.78,0
1402703,25.42,31.2,0
1402801,111.68,89.3,0
1402901,128.15,101.26,0
1402902,125.46,105.77,0
1402903,134.28,126.74,0
1402904,117.85,108.29,0
1403001,20.66,24.07,0
1403002,23.37,31.88,0
1403101,102.12,88.84,0
1403201,124.22,112.68,0
1403301,17.92,27.17,0
1490201,9.49,19.97,0
1403401,129.14,124.4,0
1403501,120.79,120.39,0
1403502,124.25,102.88,0
1403503,123.78,101.62,0
1403504,126.44,123.14,0
1403601,39.6,50.22,0
1403602,40.41,51.7,0
1403701,109.88,85.63,0
1403702,114.56,90.96,0
1403703,108.17,85.1,0
1403801,73.89,56.4,0
1403802,72.82,54.44,0
1403803,74.04,55.53,0
1403804,82.23,72.16,0
1403805,73.23,52.52,0
1403901,91.21,77.71,0
1404001,23.24,30.81,0
1404002,24.01,28.17,0
1404101,34.41,28.17,0
1404102,39.9,35.14,0
1404201,46.76,37.54,0
1404202,47.1,38.01,0
1404203,46.53,37.34,0
1404204,47.42,38.59,0
1404205,56.11,49.7,0
1404301,74.69,55.63,0
1404302,97.78,79.23,0
1404303,74.58,55.46,0
1404304,103.7,111.26,0
1404401,60.74,45.2,0
1404501,63.47,57.0,0
1404601,65.05,68.22,0
1404602,62.62,64.78,0
1404701,64.22,87.05,0
1404801,98.04,77.46,0
1404901,36.72,42.02,0
1404902,36.76,42.18,0
1404903,36.78,42.35,0
1405001,66.39,52.26,0
1405002,65.21,49.73,0
1405101,122.79,119.37,0
1405102,119.41,106.39,0
1405201,112.27,86.7,0
1405202,106.32,81.42,0
1405203,109.76,86.41,0
1405204,108.53,82.92,0
1405301,25.0,28.75,0
1405302,30.07,37.37,0
1405401,109.38,90.54,0
1405402,108.19,88.9,0
1405403,109.24,90.74,0
1405404,120.35,105.41,0
1405501,104.74,83.17,0
1405502,104.34,84.0,0
1405503,107.46,92.13,0
1405504,101.23,91.8,0
1405601,43.3,47.12,0
1405602,40.71,47.59,0
1405603,39.6,44.94,0
1405604,38.98,43.8,0
1405605,34.65,43.39,0
1405701,13.59,21.91,0
1405801,90.23,75.23,0
1405802,89.98,73.69,0
1405803,89.42,73.15,0
1405804,90.36,74.83,0
1405805,89.91,87.53,0
1405901,13.27,18.3,0
1406101,130.14,97.54,0
1406001,19.76,36.43,0
1406002,16.36,18.86,0
1406201,130.05,114.45,0
1406202,132.31,118.61,0
1406301,101.4,96.36,0
1406401,133.14,115.49,0
1406501,11.64,15.33,0
1406601,82.15,60.9,0
1406602,83.65,60.43,0
1406701,56.55,42.37,0
1406702,53.32,44.52,0
1406801,68.64,54.7,0
1406901,106.15,97.64,0
1406902,119.93,119.96,0
1406903,103.04,110.88,0
1406904,129.87,110.17,0
1407001,103.17,104.49,0
1407002,108.72,95.21,0
1407101,100.75,95.84,0
1407201,113.15,89.41,0
1407301,75.48,68.75,0
1407302,87.18,90.33,0
1407401,122.48,115.42,0
1407402,114.16,86.74,0
1407501,89.55,75.13,0
2100101,215.48,161.61,0
2100201,212.36,146.02,0
2100202,210.63,145.75,0
2100301,255.97,191.98,0
2100401,229.05,171.79,0
2100402,224.57,168.43,0
2100501,182.68,132.77,0
2100502,184.68,145.47,0
2100503,167.06,121.46,0
2100601,238.81,168.65,0
2100602,245.47,174.27,0
2100701,194.38,141.26,0
2100702,203.15,152.36,0
2100703,194.92,141.36,0
2100801,235.12,176.34,0
2100802,246.38,184.78,0
2100803,246.14,184.6,0
2100901,202.97,150.44,0
2101001,252.12,168.44,0
2101002,252.52,169.62,0
2101003,255.42,177.75,0
2101101,191.53,143.29,0
2101201,200.16,150.12,0
2101301,168.12,116.23,0
2101302,167.41,114.92,0
2101303,173.69,117.65,0
2101304,167.1,114.79,0
2101305,167.46,115.43,0
2101401,178.68,121.73,0
2101501,241.39,181.04,0
2101601,193.44,136.87,0
2101701,217.25,160.47,0
2101702,215.63,161.72,0
2101801,197.02,149.15,0
2101802,193.68,148.19,0
2101901,195.86,144.79,0
2102001,211.02,158.27,0
2102101,226.03,154.11,0
2102102,226.32,153.8,0
2102201,208.57,156.43,0
2102301,230.53,171.8,0
2103001,151.58,105.51,0
2102401,196.68,149.06,0
2102501,222.33,163.85,0
2102502,228.16,171.12,0
2102601,209.73,157.3,0
2102701,234.32,171.98,0
2102801,231.07,173.3,0
2102901,243.53,182.65,0
2102902,239.86,179.9,0
2103101,246.51,184.88,0
2103201,170.82,140.97,0
2103301,204.59,147.5,0
2103401,209.71,157.28,0
2103501,213.52,159.16,0
2103502,207.47,139.88,0
2103601,188.55,136.06,0
2103701,255.18,190.02,0
2103801,181.51,129.72,0
2103901,222.3,166.72,0
2104001,161.36,128.23,0
2104002,172.62,141.58,0
2104101,209.01,140.72,0
2104102,206.81,140.74,0
2104103,208.89,141.17,0
2104104,203.76,137.83,0
2104105,203.41,137.13,0
2104106,203.41,137.09,0
2104107,203.35,137.06,0
2104108,205.07,138.82,0
2104201,243.02,166.02,0
2104202,247.15,166.24,0
2104203,247.11,166.2,0
2104204,241.9,164.77,0
2104301,214.09,157.13,0
2104401,232.28,159.3,0
2104402,240.33,159.8,0
2104403,232.54,160.4,0
2104501,200.5,150.38,0
2104601,193.37,138.67,0
2104701,155.8,112.09,0
2104702,164.58,128.98,0
2104801,200.8,145.11,0
2104901,190.47,144.74,0
2104902,194.6,148.46,0
2105001,196.52,133.0,0
2105002,198.86,135.18,0
2105003,212.6,159.45,0
2105101,218.64,158.57,0
2105201,186.13,141.9,0
2105202,190.37,147.21,0
2105203,186.94,146.17,0
2105301,180.86,125.02,0
2105302,179.97,125.64,0
2105303,189.88,140.11,0
2105401,173.4,121.98,0
2105501,206.73,146.81,0
2105601,171.13,139.88,0
2105602,160.32,115.38,0
2105701,262.52,196.89,0
2105801,262.16,196.62,0
2105802,254.66,183.75,0
2105901,191.09,141.05,0
2106001,225.51,160.12,0
2106101,184.09,127.71,0
2106102,181.06,139.01,0
2106201,267.5,198.3,0
2106301,224.94,155.56,0
2106401,203.43,152.57,0
2106402,200.86,150.65,0
2106601,260.48,192.74,0
2106501,268.78,198.62,0
2106701,223.81,167.86,0
2106801,250.92,188.19,0
2106901,173.93,118.12,0
2107001,219.66,164.75,0
2107002,199.82,137.34,0
2107101,214.24,160.68,0
2107201,198.05,142.29,0
2107202,197.55,141.65,0
2107203,198.34,142.98,0
2107301,249.93,169.96,0
2107401,162.39,116.0,0
2107501,233.88,175.41,0
2107601,234.29,168.86,0
2107602,242.32,181.74,0
2107701,177.52,141.72,0
2107702,173.2,125.19,0
2107801,212.83,159.62,0
2107802,203.03,153.47,0
2190201,222.5,166.88,0
2107901,185.03,132.07,0
4100101,61.25,58.81,0
4100102,63.59,68.59,0
4100201,134.57,126.87,0
4100301,130.92,110.31,0
4100401,110.75,76.48,0
4100402,107.53,76.79,0
4100403,109.43,76.08,0
4100404,109.08,75.58,0
4100501,118.37,82.86,0
4100502,117.47,81.38,0
4100601,91.67,75.28,0
4100602,92.09,76.58,0
4100701,114.84,80.84,0
4100702,114.67,80.96,0
4100801,89.07,88.56,0
4100901,175.44,132.53,0
4101001,135.44,100.48,0
4101101,79.33,68.21,0
4101102,78.43,67.26,0
4101103,79.41,68.98,0
4101104,89.09,101.81,0
4101201,143.27,130.61,0
4101301,147.21,108.52,0
4101302,146.1,106.7,0
4101401,59.73,65.19,0
4101501,139.21,103.01,0
4101502,135.91,97.91,0
4101601,131.99,94.73,0
4101602,130.69,91.8,0
4101701,122.22,86.19,0
4101801,98.3,75.22,0
4101901,113.79,107.13,0
4102001,153.12,105.11,0
4102002,154.71,107.14,0
4102101,115.81,80.85,0
4102102,116.03,81.06,0
4102103,118.25,82.54,0
4102104,118.88,83.3,0
4102201,59.23,44.42,0
4102202,58.72,43.89,0
4102301,107.07,86.62,0
4102302,108.43,88.45,0
4190101,47.91,63.15,0
4102401,75.79,51.13,0
4102402,74.78,52.43,0
4102403,75.72,52.13,0
4102404,76.01,50.92,0
4102405,76.06,50.47,0
4102406,90.84,70.51,0
4102501,146.63,103.63,0
4102502,145.66,99.8,0
4102601,54.61,57.83,0
4102602,53.47,56.5,0
4102701,124.51,109.2,0
4102702,124.47,109.86,0
4102801,118.68,90.83,0
4102901,120.89,85.03,0
