seccion_ine,distancia_km,tiempo_mins,fallback
1400101,31.45,28.57,0
1400201,54.45,43.93,0
1400202,55.0,50.4,0
1400203,66.0,53.26,0
1400301,69.04,90.62,0
1400401,107.13,92.41,0
1400402,110.46,97.01,0
1400501,30.41,36.39,0
1400601,79.09,69.61,0
1400701,66.07,52.51,0
1400702,65.13,51.74,0
1400703,66.11,52.3,0
1400704,65.61,52.92,0
1400705,76.02,62.62,0
1400801,101.44,90.36,0
1400802,100.73,88.22,0
1400803,103.33,96.15,0
1400804,101.13,89.54,0
1400901,70.01,56.24,0
1400902,69.34,55.33,0
1400903,66.75,52.6,0
1401001,91.79,67.82,0
1401002,91.26,66.82,0
1401003,93.43,68.39,0
1401101,103.23,110.99,0
1401201,37.01,31.52,0
1401202,38.5,32.64,0
1401203,35.58,37.41,0
1401204,37.04,31.41,0
1401301,77.47,64.26,0
1401302,76.34,63.36,0
1401303,77.55,63.97,0
1401304,77.62,69.51,0
1401401,48.58,44.3,0
1401402,47.19,44.4,0
1401501,94.92,73.23,0
1401601,76.66,55.7,0
1401701,37.3,30.52,0
1401702,41.46,37.03,0
1401703,38.89,31.87,0
1401801,24.77,20.01,0
1401802,24.47,19.0,0
1401901,47.25,38.45,0
1401902,47.77,39.52,0
1401903,48.04,39.35,0
1401904,47.48,39.14,0
1401905,49.44,40.23,0
1402001,98.82,88.45,0
1402101,7.68,10.56,0
1402102,5.9,8.83,0
1402103,6.35,10.92,0
1402104,6.18,9.58,0
1402105,6.24,7.88,0
1402106,7.75,10.88,0
1402107,8.03,11.4,0
1402108,8.69,13.77,0
1402109,7.82,12.74,0
1402110,8.84,11.46,0
1402201,83.7,67.44,0
1402202,81.98,65.24,0
1402301,86.77,102.02,0
1402302,83.0,72.56,0
1402401,89.93,74.41,0
1402402,89.67,77.12,0
1402501,42.97,43.79,0
1402502,40.34,34.04,0
1402503,41.66,33.75,0
1402601,48.73,40.34,0
1402602,63.07,86.16,0
1402603,49.7,40.79,0
1490101,35.37,37.57,0
1402701,33.3,28.79,0
1402702,32.6,36.86,0
1402703,58.62,56.54,0
1402801,80.2,67.22,0
1402901,96.66,79.18,0
1402902,93.97,83.69,0
1402903,102.8,110.74,0
1402904,86.37,86.21,0
1403001,53.86,49.41,0
1403002,59.2,58.31,0
1403101,90.84,76.69,0
1403201,92.74,90.61,0
1403301,33.55,44.38,0
1490201,47.66,50.92,0
1403401,97.66,107.92,0
1403501,89.31,103.46,0
1403502,92.76,80.81,0
1403503,92.3,79.54,0
1403504,94.96,106.52,0
1403601,51.98,64.73,0
1403602,52.79,66.22,0
1403701,111.97,89.06,0
1403702,116.65,94.39,0
1403703,110.26,88.53,0
1403801,75.98,59.83,0
1403802,74.91,57.88,0
1403803,76.12,58.96,0
1403804,84.31,75.59,0
1403805,75.32,55.95,0
1403901,79.93,65.56,0
1404001,50.16,50.57,0
1404002,48.56,45.24,0
1404101,36.49,32.24,0
1404102,41.99,39.22,0
1404201,48.85,40.97,0
1404202,49.18,41.45,0
1404203,48.61,40.77,0
1404204,49.5,42.02,0
1404205,58.2,53.13,0
1404301,40.2,31.43,0
1404302,63.29,55.03,0
1404303,40.09,31.26,0
1404304,69.21,90.74,0
1404401,62.83,48.63,0
1404501,65.56,60.43,0
1404601,57.07,58.24,0
1404602,54.64,54.8,0
1404701,32.74,56.41,0
1404801,100.12,80.89,0
1404901,69.92,67.36,0
1404902,69.97,67.52,0
1404903,69.99,67.69,0
1405001,31.9,28.06,0
1405002,30.71,25.52,0
1405101,91.31,97.3,0
1405102,87.93,84.31,0
1405201,80.79,64.62,0
1405202,74.84,59.35,0
1405203,78.27,64.34,0
1405204,77.05,60.85,0
1405301,38.4,46.2,0
1405302,40.89,49.38,0
1405401,77.9,68.47,0
1405402,76.71,66.83,0
1405403,77.76,68.66,0
1405404,88.87,83.34,0
1405501,99.23,85.33,0
1405502,99.21,86.86,0
1405503,109.54,95.56,0
1405504,89.94,79.65,0
1405601,78.83,63.91,0
1405602,76.24,64.39,0
1405603,75.13,61.74,0
1405604,74.51,60.59,0
1405605,77.48,68.28,0
1405701,38.51,43.22,0
1405801,92.31,78.66,0
1405802,92.07,77.12,0
1405803,91.51,76.59,0
1405804,92.45,78.27,0
1405805,91.99,90.96,0
1405901,35.37,35.12,0
1406101,98.66,75.46,0
1406001,63.24,67.29,0
1406002,59.84,49.72,0
1406201,98.57,92.37,0
1406202,100.83,96.53,0
1406301,63.16,72.59,0
1406401,101.66,93.42,0
1406501,31.59,32.06,0
1406601,47.66,36.7,0
1406602,49.16,36.23,0
1406701,22.05,18.17,0
1406702,18.82,20.32,0
1406801,37.16,32.62,0
1406901,71.65,73.44,0
1406902,85.43,101.24,0
1406903,71.55,92.39,0
1406904,95.37,85.97,0
1407001,71.69,82.42,0
1407002,77.24,73.14,0
1407101,69.27,73.77,0
1407201,81.67,67.34,0
1407301,44.0,46.67,0
1407302,55.7,68.26,0
1407401,91.0,93.35,0
1407402,82.68,64.67,0
1407501,81.1,68.7,0
