seccion_ine,distancia_km,tiempo_mins,fallback
1400101,237.79,168.57,0
1400201,206.33,152.45,0
1400202,206.88,155.16,0
1400203,204.3,150.12,0
1400301,272.36,204.27,0
1400401,263.25,197.44,0
1400402,266.58,199.93,0
1400501,176.8,142.96,0
1400601,282.41,207.49,0
1400701,239.56,179.67,0
1400702,238.63,178.97,0
1400703,239.6,179.7,0
1400704,239.1,179.32,0
1400705,249.51,187.13,0
1400801,304.76,228.24,0
1400802,304.05,226.11,0
1400803,306.65,229.99,0
1400804,304.45,227.43,0
1400901,273.34,194.12,0
1400902,272.67,193.22,0
1400903,270.07,190.48,0
1401001,238.71,172.22,0
1401002,238.18,171.22,0
1401003,242.63,171.94,0
1401101,258.38,193.78,0
1401201,243.34,171.53,0
1401202,244.84,172.65,0
1401203,241.91,177.42,0
1401204,243.38,171.42,0
1401301,231.56,168.89,0
1401302,230.91,168.91,0
1401303,231.65,168.6,0
1401304,232.19,174.14,0
1401401,254.92,184.3,0
1401402,253.53,184.41,0
1401501,241.57,176.89,0
1401601,283.0,195.71,0
1401701,173.87,120.49,0
1401702,171.49,120.97,0
1401703,177.61,122.76,0
1401801,231.1,160.02,0
1401802,230.81,159.01,0
1401901,220.74,165.56,0
1401902,221.26,165.94,0
1401903,221.53,166.15,0
1401904,220.98,165.73,0
1401905,222.93,167.2,0
1402001,305.15,228.46,0
1402101,206.49,146.09,0
1402102,205.84,144.62,0
1402103,206.26,146.65,0
1402104,205.79,145.35,0
1402105,205.14,142.94,0
1402106,206.0,145.66,0
1402107,206.85,146.93,0
1402108,207.51,149.3,0
1402109,204.69,144.63,0
1402110,205.12,143.58,0
1402201,241.92,177.87,0
1402202,243.57,178.24,0
1402301,290.09,217.57,0
1402302,286.32,210.44,0
1402401,236.85,177.64,0
1402402,236.6,177.45,0
1402501,216.46,162.34,0
1402502,214.4,160.8,0
1402503,210.56,157.22,0
1402601,252.06,178.22,0
1402602,266.39,199.79,0
1402603,253.03,178.67,0
1490101,205.12,149.31,0
1402701,203.05,140.53,0
1402702,202.35,148.59,0
1402703,173.02,131.55,0
1402801,283.52,205.1,0
1402901,244.7,183.52,0
1402902,244.58,183.44,0
1402903,236.98,177.74,0
1402904,250.89,188.17,0
1403001,178.16,139.27,0
1403002,170.02,135.68,0
1403101,263.9,197.92,0
1403201,258.42,193.82,0
1403301,189.85,143.41,0
1490201,183.38,139.78,0
1403401,300.98,225.74,0
1403501,275.68,206.76,0
1403502,296.09,218.69,0
1403503,295.62,217.43,0
1403504,298.28,223.71,0
1403601,160.18,137.21,0
1403602,160.75,137.42,0
1403701,267.51,191.27,0
1403702,261.52,187.64,0
1403703,257.18,192.88,0
1403801,222.62,163.49,0
1403802,221.55,161.53,0
1403803,222.77,162.62,0
1403804,229.32,171.99,0
1403805,212.35,152.67,0
1403901,253.42,190.06,0
1404001,186.61,140.48,0
1404002,187.38,137.84,0
1404101,206.25,143.97,0
1404102,202.11,150.83,0
1404201,200.63,148.91,0
1404202,200.96,149.38,0
1404203,200.39,148.7,0
1404204,201.29,149.96,0
1404205,209.98,157.48,0
1404301,246.53,171.44,0
1404302,269.62,195.04,0
1404303,246.42,171.27,0
1404304,275.54,206.66,0
1404401,214.71,157.15,0
1404501,211.83,158.87,0
1404601,224.16,168.12,0
1404602,221.74,166.31,0
1404701,236.06,177.05,0
