seccion_ine,distancia_km,tiempo_mins,fallback
1400101,178.86,130.02,0
1400201,147.4,113.89,0
1400202,147.96,120.36,0
1400203,146.21,111.99,0
1400301,213.44,160.08,0
1400401,205.15,153.86,0
1400402,208.49,156.37,0
1400501,117.88,118.05,0
1400601,223.49,167.62,0
1400701,180.64,141.79,0
1400702,179.7,141.02,0
1400703,180.68,141.59,0
1400704,180.18,142.2,0
1400705,190.58,147.27,0
1400801,245.84,184.38,0
1400802,245.13,183.85,0
1400803,247.73,185.8,0
1400804,245.53,184.15,0
1400901,198.4,149.55,0
1400902,198.16,149.48,0
1400903,211.14,151.93,0
1401001,180.61,134.09,0
1401002,180.09,133.08,0
1401003,184.53,133.8,0
1401101,192.56,147.86,0
1401201,184.42,132.98,0
1401202,185.91,134.09,0
1401203,182.99,138.87,0
1401204,184.45,132.87,0
1401301,173.47,130.76,0
1401302,172.81,130.78,0
1401303,173.55,130.46,0
1401304,174.09,136.93,0
1401401,195.99,145.75,0
1401402,194.61,145.85,0
1401501,183.47,138.76,0
1401601,224.07,157.15,0
1401701,114.94,81.93,0
1401702,112.57,82.41,0
1401703,118.69,84.21,0
1401801,172.18,121.47,0
1401802,171.88,120.45,0
1401901,161.81,127.73,0
1401902,162.34,128.81,0
1401903,162.6,128.63,0
1401904,162.05,128.43,0
1401905,164.0,129.51,0
1402001,246.23,184.67,0
1402101,147.57,107.54,0
1402102,146.92,106.07,0
1402103,147.33,108.09,0
1402104,146.87,106.8,0
1402105,146.22,104.39,0
1402106,147.08,107.11,0
1402107,147.92,108.38,0
1402108,148.58,110.75,0
1402109,145.76,106.08,0
1402110,146.2,105.03,0
1402201,183.82,139.74,0
1402202,185.48,140.1,0
1402301,231.17,173.38,0
1402302,227.4,170.55,0
1402401,178.75,140.68,0
1402402,178.5,143.39,0
1402501,157.54,133.07,0
1402502,155.48,123.33,0
1402503,151.63,118.67,0
1402601,193.13,139.67,0
1402602,207.47,155.6,0
1402603,194.1,140.12,0
1490101,146.2,110.75,0
1402701,144.12,101.97,0
1402702,143.43,110.04,0
1402703,114.1,93.0,0
1402801,224.59,166.55,0
1402901,178.89,140.75,0
1402902,178.76,143.6,0
1402903,171.17,141.09,0
1402904,185.08,145.6,0
1403001,119.24,100.72,0
1403002,111.1,97.12,0
1403101,205.81,154.36,0
1403201,192.61,147.87,0
1403301,130.92,104.85,0
1490201,124.45,101.23,0
1403401,242.06,181.54,0
1403501,209.87,157.4,0
1403502,218.67,164.0,0
1403503,218.4,163.8,0
1403504,239.36,179.52,0
1403601,101.26,104.34,0
1403602,101.83,105.49,0
1403701,209.42,153.14,0
1403702,203.43,149.51,0
1403703,199.09,149.74,0
1403801,164.53,125.36,0
1403802,163.46,123.4,0
1403803,164.67,124.48,0
1403804,171.22,141.11,0
1403805,154.25,114.54,0
1403901,194.5,148.43,0
1404001,127.69,101.93,0
1404002,128.45,99.29,0
1404101,147.32,105.42,0
1404102,143.19,112.27,0
1404201,141.71,110.35,0
1404202,142.04,110.82,0
1404203,141.47,110.15,0
1404204,142.36,111.4,0
1404205,151.06,122.51,0
1404301,187.61,132.89,0
1404302,210.7,156.49,0
1404303,187.5,132.72,0
1404304,216.62,162.47,0
1404401,155.78,118.6,0
1404501,153.74,122.36,0
1404601,165.24,139.03,0
1404602,162.81,138.05,0
1404701,177.14,143.08,0
1404801,189.22,144.95,0
1404901,92.31,90.69,0
1404902,91.89,90.38,0
1404903,91.7,89.97,0
1405001,179.31,129.51,0
1405002,178.13,126.98,0
1405101,235.7,176.78,0
1405102,232.32,174.24,0
1405201,189.88,147.06,0
1405202,193.2,148.05,0
1405203,188.17,146.55,0
1405204,190.2,147.16,0
1405301,138.0,106.43,0
1405302,112.93,114.32,0
1405401,222.29,166.72,0
1405402,221.11,165.83,0
1405403,222.16,166.62,0
1405404,233.26,174.94,0
1405501,195.37,148.68,0
1405502,194.98,148.57,0
1405503,198.09,149.46,0
1405504,202.05,151.54,0
1405601,132.1,99.76,0
1405602,136.5,105.25,0
1405603,135.97,103.19,0
1405604,138.11,104.06,0
1405605,143.43,113.97,0
1405701,128.55,103.17,0
1405801,181.14,144.36,0
1405802,180.9,143.38,0
1405803,180.34,142.85,0
1405804,181.27,144.4,0
1405805,180.55,144.18,0
1405901,129.93,96.42,0
1406101,243.05,174.79,0
1406001,124.2,107.55,0
1406002,120.8,89.98,0
1406201,242.96,182.22,0
1406202,245.23,183.92,0
1406301,204.68,153.51,0
1406401,201.53,151.15,0
1406501,126.15,93.36,0
1406601,195.07,138.16,0
1406602,196.57,137.68,0
1406701,169.46,119.62,0
1406702,166.23,121.77,0
1406801,181.56,131.95,0
1406901,219.06,164.29,0
1406902,232.84,174.63,0
1406903,215.95,167.59,0
1406904,242.79,182.09,0
1407001,216.09,162.07,0
1407002,221.64,166.23,0
1407101,213.66,160.25,0
1407201,226.07,166.67,0
1407301,188.39,146.0,0
1407302,200.09,150.07,0
1407401,235.39,176.54,0
1407402,227.07,163.99,0
1407501,187.44,144.8,0
2100101,101.23,96.56,0
2100201,100.43,72.08,0
2100202,98.69,71.82,0
2100301,144.04,130.93,0
2100401,114.8,117.34,0
2100402,110.31,114.95,0
2100501,70.74,58.83,0
2100502,72.75,79.9,0
2100503,55.13,47.52,0
2100601,126.88,94.72,0
2100602,133.53,100.33,0
2100701,80.13,65.41,0
2100702,88.9,83.59,0
2100703,80.66,65.51,0
2100801,120.86,117.84,0
2100802,132.12,125.77,0
2100803,131.88,125.06,0
2100901,88.71,74.59,0
2101001,140.18,94.5,0
2101002,140.58,95.68,0
2101003,143.49,103.82,0
2101101,79.59,69.36,0
2101201,88.22,102.85,0
2101301,56.19,42.3,0
2101302,55.47,40.98,0
2101303,61.75,43.71,0
2101304,55.17,40.85,0
2101305,55.53,41.49,0
2101401,66.74,47.8,0
2101501,129.46,107.96,0
2101601,79.19,61.02,0
2101701,105.31,86.53,0
2101702,103.69,88.03,0
2101801,82.77,85.49,0
2101802,79.42,84.1,0
2101901,81.61,68.94,0
2102001,96.77,82.84,0
2102101,114.09,80.18,0
2102102,114.39,79.86,0
2102201,94.32,92.14,0
2102301,118.59,97.86,0
2103001,39.64,31.57,0
2102401,82.43,73.73,0
2102501,108.07,88.0,0
2102502,113.9,108.81,0
2102601,95.48,83.2,0
2102701,120.07,96.13,0
2102801,116.81,99.43,0
2102901,129.27,124.46,0
2102902,125.6,112.15,0
2103101,132.25,122.65,0
2103201,58.88,72.26,0
2103301,90.34,71.65,0
2103401,95.45,84.48,0
2103501,101.59,85.22,0
2103502,95.54,65.94,0
2103601,74.29,60.22,0
2103701,143.24,116.08,0
2103801,67.26,53.88,0
2103901,108.04,109.62,0
2104001,49.43,54.29,0
2104002,60.68,84.27,0
2104101,97.07,66.78,0
2104102,94.87,66.81,0
2104103,96.95,67.23,0
2104104,91.83,63.89,0
2104105,91.47,63.19,0
2104106,91.48,63.15,0
2104107,91.42,63.12,0
2104108,93.14,64.89,0
2104201,131.08,92.09,0
2104202,135.22,92.31,0
2104203,135.18,92.26,0
2104204,129.97,90.84,0
2104301,99.84,81.29,0
2104401,120.34,85.36,0
2104402,128.39,85.86,0
2104403,120.6,86.46,0
2104501,86.25,96.17,0
2104601,81.43,64.73,0
2104701,43.87,38.15,0
2104702,52.64,55.05,0
2104801,86.55,69.26,0
2104901,76.21,68.89,0
2104902,80.35,81.0,0
2105001,84.58,59.07,0
2105002,86.92,61.24,0
2105003,100.66,86.71,0
2105101,104.39,82.72,0
2105201,71.87,66.05,0
2105202,76.12,80.03,0
2105203,72.68,73.38,0
2105301,68.92,51.08,0
2105302,68.04,51.7,0
2105303,77.95,66.17,0
2105401,61.47,48.04,0
2105501,94.79,72.87,0
2105601,59.19,65.94,0
2105602,48.39,41.45,0
2105701,150.59,133.57,0
2105801,150.23,133.42,0
2105802,142.72,109.81,0
2105901,76.83,65.2,0
2106001,113.57,86.19,0
2106101,72.16,53.77,0
2106102,69.12,65.07,0
2106201,153.24,122.45,0
2106301,113.0,81.62,0
2106401,91.49,85.74,0
2106402,88.93,78.91,0
2106601,148.55,118.8,0
2106501,156.84,124.69,0
2106701,109.56,99.19,0
2106801,138.98,119.97,0
2106901,59.67,42.27,0
2107001,107.73,100.53,0
2107002,87.88,63.4,0
2107101,99.99,89.18,0
2107201,86.11,68.35,0
2107202,85.61,67.71,0
2107203,86.4,69.05,0
2107301,138.0,96.03,0
2107401,50.46,42.06,0
2107501,121.95,109.86,0
2107601,122.36,94.92,0
2107602,130.39,124.98,0
2107701,65.58,67.79,0
2107702,61.26,51.26,0
2107801,99.71,108.95,0
2107802,88.77,103.16,0
2190201,110.57,97.72,0
2107901,70.77,56.22,0
4100101,106.84,81.51,0
4100102,109.19,91.28,0
4100201,104.67,111.81,0
4100301,16.68,33.36,0
4100401,28.43,30.25,0
4100402,26.21,30.87,0
4100403,27.12,29.85,0
4100404,26.77,29.35,0
4100501,15.78,18.91,0
4100502,14.88,17.44,0
4100601,51.39,57.3,0
4100602,50.95,57.0,0
4100701,7.38,9.16,0
4100702,8.11,10.71,0
4100801,110.93,105.01,0
4100901,61.19,56.68,0
4101001,23.5,26.54,0
4101101,54.39,46.91,0
4101102,56.0,48.13,0
4101103,56.98,49.85,0
4101104,62.34,78.97,0
4101201,31.34,54.66,0
4101301,32.96,32.67,0
4101302,31.84,30.85,0
4101401,138.8,109.51,0
4101501,27.28,29.08,0
4101502,23.98,23.98,0
4101601,20.05,20.8,0
