seccion_ine,distancia_km,tiempo_mins,fallback
1400101,200.94,148.69,0
1400201,169.48,132.57,0
1400202,170.04,139.04,0
1400203,167.46,130.24,0
1400301,235.52,176.64,0
1400401,226.41,169.81,0
1400402,229.74,172.31,0
1400501,139.96,129.21,0
1400601,245.57,184.18,0
1400701,202.72,152.04,0
1400702,201.78,151.34,0
1400703,202.76,152.07,0
1400704,202.26,151.69,0
1400705,212.66,159.49,0
1400801,267.92,200.94,0
1400802,267.21,200.41,0
1400803,269.81,202.36,0
1400804,267.61,200.71,0
1400901,236.49,174.25,0
1400902,235.82,173.34,0
1400903,233.23,170.6,0
1401001,201.87,151.4,0
1401002,201.34,151.0,0
1401003,205.79,152.05,0
1401101,221.53,166.15,0
1401201,206.5,151.65,0
1401202,208.0,152.76,0
1401203,205.07,153.8,0
1401204,206.54,151.54,0
1401301,194.72,148.49,0
1401302,194.07,148.3,0
1401303,194.8,148.51,0
1401304,195.35,148.67,0
1401401,218.08,163.56,0
1401402,216.69,162.52,0
1401501,204.72,153.54,0
1401601,246.15,175.83,0
1401701,137.02,100.61,0
1401702,134.65,101.09,0
1401703,140.77,102.88,0
1401801,194.26,140.14,0
1401802,193.96,139.13,0
1401901,183.9,145.23,0
1401902,184.42,145.39,0
1401903,184.69,145.48,0
1401904,184.13,145.3,0
1401905,186.09,145.91,0
1402001,268.31,201.23,0
1402101,169.65,126.21,0
1402102,169.0,124.74,0
1402103,169.41,126.77,0
1402104,168.95,125.47,0
1402105,168.3,123.06,0
1402106,169.16,125.78,0
1402107,170.01,127.05,0
1402108,170.67,129.42,0
1402109,167.85,124.75,0
1402110,168.28,123.7,0
1402201,205.07,153.8,0
1402202,206.73,155.05,0
1402301,253.25,189.94,0
1402302,249.48,187.11,0
1402401,200.01,150.01,0
1402402,199.75,149.93,0
1402501,179.62,143.88,0
1402502,177.56,142.0,0
1402503,173.72,137.34,0
1402601,215.21,158.34,0
1402602,229.55,172.16,0
1402603,216.18,158.79,0
1490101,168.28,129.43,0
1402701,166.2,120.64,0
1402702,165.51,128.71,0
1402703,136.18,111.67,0
1402801,246.68,185.01,0
1402901,207.86,155.9,0
1402902,207.73,155.8,0
1402903,200.14,150.1,0
1402904,214.05,160.54,0
1403001,141.32,119.39,0
1403002,133.18,115.8,0
1403101,227.06,170.29,0
1403201,221.58,166.19,0
1403301,153.01,123.53,0
1490201,146.53,119.9,0
1403401,264.14,198.1,0
1403501,238.84,179.13,0
1403502,259.24,194.43,0
1403503,258.78,194.08,0
1403504,261.44,196.08,0
1403601,123.34,121.65,0
1403602,123.91,121.92,0
1403701,230.67,171.39,0
1403702,224.68,167.76,0
1403703,220.34,165.25,0
1403801,185.78,143.61,0
1403802,184.71,141.66,0
1403803,185.93,142.74,0
1403804,192.48,147.83,0
1403805,175.5,132.79,0
1403901,216.58,162.44,0
1404001,149.77,120.6,0
1404002,150.54,117.96,0
1404101,169.4,124.09,0
1404102,165.27,130.95,0
1404201,163.79,129.03,0
1404202,164.12,129.5,0
1404203,163.55,128.82,0
1404204,164.45,130.08,0
1404205,173.14,141.18,0
1404301,209.69,151.56,0
1404302,232.78,174.58,0
1404303,209.58,151.39,0
1404304,238.7,179.02,0
1404401,177.86,137.27,0
1404501,174.99,140.61,0
1404601,187.32,146.29,0
1404602,184.89,145.54,0
1404701,199.22,149.78,0
1404801,210.47,157.85,0
1404901,114.39,109.36,0
1404902,113.97,109.06,0
1404903,113.78,108.65,0
1405001,201.39,148.19,0
1405002,200.21,145.65,0
1405101,257.79,193.34,0
1405102,254.41,190.81,0
1405201,218.85,164.14,0
1405202,222.17,166.63,0
1405203,217.14,162.85,0
1405204,219.17,164.38,0
1405301,160.09,125.11,0
1405302,135.01,127.06,0
1405401,244.38,183.28,0
1405402,243.19,182.39,0
1405403,244.24,183.18,0
1405404,255.35,191.51,0
1405501,216.63,162.47,0
1405502,216.23,162.17,0
1405503,219.35,164.51,0
1405504,223.3,167.48,0
1405601,153.35,118.01,0
1405602,157.76,123.5,0
1405603,157.22,121.44,0
1405604,159.36,122.32,0
1405605,164.68,132.22,0
1405701,150.63,121.84,0
1405801,202.39,151.79,0
1405802,202.15,151.61,0
1405803,201.59,151.19,0
1405804,202.53,151.9,0
1405805,201.8,151.35,0
1405901,152.01,115.09,0
1406101,265.14,193.47,0
1406001,146.28,126.22,0
1406002,142.88,108.65,0
1406201,265.05,198.79,0
1406202,267.31,200.48,0
1406301,226.76,170.07,0
1406401,230.5,172.88,0
1406501,148.23,112.04,0
1406601,217.15,156.83,0
1406602,218.65,156.35,0
1406701,191.55,138.3,0
1406702,188.31,140.45,0
1406801,203.64,150.63,0
1406901,241.15,180.86,0
1406902,254.93,191.2,0
1406903,238.03,182.28,0
1406904,264.87,198.65,0
1407001,238.17,178.63,0
1407002,243.72,182.79,0
1407101,235.75,176.81,0
1407201,248.15,185.34,0
1407301,210.48,157.86,0
1407302,222.18,166.63,0
1407401,257.48,193.11,0
1407402,249.16,182.67,0
1407501,208.69,156.52,0
2100101,130.2,120.3,0
2100201,87.4,65.21,0
2100202,85.67,64.94,0
2100301,131.01,125.26,0
2100401,143.77,130.81,0
2100402,121.44,120.72,0
2100501,29.66,40.35,0
2100502,41.07,66.03,0
2100503,23.94,26.91,0
2100601,113.85,87.84,0
2100602,120.51,93.46,0
2100701,109.1,89.15,0
2100702,117.87,107.34,0
2100703,109.63,89.26,0
2100801,149.83,133.27,0
2100802,161.09,137.54,0
2100803,160.85,137.45,0
2100901,117.68,98.33,0
2101001,127.15,87.63,0
2101002,127.55,88.81,0
2101003,130.46,96.94,0
2101101,66.56,62.48,0
2101201,75.19,94.86,0
2101301,43.16,35.43,0
2101302,42.44,34.11,0
2101303,48.72,36.84,0
2101304,42.14,33.98,0
2101305,42.5,34.62,0
2101401,53.71,40.92,0
2101501,116.43,101.09,0
2101601,108.16,84.77,0
2101701,92.29,79.66,0
2101702,90.66,81.16,0
2101801,96.16,93.24,0
2101802,98.55,99.3,0
2101901,110.58,92.68,0
2102001,125.74,106.58,0
2102101,101.06,73.31,0
2102102,101.36,72.99,0
2102201,123.29,115.88,0
2102301,105.57,90.99,0
2103001,26.62,24.7,0
2102401,111.4,97.47,0
2102501,137.04,111.74,0
2102502,142.87,130.44,0
2102601,124.45,106.94,0
2102701,149.04,119.87,0
2102801,145.78,123.17,0
2102901,158.24,136.49,0
2102902,154.57,135.11,0
2103101,161.22,137.59,0
2103201,45.86,65.39,0
2103301,119.31,95.39,0
2103401,124.42,108.22,0
2103501,88.56,78.35,0
2103502,82.51,59.07,0
2103601,103.26,83.96,0
2103701,130.21,109.21,0
2103801,96.23,77.62,0
2103901,137.01,127.94,0
2104001,18.4,36.06,0
2104002,31.61,55.0,0
2104101,84.05,59.91,0
2104102,81.85,59.93,0
2104103,83.92,60.36,0
2104104,78.8,57.02,0
2104105,78.44,56.32,0
2104106,78.45,56.28,0
2104107,78.39,56.25,0
2104108,80.11,58.01,0
2104201,118.06,85.21,0
2104202,122.19,85.43,0
2104203,122.15,85.39,0
2104204,116.94,83.96,0
2104301,128.81,105.03,0
2104401,107.31,78.49,0
2104402,115.37,78.99,0
2104403,107.57,79.59,0
2104501,115.22,117.56,0
