seccion_ine,distancia_km,tiempo_mins,fallback
1400101,191.46,138.03,0
1400201,139.21,117.81,0
1400202,143.74,126.34,0
1400203,131.09,108.29,0
1400301,226.04,169.53,0
1400401,190.03,147.11,0
1400402,193.37,148.1,0
1400501,130.47,125.02,0
1400601,236.08,176.95,0
1400701,180.08,144.03,0
1400702,192.3,147.78,0
1400703,181.65,144.53,0
1400704,192.77,147.92,0
1400705,192.36,147.8,0
1400801,258.43,193.82,0
1400802,257.73,193.3,0
1400803,260.33,195.25,0
1400804,258.12,193.59,0
1400901,227.01,163.58,0
1400902,226.34,162.67,0
1400903,223.74,159.94,0
1401001,165.49,130.38,0
1401002,164.97,129.38,0
1401003,169.41,130.1,0
1401101,227.19,170.39,0
1401201,197.01,140.99,0
1401202,198.51,142.1,0
1401203,195.58,146.88,0
1401204,197.05,140.88,0
1401301,158.35,127.05,0
1401302,157.69,127.08,0
1401303,158.43,126.76,0
1401304,158.97,133.23,0
1401401,208.59,153.76,0
1401402,207.2,153.86,0
1401501,168.35,135.05,0
1401601,236.67,165.16,0
1401701,127.54,89.94,0
1401702,125.16,90.42,0
1401703,131.28,92.22,0
1401801,184.78,129.48,0
1401802,184.48,128.46,0
1401901,174.41,135.75,0
1401902,174.93,136.82,0
1401903,175.2,136.64,0
1401904,174.65,136.44,0
1401905,176.6,137.52,0
1402001,258.83,194.12,0
1402101,160.17,115.55,0
1402102,159.51,114.08,0
1402103,159.93,116.11,0
1402104,159.46,114.81,0
1402105,158.81,112.4,0
1402106,159.67,115.12,0
1402107,160.52,116.39,0
1402108,161.18,118.76,0
1402109,158.36,114.09,0
1402110,158.8,113.04,0
1402201,168.7,136.03,0
1402202,170.36,136.4,0
1402301,243.76,182.82,0
1402302,239.99,179.9,0
1402401,163.63,136.97,0
1402402,163.38,138.37,0
1402501,170.13,140.73,0
1402502,168.07,131.34,0
1402503,164.23,126.68,0
1402601,205.73,147.68,0
1402602,220.07,165.05,0
1402603,206.7,148.13,0
1490101,158.79,118.76,0
1402701,156.72,109.98,0
1402702,156.02,118.05,0
1402703,126.69,101.01,0
1402801,237.19,174.56,0
1402901,213.52,160.14,0
1402902,213.39,160.04,0
1402903,205.8,154.35,0
1402904,219.71,164.78,0
1403001,131.84,108.73,0
1403002,123.69,105.14,0
1403101,190.69,147.3,0
1403201,227.23,170.42,0
1403301,143.52,112.86,0
1490201,137.05,109.24,0
1403401,254.65,190.99,0
1403501,246.3,184.73,0
1403502,249.76,187.32,0
1403503,249.3,186.88,0
1403504,251.96,188.97,0
1403601,113.85,112.35,0
1403602,114.43,113.5,0
1403701,194.3,148.37,0
1403702,188.31,145.8,0
1403703,183.96,145.25,0
1403801,149.41,121.65,0
1403802,148.34,119.7,0
1403803,149.55,120.78,0
1403804,156.1,135.69,0
1403805,139.13,110.84,0
1403901,184.13,145.3,0
1404001,140.28,109.94,0
1404002,141.05,107.3,0
1404101,159.92,113.43,0
1404102,155.78,120.28,0
1404201,154.3,118.36,0
1404202,154.64,118.83,0
1404203,154.07,118.16,0
1404204,154.96,119.41,0
1404205,163.65,130.52,0
1404301,200.21,140.9,0
1404302,223.29,164.5,0
1404303,200.1,140.72,0
1404304,229.21,171.91,0
1404401,145.51,119.61,0
1404501,138.62,118.66,0
1404601,177.84,143.3,0
1404602,173.48,141.87,0
1404701,189.73,147.02,0
1404801,174.1,141.24,0
1404901,104.91,98.7,0
1404902,104.49,98.39,0
1404903,104.29,97.98,0
1405001,191.91,137.52,0
1405002,190.72,134.99,0
1405101,248.3,186.23,0
1405102,244.92,183.69,0
1405201,237.78,171.96,0
1405202,231.83,166.69,0
1405203,235.27,171.68,0
1405204,234.04,168.19,0
1405301,150.6,114.44,0
1405302,125.52,122.33,0
1405401,234.89,175.8,0
1405402,233.7,174.17,0
1405403,234.76,176.0,0
1405404,245.86,184.4,0
1405501,180.25,144.08,0
1405502,179.85,143.95,0
1405503,182.97,144.94,0
1405504,186.93,146.17,0
1405601,116.98,96.05,0
1405602,121.38,101.54,0
1405603,120.85,99.48,0
1405604,122.99,100.36,0
1405605,128.31,110.26,0
1405701,141.15,111.18,0
1405801,166.02,139.31,0
1405802,165.77,139.22,0
1405803,165.21,139.02,0
1405804,166.15,139.35,0
1405805,165.43,139.1,0
1405901,142.53,104.43,0
1406101,255.65,182.8,0
1406001,136.79,115.56,0
1406002,133.4,97.99,0
1406201,255.56,191.67,0
1406202,257.82,193.37,0
1406301,206.46,154.84,0
1406401,236.15,177.11,0
1406501,138.75,101.37,0
1406601,207.66,146.16,0
1406602,209.16,145.69,0
1406701,182.06,127.64,0
1406702,178.83,129.78,0
1406801,194.16,139.96,0
1406901,231.66,173.75,0
1406902,245.44,184.08,0
1406903,228.55,174.5,0
1406904,255.38,191.53,0
1407001,228.68,171.51,0
1407002,234.23,175.67,0
1407101,226.26,169.69,0
1407201,238.67,174.68,0
1407301,200.99,150.74,0
1407302,212.69,159.52,0
1407401,247.99,185.99,0
1407402,239.67,172.0,0
1407501,172.32,141.1,0
2100101,135.85,126.06,0
2100201,127.13,95.49,0
2100202,125.4,95.22,0
2100301,170.74,140.94,0
2100401,149.42,133.1,0
2100402,144.94,131.3,0
2100501,97.45,82.23,0
2100502,99.45,103.31,0
2100503,81.83,70.93,0
2100601,153.58,118.12,0
2100602,160.24,123.74,0
2100701,114.75,94.91,0
2100702,123.52,113.1,0
2100703,115.29,95.02,0
2100801,155.49,135.46,0
2100802,166.75,139.56,0
2100803,166.51,139.48,0
2100901,123.34,104.1,0
2101001,166.88,117.91,0
2101002,167.28,119.09,0
2101003,170.19,127.22,0
2101101,106.29,92.76,0
2101201,114.92,117.41,0
2101301,82.89,65.7,0
2101302,82.17,64.39,0
2101303,88.45,67.11,0
2101304,81.87,64.26,0
2101305,82.23,64.9,0
2101401,93.44,71.2,0
2101501,156.16,131.37,0
2101601,113.81,90.53,0
2101701,132.02,109.94,0
2101702,130.4,111.44,0
2101801,117.39,115.0,0
2101802,114.05,113.61,0
2101901,116.23,98.45,0
2102001,131.39,112.34,0
2102101,140.79,103.58,0
2102102,141.09,103.27,0
2102201,128.94,121.64,0
2102301,145.3,121.27,0
2103001,66.35,54.98,0
2102401,117.05,103.24,0
2102501,142.7,117.51,0
2102502,148.53,132.75,0
2102601,130.1,112.71,0
2102701,154.69,125.64,0
2102801,151.44,128.94,0
2102901,163.9,138.56,0
2102902,160.23,137.23,0
2103101,166.88,139.61,0
2103201,85.59,95.66,0
2103301,124.96,101.16,0
2103401,130.08,113.98,0
2103501,128.29,108.62,0
2103502,122.24,89.34,0
2103601,108.92,89.72,0
2103701,169.94,139.49,0
2103801,101.88,83.38,0
2103901,142.67,130.36,0
2104001,76.13,77.7,0
2104002,87.39,102.38,0
2104101,123.78,90.19,0
2104102,121.58,90.21,0
2104103,123.65,90.64,0
2104104,118.53,87.3,0
2104105,118.17,86.6,0
2104106,118.18,86.56,0
2104107,118.12,86.53,0
2104108,119.84,88.29,0
2104201,157.79,115.49,0
2104202,161.92,115.71,0
2104203,161.88,115.66,0
2104204,156.67,114.24,0
2104301,134.46,110.79,0
2104401,147.05,108.76,0
2104402,155.1,109.27,0
2104403,147.3,109.87,0
2104501,120.87,120.43,0
2104601,108.14,88.14,0
2104701,70.57,61.55,0
2104702,79.35,78.45,0
2104801,121.17,98.77,0
2104901,110.84,98.4,0
2104902,114.97,110.51,0
2105001,111.29,82.47,0
2105002,113.62,84.65,0
2105003,127.36,110.11,0
2105101,139.01,112.22,0
2105201,106.5,95.55,0
2105202,110.75,109.54,0
2105203,107.31,102.88,0
2105301,95.62,74.49,0
2105302,94.74,75.11,0
2105303,104.65,89.58,0
2105401,88.17,71.45,0
2105501,121.49,96.28,0
2105601,85.9,89.35,0
2105602,75.09,64.85,0
2105701,177.29,143.12,0
2105801,176.93,143.01,0
2105802,169.42,133.22,0
2105901,111.46,94.71,0
2106001,140.27,109.59,0
2106101,98.86,77.18,0
2106102,95.82,88.48,0
