seccion_ine,distancia_km,tiempo_mins,fallback
1400101,285.23,200.22,0
1400201,228.74,171.56,0
1400202,233.27,174.95,0
1400203,220.62,165.47,0
1400301,319.8,239.85,0
1400401,279.57,209.68,0
1400402,282.9,212.17,0
1400501,224.24,168.18,0
1400601,329.85,239.14,0
1400701,269.62,202.22,0
1400702,270.18,202.63,0
1400703,271.19,203.39,0
1400704,270.24,202.68,0
1400705,281.89,211.42,0
1400801,352.2,259.89,0
1400802,351.49,257.76,0
1400803,354.09,265.57,0
1400804,351.89,259.08,0
1400901,320.78,225.78,0
1400902,320.1,224.87,0
1400903,317.51,222.13,0
1401001,224.12,168.09,0
1401002,223.59,167.69,0
1401003,220.29,165.22,0
1401101,320.81,240.61,0
1401201,290.78,203.18,0
1401202,292.28,204.3,0
1401203,289.35,209.07,0
1401204,290.82,203.07,0
1401301,247.88,185.91,0
1401302,247.23,185.42,0
1401303,247.96,185.97,0
1401304,248.51,186.38,0
1401401,302.36,215.95,0
1401402,300.97,216.06,0
1401501,257.88,193.41,0
1401601,330.44,227.36,0
1401701,221.31,152.14,0
1401702,218.93,152.62,0
1401703,225.05,154.41,0
1401801,278.54,191.67,0
1401802,278.24,190.66,0
1401901,268.18,197.94,0
1401902,268.7,199.01,0
1401903,268.97,198.84,0
1401904,268.41,198.63,0
1401905,270.37,199.71,0
1402001,352.59,260.11,0
1402101,253.93,177.74,0
1402102,253.28,176.27,0
1402103,253.7,178.3,0
1402104,253.23,177.0,0
1402105,252.58,174.59,0
1402106,253.44,177.31,0
1402107,254.29,178.58,0
1402108,254.95,180.95,0
1402109,252.13,176.28,0
1402110,252.56,175.23,0
1402201,258.23,193.67,0
1402202,259.89,194.92,0
1402301,337.53,253.15,0
1402302,333.76,242.09,0
1402401,253.17,189.88,0
1402402,252.91,189.68,0
1402501,263.9,197.92,0
1402502,261.84,193.53,0
1402503,258.0,188.88,0
1402601,299.49,209.87,0
1402602,313.83,235.37,0
1402603,300.47,210.32,0
1490101,252.56,180.96,0
1402701,250.48,172.18,0
1402702,249.79,180.24,0
1402703,220.46,163.2,0
1402801,330.96,236.75,0
1402901,307.14,230.35,0
1402902,307.01,230.26,0
1402903,299.42,224.56,0
1402904,313.33,235.0,0
1403001,225.6,169.2,0
1403002,217.46,163.1,0
1403101,280.22,210.17,0
1403201,320.86,240.64,0
1403301,237.29,175.06,0
1490201,230.82,171.43,0
1403401,348.42,261.31,0
1403501,340.07,255.05,0
1403502,343.52,250.34,0
1403503,343.06,249.07,0
1403504,345.72,259.29,0
1403601,207.62,155.72,0
1403602,208.19,156.14,0
1403701,245.18,183.88,0
1403702,239.19,179.39,0
1403703,249.77,187.33,0
1403801,238.94,179.2,0
1403802,237.87,178.4,0
1403803,239.09,179.32,0
1403804,245.64,184.23,0
1403805,228.66,171.5,0
1403901,273.67,205.25,0
1404001,234.05,172.13,0
1404002,234.82,169.5,0
1404101,253.68,175.62,0
1404102,249.55,182.48,0
1404201,248.07,180.55,0
1404202,248.4,181.03,0
1404203,247.83,180.35,0
1404204,248.73,181.61,0
1404205,257.42,192.71,0
1404301,293.97,203.09,0
1404302,317.06,226.69,0
1404303,293.86,202.92,0
1404304,322.98,242.24,0
1404401,235.04,176.28,0
1404501,228.15,171.11,0
1404601,266.39,199.79,0
1404602,263.01,197.26,0
1404701,283.5,212.62,0
1404801,224.98,168.73,0
1404901,198.67,149.62,0
1404902,198.25,149.51,0
1404903,198.06,149.45,0
1405001,285.67,199.72,0
1405002,284.49,197.18,0
1405101,342.07,256.55,0
1405102,338.69,253.85,0
1405201,331.55,234.16,0
1405202,325.6,228.88,0
1405203,329.04,233.87,0
1405204,327.81,230.38,0
1405301,244.37,176.64,0
1405302,219.29,164.47,0
1405401,328.66,238.0,0
1405402,327.47,236.36,0
1405403,328.52,238.2,0
1405404,339.63,252.87,0
1405501,269.79,202.34,0
1405502,269.39,202.04,0
1405503,272.51,204.38,0
1405504,276.46,207.34,0
1405601,206.51,154.88,0
1405602,210.92,158.19,0
1405603,210.38,157.78,0
1405604,212.52,159.39,0
1405605,217.84,163.38,0
1405701,234.91,173.38,0
1405801,255.55,191.66,0
1405802,255.31,191.48,0
1405803,254.75,191.06,0
1405804,255.69,191.77,0
1405805,254.96,191.22,0
1405901,236.29,166.62,0
1406101,349.42,245.0,0
1406001,230.56,172.92,0
1406002,227.16,160.18,0
1406201,349.33,261.91,0
1406202,351.59,263.69,0
1406301,295.99,221.99,0
1406401,329.78,247.33,0
1406501,232.51,163.57,0
1406601,301.43,208.36,0
1406602,302.93,207.89,0
1406701,275.83,189.83,0
1406702,272.59,191.97,0
1406801,287.92,202.16,0
1406901,325.43,244.07,0
1406902,339.21,254.41,0
1406903,322.31,241.73,0
1406904,349.15,257.63,0
1407001,322.45,241.84,0
1407002,328.0,242.67,0
1407101,320.03,240.02,0
1407201,332.43,236.87,0
1407301,294.76,216.21,0
1407302,306.46,229.84,0
1407401,341.76,256.32,0
1407402,333.44,234.2,0
1407501,261.85,196.39,0
2100101,229.48,172.11,0
2100201,220.75,158.28,0
2100202,219.02,158.01,0
2100301,264.36,198.27,0
2100401,243.04,182.28,0
2100402,238.56,178.92,0
2100501,191.07,145.03,0
2100502,193.07,148.01,0
2100503,175.45,133.72,0
2100601,247.2,180.91,0
2100602,253.86,186.53,0
2100701,208.38,156.28,0
2100702,217.15,162.86,0
2100703,208.91,156.68,0
2100801,249.11,186.83,0
2100802,260.37,195.28,0
2100803,260.13,195.1,0
2100901,216.96,162.72,0
2101001,260.51,180.7,0
2101002,260.91,181.88,0
2101003,263.81,190.01,0
2101101,199.92,149.98,0
2101201,208.54,156.41,0
2101301,176.51,128.5,0
2101302,175.8,127.18,0
2101303,182.08,129.91,0
2101304,175.49,127.05,0
2101305,175.85,127.69,0
2101401,187.07,133.99,0
2101501,249.78,187.34,0
2101601,207.43,153.32,0
2101701,225.64,169.23,0
2101702,224.02,168.02,0
2101801,211.01,158.26,0
2101802,207.67,155.75,0
2101901,209.86,157.4,0
2102001,225.01,168.76,0
