seccion_ine,distancia_km,tiempo_mins,fallback
1400101,277.73,200.07,0
1400201,246.27,183.95,0
1400202,246.83,185.12,0
1400203,244.25,181.62,0
1400301,312.31,234.23,0
1400401,303.19,227.39,0
1400402,306.53,229.9,0
1400501,216.75,162.56,0
1400601,322.36,238.99,0
1400701,279.51,209.63,0
1400702,278.57,208.93,0
1400703,279.55,209.66,0
1400704,279.04,209.28,0
1400705,289.45,217.09,0
1400801,344.71,258.53,0
1400802,344.0,257.6,0
1400803,346.6,259.95,0
1400804,344.39,258.29,0
1400901,313.28,225.62,0
1400902,312.61,224.71,0
1400903,310.01,221.98,0
1401001,278.65,203.71,0
1401002,278.13,202.71,0
1401003,282.57,203.43,0
1401101,298.32,223.74,0
1401201,283.29,203.03,0
1401202,284.78,204.14,0
1401203,281.86,208.92,0
1401204,283.32,202.92,0
1401301,271.5,200.39,0
1401302,270.85,200.41,0
1401303,271.59,200.09,0
1401304,272.13,204.1,0
1401401,294.86,215.8,0
1401402,293.47,215.9,0
1401501,281.51,208.39,0
1401601,325.2,235.18,0
1401701,213.81,151.98,0
1401702,211.44,152.46,0
1401703,217.55,154.26,0
1401801,271.05,191.52,0
1401802,270.75,190.5,0
1401901,260.68,195.51,0
1401902,261.21,195.91,0
1401903,261.47,196.1,0
1401904,260.92,195.69,0
1401905,262.87,197.15,0
1402001,345.1,258.83,0
1402101,246.44,177.59,0
1402102,245.79,176.12,0
1402103,246.2,178.15,0
1402104,245.73,176.85,0
1402105,245.08,174.44,0
1402106,245.94,177.16,0
1402107,246.79,178.43,0
1402108,247.45,180.8,0
1402109,244.63,176.13,0
1402110,245.07,175.08,0
1402201,281.86,209.36,0
1402202,283.52,209.73,0
1402301,330.04,247.53,0
1402302,326.26,241.94,0
1402401,276.79,207.59,0
1402402,276.54,207.41,0
1402501,256.41,192.31,0
1402502,254.34,190.75,0
1402503,250.5,187.88,0
1402601,292.0,209.72,0
1402602,306.34,229.75,0
1402603,292.97,210.17,0
1490101,245.07,180.8,0
1402701,242.99,172.02,0
1402702,242.3,180.09,0
1402703,212.97,159.73,0
1402801,323.46,236.6,0
1402901,284.65,213.49,0
1402902,284.52,213.39,0
1402903,276.93,207.7,0
1402904,290.84,218.13,0
1403001,218.11,163.58,0
1403002,209.97,157.48,0
1403101,303.85,227.89,0
1403201,298.36,223.77,0
1403301,229.79,172.34,0
1490201,223.32,167.49,0
1403401,340.92,255.69,0
1403501,315.63,236.72,0
1403502,336.03,250.18,0
1403503,335.57,248.92,0
1403504,338.23,253.67,0
1403601,200.12,150.09,0
1403602,200.7,150.53,0
1403701,307.46,222.76,0
1403702,301.47,219.14,0
1403703,297.12,222.84,0
1403801,262.57,194.99,0
1403802,261.5,193.03,0
1403803,262.71,194.11,0
1403804,269.26,201.94,0
1403805,252.29,184.17,0
1403901,293.37,220.03,0
1404001,226.55,169.91,0
1404002,227.32,169.34,0
1404101,246.19,175.47,0
1404102,242.05,181.54,0
1404201,240.57,180.4,0
1404202,240.91,180.68,0
1404203,240.34,180.2,0
1404204,241.23,180.92,0
1404205,249.93,187.45,0
1404301,286.48,202.94,0
1404302,309.56,226.53,0
1404303,286.37,202.76,0
1404304,315.49,236.62,0
1404401,254.65,188.65,0
1404501,251.78,188.84,0
1404601,264.11,198.08,0
1404602,261.68,196.26,0
1404701,276.01,207.01,0
1404801,287.26,214.57,0
1404901,191.18,147.45,0
1404902,190.76,147.32,0
1404903,190.57,147.27,0
1405001,278.18,199.56,0
1405002,276.99,197.03,0
1405101,334.57,250.93,0
1405102,331.19,248.39,0
1405201,295.63,221.72,0
1405202,298.95,224.21,0
1405203,293.92,220.44,0
1405204,295.95,221.96,0
1405301,236.87,176.48,0
1405302,211.79,158.84,0
1405401,321.16,237.84,0
1405402,319.98,236.21,0
1405403,321.03,238.04,0
1405404,332.13,249.1,0
1405501,293.41,220.06,0
1405502,293.01,219.76,0
1405503,296.13,222.1,0
1405504,300.08,225.06,0
1405601,230.14,169.39,0
1405602,234.54,174.88,0
1405603,234.01,172.82,0
1405604,236.15,173.69,0
1405605,241.47,181.1,0
1405701,227.42,170.56,0
1405801,279.18,209.38,0
1405802,278.93,209.2,0
1405803,278.37,208.78,0
1405804,279.31,209.48,0
1405805,278.58,208.93,0
1405901,228.8,166.47,0
1406101,341.92,244.84,0
1406001,223.07,167.3,0
1406002,219.67,160.03,0
1406201,342.98,257.24,0
1406202,344.1,258.08,0
1406301,303.55,227.66,0
1406401,307.28,230.46,0
1406501,225.02,163.41,0
1406601,293.94,208.2,0
1406602,295.44,207.73,0
1406701,268.33,189.68,0
1406702,265.1,191.82,0
1406801,280.43,202.0,0
1406901,317.93,238.45,0
1406902,331.71,248.78,0
1406903,314.82,236.12,0
1406904,341.65,256.24,0
1407001,314.96,236.22,0
1407002,320.51,240.38,0
1407101,312.53,234.4,0
1407201,324.94,236.72,0
1407301,287.26,215.44,0
1407302,298.96,224.22,0
1407401,334.26,250.7,0
1407402,325.94,234.04,0
1407501,285.48,214.11,0
2100101,120.69,120.34,0
2100201,23.58,27.66,0
2100202,21.85,27.39,0
2100301,79.66,97.75,0
2100401,126.19,123.02,0
2100402,107.5,113.4,0
2100501,68.28,60.52,0
2100502,57.4,75.44,0
2100503,71.01,56.32,0
2100601,62.5,59.36,0
2100602,69.15,64.97,0
2100701,113.22,106.72,0
2100702,123.0,121.48,0
2100703,113.94,108.34,0
2100801,134.68,126.92,0
2100802,145.94,131.7,0
2100803,142.89,130.45,0
2100901,194.47,148.42,0
2101001,68.32,60.41,0
2101002,68.72,61.59,0
2101003,71.63,69.73,0
2101101,43.11,44.82,0
2101201,89.75,103.71,0
2101301,55.98,46.29,0
2101302,55.26,44.97,0
2101303,52.11,41.24,0
2101304,56.03,46.4,0
2101305,56.15,46.74,0
2101401,42.95,37.39,0
2101501,88.3,81.64,0
2101601,184.94,136.14,0
2101701,70.28,65.61,0
2101702,68.65,67.11,0
2101801,82.21,83.21,0
2101802,84.6,89.28,0
2101901,95.43,89.89,0
2102001,137.04,127.96,0
2102101,40.57,43.4,0
2102102,40.87,43.08,0
2102201,120.73,120.36,0
2102301,83.56,76.94,0
2103001,68.67,54.46,0
2102401,126.02,122.94,0
2102501,121.89,111.61,0
2102502,125.3,122.59,0
2102601,129.58,124.61,0
2102701,141.59,123.25,0
2102801,138.34,126.55,0
2102901,150.8,133.65,0
2102902,147.13,132.19,0
2103101,153.77,134.8,0
2103201,87.91,95.14,0
2103301,125.58,111.19,0
2103401,122.76,117.95,0
2103501,37.21,49.86,0
2103502,31.16,30.58,0
2103601,100.15,92.38,0
2103701,78.86,80.72,0
2103801,110.88,104.34,0
2103901,155.83,135.59,0
2104001,77.93,76.53,0
2104002,63.84,86.75,0
2104101,15.75,18.81,0
2104102,16.76,20.51,0
2104103,15.63,19.26,0
2104104,16.01,20.43,0
2104105,17.47,21.15,0
2104106,16.92,20.15,0
2104107,16.72,21.52,0
2104108,21.69,24.02,0
2104201,59.23,57.99,0
2104202,63.36,58.22,0
2104203,63.32,58.17,0
2104204,58.11,56.75,0
2104301,116.82,104.6,0
2104401,46.82,48.58,0
2104402,56.54,51.77,0
2104403,47.08,49.68,0
2104501,113.75,116.79,0
2104601,28.86,41.35,0
2104701,72.9,61.03,0
2104702,67.88,71.01,0
2104801,120.65,112.24,0
2104901,84.91,77.04,0
2104902,88.59,88.69,0
2105001,20.66,27.95,0
2105002,18.88,25.31,0
2105003,18.69,30.62,0
2105101,125.91,109.84,0
2105201,89.45,83.27,0
2105202,94.27,98.32,0
2105203,92.03,92.77,0
2105301,45.64,41.27,0
2105302,44.75,41.89,0
2105303,54.66,56.36,0
2105401,63.0,55.04,0
2105501,12.5,20.0,0
2105601,88.23,88.83,0
2105602,77.42,64.33,0
2105701,98.69,104.77,0
2105801,85.85,101.49,0
2105802,78.34,74.45,0
2105901,120.26,115.19,0
2106001,36.72,41.76,0
2106101,48.37,43.37,0
2106102,53.42,54.88,0
2106201,112.77,105.3,0
2106301,48.62,46.27,0
2106401,24.74,45.78,0
2106402,35.85,50.21,0
2106601,76.69,84.71,0
2106501,84.98,90.6,0
2106701,105.96,104.39,0
2106801,97.82,93.65,0
2106901,165.43,117.39,0
2107001,54.65,71.84,0
2107002,34.8,34.7,0
2107101,128.37,123.03,0
2107201,57.59,51.51,0
2107202,57.09,50.87,0
2107203,57.81,52.37,0
2107301,66.14,61.93,0
2107401,65.32,57.82,0
2107501,81.5,83.12,0
2107601,57.98,59.57,0
2107602,73.09,93.45,0
2107701,57.45,67.83,0
2107702,52.15,50.3,0
2107801,73.92,94.01,0
2107802,97.22,107.69,0
2190201,75.53,76.79,0
2107901,116.23,106.34,0
4100101,204.88,151.13,0
4100102,207.23,155.42,0
4100201,209.95,160.92,0
4100301,97.01,85.04,0
4100401,126.47,99.88,0
4100402,124.25,100.5,0
4100403,125.16,99.48,0
4100404,124.81,98.98,0
4100501,121.54,94.03,0
4100502,120.64,92.56,0
4100601,157.59,130.79,0
4100602,151.31,131.44,0
4100701,113.14,84.28,0
4100702,113.87,85.83,0
4100801,208.97,156.73,0
4100901,166.94,131.79,0
4101001,97.83,77.44,0
4101101,152.43,116.54,0
4101102,154.03,117.76,0
4101103,155.02,119.48,0
4101104,160.38,137.28,0
4101201,94.57,105.28,0
4101301,100.6,83.22,0
4101302,100.07,82.46,0
4101401,236.84,177.63,0
4101501,90.51,72.99,0
4101502,87.21,67.89,0
4101601,93.76,71.21,0
4101602,92.46,68.27,0
4101701,97.57,71.96,0
4101801,127.56,99.98,0
4101901,133.29,117.63,0
4102001,155.1,114.96,0
4102002,156.69,116.98,0
4102101,103.82,78.46,0
4102102,102.76,76.08,0
4102103,101.95,74.31,0
4102104,101.07,74.18,0
4102201,174.31,131.04,0
4102202,173.8,130.52,0
4102301,140.19,115.17,0
4102302,139.95,114.61,0
4190101,189.4,146.92,0
4102401,140.64,106.76,0
4102402,140.92,109.02,0
4102403,140.58,107.76,0
4102404,139.79,105.36,0
4102405,139.46,104.65,0
4102406,157.5,126.94,0
4102501,75.36,59.78,0
4102502,74.39,55.96,0
4102601,231.72,171.77,0
4102602,230.59,170.45,0
4102701,143.45,119.05,0
4102702,143.41,119.7,0
4102801,102.6,81.83,0
4102901,101.18,74.15,0
4103001,76.29,62.31,0
4103101,112.73,108.01,0
4103201,185.13,145.61,0
4103202,186.4,146.01,0
4103301,191.44,147.53,0
4103302,192.41,147.81,0
4103303,194.54,148.44,0
4103304,193.99,148.28,0
4103401,103.88,81.42,0
4103402,104.87,83.47,0
4103403,103.9,81.5,0
4103501,190.6,147.28,0
4103601,156.21,122.18,0
4103602,155.96,121.7,0
4103701,216.2,162.15,0
4103702,218.89,164.17,0
4190301,170.73,125.56,0
4103801,120.14,93.97,0
4103802,119.73,94.12,0
4103803,123.86,94.76,0
4103804,119.04,92.68,0
4103805,113.26,89.46,0
4103901,193.25,140.2,0
4103902,193.98,141.2,0
4103903,192.15,138.11,0
4103904,192.34,138.53,0
4103905,193.54,140.82,0
4104001,95.97,72.19,0
4104101,216.13,158.82,0
4104102,217.17,160.92,0
4104103,217.67,162.38,0
4104104,217.79,159.28,0
4104201,169.97,126.78,0
4104202,169.89,125.9,0
4104203,172.32,134.64,0
4104301,137.76,99.58,0
4104401,97.99,86.64,0
4104501,123.3,90.04,0
4104502,111.28,113.57,0
4104601,213.16,159.87,0
4104602,214.43,160.82,0
4104701,97.99,71.95,0
4104801,247.05,185.29,0
4104802,247.87,185.9,0
4104803,246.77,185.08,0
4104901,120.97,89.71,0
4105001,228.63,169.84,0
4105002,231.22,173.41,0
4105003,227.05,170.29,0
4105101,77.31,59.46,0
4190201,125.4,112.62,0
4105201,188.57,143.57,0
4105301,167.79,129.63,0
4105302,168.51,131.3,0
4105303,167.06,128.32,0
4105304,167.13,130.52,0
4105401,225.02,165.09,0
4105501,164.17,132.03,0
4105502,164.48,132.33,0
4105503,164.94,132.47,0
4105601,176.82,129.28,0
4105701,108.7,108.92,0
4105801,131.11,105.76,0
4105802,131.28,106.34,0
4105803,131.68,106.91,0
4105901,100.68,77.24,0
4106001,170.39,138.83,0
4106002,168.94,131.13,0
4106003,169.09,131.37,0
4106101,217.32,162.99,0
4106201,218.27,163.7,0
4106301,144.46,111.85,0
4106401,168.81,134.66,0
4106402,169.82,140.63,0
4106403,170.77,140.95,0
4106501,170.12,131.01,0
4106502,170.99,132.47,0
4106503,170.5,131.4,0
4106504,171.32,133.05,0
4106505,175.83,142.65,0
4106601,215.28,161.46,0
4106602,217.18,162.88,0
4106701,99.65,90.92,0
4106702,94.16,72.23,0
4106801,195.4,146.94,0
4106802,197.97,149.43,0
4106803,194.95,145.58,0
4106804,199.77,149.94,0
4106805,194.04,145.04,0
4106901,131.81,100.96,0
4106902,133.99,102.17,0
4106903,132.99,100.7,0
4106904,133.32,101.69,0
4190401,153.58,130.23,0
4107001,108.46,80.15,0
4107101,159.92,123.98,0
4107102,158.86,121.33,0
4107103,160.04,124.68,0
4107201,219.42,164.56,0
4107301,166.71,139.55,0
4107401,183.82,145.21,0
4107501,81.01,64.6,0
4107601,201.37,151.03,0
4107701,177.1,134.31,0
4107702,175.11,131.31,0
4107703,176.11,133.52,0
4107801,191.06,147.41,0
4107802,187.57,146.36,0
4107901,105.28,82.77,0
4108001,175.65,129.38,0
4108002,187.89,146.46,0
4108101,117.89,91.05,0
4108102,116.63,90.6,0
4108201,238.39,173.03,0
4108301,148.83,112.57,0
4108401,215.61,160.29,0
4108402,209.47,157.1,0
4108501,99.33,81.84,0
4108601,103.47,77.57,0
4108602,103.57,77.91,0
4108603,102.96,76.5,0
4108604,103.51,77.34,0
4108801,205.32,153.99,0
4108701,88.91,67.58,0
4108702,89.04,67.02,0
4108901,105.63,96.86,0
4108902,110.87,95.38,0
4109001,213.54,160.16,0
4109101,108.14,83.15,0
4109102,106.46,80.62,0
4109103,108.29,82.82,0
4109104,110.56,85.72,0
4109105,107.33,80.64,0
4109106,104.9,77.87,0
4109107,109.06,83.22,0
4109108,109.29,83.26,0
4109109,116.86,91.88,0
4109110,111.01,86.15,0
4109111,108.53,86.13,0
4109201,142.47,121.91,0
4109202,142.28,118.8,0
4109301,100.49,73.74,0
4109401,93.19,68.71,0
4109402,92.59,68.0,0
4109501,135.88,105.15,0
4109502,136.4,106.24,0
4109503,136.63,106.97,0
4109504,135.62,104.94,0
4109505,137.69,107.38,0
4109601,103.84,82.98,0
4109701,81.9,70.86,0
4109702,86.23,79.66,0
4110001,204.09,153.07,0
4109801,96.68,72.82,0
4109901,152.1,130.61,0
4109902,150.72,126.69,0
4109903,151.58,129.45,0
4110101,132.89,106.07,0
4110201,139.35,111.63,0
4110202,137.57,112.03,0
4110203,136.54,108.18,0
1100101,241.56,173.35,0
1100102,238.58,168.75,0
1100201,227.7,170.78,0
1100301,215.24,161.43,0
1100401,286.85,200.12,0
1100402,287.12,201.59,0
1100403,286.99,200.67,0
1100404,286.39,200.04,0
1100501,195.8,148.8,0
1100502,194.93,148.55,0
1100601,216.27,157.57,0
1100602,193.51,148.14,0
1100603,214.94,154.49,0
1100604,196.62,149.04,0
1100701,269.69,193.88,0
1100702,270.12,194.57,0
1100703,270.54,195.04,0
1100704,273.07,204.8,0
1100801,268.18,187.55,0
1100802,284.91,199.5,0
1100803,282.33,204.41,0
1190101,243.8,182.85,0
1100901,215.32,161.49,0
1101001,191.66,147.59,0
1101002,192.46,147.83,0
1101003,185.96,144.47,0
1101101,204.9,153.68,0
1101201,224.05,162.62,0
1101202,224.07,163.31,0
1101203,224.08,163.13,0
1101204,224.2,163.74,0
1101205,223.58,163.72,0
1101206,223.35,160.56,0
1101207,222.39,159.36,0
1101208,222.29,158.34,0
