seccion_ine,distancia_km,tiempo_mins,fallback
1400101,286.76,215.07,0
1400201,222.42,166.81,0
1400202,226.95,170.21,0
1400203,214.3,160.72,0
1400301,321.34,241.0,0
1400401,273.25,204.94,0
1400402,276.58,207.43,0
1400501,225.78,169.34,0
1400601,331.39,248.54,0
1400701,263.29,197.47,0
1400702,263.86,197.9,0
1400703,264.87,198.65,0
1400704,263.92,197.94,0
1400705,275.57,206.68,0
1400801,353.74,265.31,0
1400802,353.03,264.77,0
1400803,355.63,266.72,0
1400804,353.43,265.07,0
1400901,322.31,241.73,0
1400902,321.64,241.23,0
1400903,319.05,239.29,0
1401001,248.71,186.53,0
1401002,248.18,186.14,0
1401003,223.22,167.41,0
1401101,322.35,241.76,0
1401201,292.32,219.24,0
1401202,293.81,220.36,0
1401203,290.89,218.17,0
1401204,292.35,219.26,0
1401301,241.56,181.17,0
1401302,240.91,180.68,0
1401303,241.64,181.23,0
1401304,242.19,181.64,0
1401401,303.9,227.92,0
1401402,302.51,226.88,0
1401501,251.56,188.67,0
1401601,334.23,250.67,0
1401701,222.84,167.13,0
1401702,220.47,165.35,0
1401703,226.59,169.94,0
1401801,280.08,210.06,0
1401802,279.78,209.83,0
1401901,269.72,202.29,0
1401902,270.24,202.68,0
1401903,270.51,202.88,0
1401904,269.95,202.46,0
1401905,271.9,203.92,0
1402001,354.13,265.6,0
1402101,255.47,191.6,0
1402102,254.82,191.12,0
1402103,255.23,191.42,0
1402104,254.77,191.08,0
1402105,254.12,190.59,0
1402106,254.98,191.23,0
1402107,255.83,191.87,0
1402108,256.48,192.36,0
1402109,253.66,190.25,0
1402110,254.1,190.57,0
1402201,251.91,188.93,0
1402202,253.57,190.18,0
1402301,339.07,254.3,0
1402302,335.3,251.48,0
1402401,246.85,185.14,0
1402402,246.59,184.94,0
1402501,265.44,199.08,0
1402502,263.38,197.53,0
1402503,259.54,194.66,0
1402601,301.03,225.77,0
1402602,315.37,236.53,0
1402603,302.0,226.5,0
1490101,254.1,190.57,0
1402701,252.02,189.02,0
1402702,251.33,188.5,0
1402703,222.0,166.5,0
1402801,332.5,249.38,0
1402901,308.68,231.51,0
1402902,308.55,231.41,0
1402903,300.96,225.72,0
1402904,314.87,236.15,0
1403001,227.14,170.35,0
1403002,219.0,164.25,0
1403101,273.9,205.42,0
1403201,322.39,241.79,0
1403301,238.83,179.12,0
1490201,232.35,174.26,0
1403401,349.96,262.47,0
1403501,341.61,256.21,0
1403502,345.06,258.8,0
1403503,344.6,258.45,0
