seccion_ine,distancia_km,tiempo_mins,fallback
1400101,176.83,128.46,0
1400201,145.37,112.33,0
1400202,145.93,118.8,0
1400203,141.6,107.56,0
1400301,211.41,158.56,0
1400401,200.55,150.41,0
1400402,203.88,152.91,0
1400501,115.85,116.48,0
1400601,221.46,166.09,0
1400701,178.61,140.23,0
1400702,177.67,139.46,0
1400703,178.65,140.02,0
1400704,178.15,140.64,0
1400705,188.55,146.66,0
1400801,243.81,182.86,0
1400802,243.1,182.32,0
1400803,245.7,184.28,0
1400804,243.5,182.62,0
1400901,212.38,154.01,0
1400902,211.71,153.1,0
1400903,209.12,150.37,0
1401001,176.01,129.66,0
1401002,175.48,128.66,0
1401003,179.93,129.38,0
1401101,202.62,151.97,0
1401201,182.39,131.41,0
1401202,183.88,132.53,0
1401203,180.96,137.3,0
1401204,182.42,131.31,0
1401301,168.86,126.33,0
1401302,168.21,126.36,0
1401303,168.95,126.04,0
1401304,169.49,132.51,0
1401401,193.96,144.19,0
1401402,192.58,144.29,0
1401501,178.87,134.33,0
1401601,222.04,155.59,0
1401701,112.91,80.37,0
1401702,110.54,80.85,0
1401703,116.66,82.65,0
1401801,170.15,119.91,0
1401802,169.85,118.89,0
1401901,159.79,126.17,0
1401902,160.31,127.24,0
1401903,160.58,127.07,0
1401904,160.02,126.86,0
1401905,161.97,127.94,0
1402001,244.2,183.15,0
1402101,145.54,105.97,0
1402102,144.89,104.51,0
1402103,145.3,106.53,0
1402104,144.84,105.24,0
1402105,144.19,102.83,0
1402106,145.05,105.55,0
1402107,145.9,106.81,0
1402108,146.55,109.19,0
1402109,143.73,104.52,0
1402110,144.17,103.47,0
1402201,179.22,135.31,0
1402202,180.87,135.68,0
1402301,229.14,171.85,0
1402302,225.37,169.03,0
1402401,174.15,136.25,0
1402402,173.9,138.96,0
1402501,155.51,131.51,0
1402502,153.45,121.76,0
1402503,149.61,117.11,0
1402601,191.1,138.11,0
1402602,205.44,154.08,0
1402603,192.07,138.56,0
1490101,144.17,109.19,0
1402701,142.09,100.41,0
1402702,141.4,108.48,0
1402703,112.07,91.44,0
1402801,222.56,164.99,0
1402901,188.94,146.78,0
1402902,188.82,146.74,0
1402903,181.22,144.39,0
1402904,195.14,148.61,0
1403001,117.21,99.16,0
1403002,109.07,95.56,0
1403101,201.2,150.9,0
1403201,202.66,151.99,0
1403301,128.9,103.29,0
1490201,122.42,99.66,0
1403401,240.03,180.02,0
1403501,219.92,164.94,0
