id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen,Zona_Geografica
1,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,1,Amazon_SVQ1,Zona_0
1,2,1400201,24,151.82,112.97,219.97,1,Amazon_SVQ1,Zona_0
1,3,1400202,31,1.3195125411866042,1.583415049423925,314.5534150494239,1,Amazon_SVQ1,Zona_0
1,4,1400203,16,9.210193542321921,11.052232250786304,373.6056473002102,1,Amazon_SVQ1,Zona_0
1,5,Regreso_Amazon_SVQ1,0,143.88,105.58,479.1856473002102,1,Amazon_SVQ1,Zona_0
2,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,2,Amazon_SVQ1,Zona_0
2,2,1400203,35,143.88,105.58,245.57999999999998,2,Amazon_SVQ1,Zona_0
2,3,1405605,39,6.90491355036072,8.285896260432864,370.86589626043286,2,Amazon_SVQ1,Zona_0
2,4,1405604,1,4.6804435328936655,5.616532239472399,379.48242849990527,2,Amazon_SVQ1,Zona_0
2,5,1405603,1,0.6106607625607218,0.7327929150728661,383.21522141497815,2,Amazon_SVQ1,Zona_0
2,6,Regreso_Amazon_SVQ1,0,133.64,96.78,479.9952214149781,2,Amazon_SVQ1,Zona_0
3,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,3,Amazon_SVQ1,Zona_0
3,2,1400401,12,202.82,152.12,223.12,3,Amazon_SVQ1,Zona_0
3,3,1400402,6,2.071520509113101,2.485824610935721,243.6058246109357,3,Amazon_SVQ1,Zona_0
3,4,1403101,5,10.74784178942998,12.897410147315977,271.50323475825166,3,Amazon_SVQ1,Zona_0
3,5,1405504,13,5.228779735338653,6.274535682406384,316.77777044065806,3,Amazon_SVQ1,Zona_0
3,6,1405501,3,7.011382061866342,8.413658474239611,334.19142891489764,3,Amazon_SVQ1,Zona_0
3,7,Regreso_Amazon_SVQ1,0,193.05,145.71,479.9014289148977,3,Amazon_SVQ1,Zona_0
4,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,4,Amazon_SVQ1,Zona_0
4,2,1400701,31,185.06,140.87,268.87,4,Amazon_SVQ1,Zona_0
4,3,1400704,12,0.36810129798651614,0.44172155758381937,305.31172155758384,4,Amazon_SVQ1,Zona_0
4,4,1400703,11,0.773276913453785,0.927932296144542,339.2396538537284,4,Amazon_SVQ1,Zona_0
4,5,Regreso_Amazon_SVQ1,0,185.1,140.66,479.8996538537284,4,Amazon_SVQ1,Zona_0
5,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,5,Amazon_SVQ1,Zona_0
5,2,1400703,54,185.1,140.66,337.65999999999997,5,Amazon_SVQ1,Zona_0
5,3,Regreso_Amazon_SVQ1,0,185.1,140.66,478.31999999999994,5,Amazon_SVQ1,Zona_0
6,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,6,Amazon_SVQ1,Zona_0
6,2,1400703,21,185.1,140.66,238.66,6,Amazon_SVQ1,Zona_0
6,3,1402201,25,8.33589396670788,10.003072760049456,323.66307276004943,6,Amazon_SVQ1,Zona_0
6,4,1407501,4,4.357731010843217,5.229277213011861,340.8923499730613,6,Amazon_SVQ1,Zona_0
6,5,Regreso_Amazon_SVQ1,0,185.11,138.39,479.2823499730613,6,Amazon_SVQ1,Zona_0
7,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,7,Amazon_SVQ1,Zona_0
7,2,1401001,12,178.29,127.67,198.67000000000002,7,Amazon_SVQ1,Zona_0
7,3,1401002,19,0.4359046163263593,0.5230855395916312,256.19308553959166,7,Amazon_SVQ1,Zona_0
7,4,1401003,10,2.4013021830717247,2.8815626196860697,289.07464815927773,7,Amazon_SVQ1,Zona_0
7,5,1404801,11,4.724193509125741,5.669032210950889,327.7436803702286,7,Amazon_SVQ1,Zona_0
7,6,1402401,2,9.423501225186909,11.30820147022429,345.0518818404529,7,Amazon_SVQ1,Zona_0
7,7,1403805,3,14.674622547925537,17.609547057510643,371.66142889796356,7,Amazon_SVQ1,Zona_0
7,8,Regreso_Amazon_SVQ1,0,151.92,108.13,479.79142889796356,7,Amazon_SVQ1,Zona_0
8,1,Inicio_Amazon_SVQ1,0,0.0,35.0,35.0,8,Amazon_SVQ1,Zona_0
8,2,1401301,65,171.14,124.34,354.34000000000003,8,Amazon_SVQ1,Zona_0
8,3,Regreso_Amazon_SVQ1,0,171.14,124.34,478.68000000000006,8,Amazon_SVQ1,Zona_0
