id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen
1,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,1,Amazon_SVQ1
1,2,1400101,32,183.28,129.09,265.09000000000003,1,Amazon_SVQ1
1,3,1405001,15,7.059308086572126,8.47116970388655,318.5611697038866,1,Amazon_SVQ1
1,4,1405002,10,3.4887755153949525,4.1865306184739435,352.7477003223606,1,Amazon_SVQ1
1,5,Regreso_Amazon_SVQ1,0,182.55,126.06,478.8077003223606,1,Amazon_SVQ1
2,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,2,Amazon_SVQ1
2,2,1400201,24,151.82,112.97,224.97,2,Amazon_SVQ1
2,3,1400202,31,1.3195125411866042,1.583415049423925,319.5534150494239,2,Amazon_SVQ1
2,4,1404203,14,6.549007269800079,7.858808723760095,369.412223773184,2,Amazon_SVQ1
2,5,Regreso_Amazon_SVQ1,0,145.89,109.22,478.632223773184,2,Amazon_SVQ1
3,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,3,Amazon_SVQ1
3,2,1400203,51,143.88,105.58,298.58,3,Amazon_SVQ1
3,3,1405605,21,6.90491355036072,8.285896260432864,369.86589626043286,3,Amazon_SVQ1
3,4,1405604,2,4.6804435328936655,5.616532239472399,381.48242849990527,3,Amazon_SVQ1
3,5,Regreso_Amazon_SVQ1,0,135.78,97.65,479.13242849990525,3,Amazon_SVQ1
4,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,4,Amazon_SVQ1
4,2,1400301,13,217.86,163.4,242.4,4,Amazon_SVQ1
4,3,1400601,15,6.837552013721063,8.205062416465275,295.6050624164653,4,Amazon_SVQ1
4,4,1405402,4,5.790069790649425,6.94808374877931,314.5531461652446,4,Amazon_SVQ1
4,5,Regreso_Amazon_SVQ1,0,225.53,165.23,479.7831461652446,4,Amazon_SVQ1
5,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,5,Amazon_SVQ1
